losses/value_loss,charts/learning_rate,charts/episodic_return,losses/policy_loss,charts/SPS,losses/old_approx_kl,_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_step,_timestamp,charts/episodic_length,global_step,losses/explained_variance
38.35873031616211,0.00029454685864038765,,-0.005477316677570343,446.0,0.011618462391197681,47.035884857177734,0.6271167993545532,0.0,0.001073644496500492,228,1763260105.5072148,,9216,0.09087884426116943
,,71.0,,,,47.70720815658569,,,,233,1763260106.178538,71.0,9567,
,,152.0,,,,50.39746809005737,,,,251,1763260108.868798,152.0,10691,
,,142.0,,,,51.60005259513855,,,,259,1763260110.0713825,142.0,11218,
,,143.0,,,,52.50989651679993,,,,265,1763260110.9812264,143.0,11601,
76.4275131225586,0.0002927803434431553,,-0.002333134412765503,442.0,-0.0007236655801534653,53.913628816604614,0.6156920790672302,0.0,0.000391937792301178,273,1763260112.3849587,,12160,0.0903698205947876
,,192.0,,,,53.97541165351868,,,,274,1763260112.4467416,192.0,12251,
59.026424407958984,0.0002920122933574021,,-0.013302888721227646,441.0,0.0073026977479457855,56.86662220954895,0.5860697031021118,0.0,0.0006846971809864044,292,1763260115.3379521,,13440,0.01554107666015625
53.02516174316406,0.00029078341322019696,,-0.0008847787976264954,443.0,-0.0014937836676836014,61.315515995025635,0.5959942936897278,0.0,0.00012012571096420288,321,1763260119.786846,,15488,0.009826421737670898
,,430.0,,,,62.31610417366028,,,,327,1763260120.787434,430.0,16043,
,,252.0,,,,62.81055974960327,,,,330,1763260121.2818897,252.0,16295,
,,96.0,,,,63.10652017593384,,,,332,1763260121.57785,96.0,16391,
53.2821044921875,0.00029001536313444376,,0.004897274076938629,447.0,0.0040076300501823425,63.89654207229614,0.5928794145584106,0.0,0.00030507519841194153,337,1763260122.367872,,16768,-0.01678013801574707
47.04591369628906,0.0002898617531172931,,0.00019304268062114716,447.0,0.005350370891392231,64.41428232192993,0.60373854637146,0.0,0.00022382568567991257,340,1763260122.8856122,,17024,0.12782633304595947
42.05388259887695,0.0002881720429286361,,-0.00035624951124191284,460.0,3.544241189956665e-05,69.49154615402222,0.5864059925079346,0.0,2.2374093532562256e-05,370,1763260127.962876,,19840,0.10754936933517456
35.01434326171875,0.00028686635778285563,,-0.015464307740330696,466.0,-0.0010523777455091476,73.62653160095215,0.566791296005249,0.0,0.0009420178830623627,396,1763260132.0978615,,22016,0.015440404415130615
29.90378189086914,0.0002853302576113492,,-0.0011780522763729095,463.0,0.0011421684175729752,79.4690351486206,0.5465848445892334,0.0,1.2790784239768982e-05,425,1763260137.940365,,24576,0.09653782844543457
,,108.0,,,,82.45705485343933,,,,441,1763260140.9283848,108.0,25857,
132.44573974609375,0.0002841013774741441,,-0.005191020667552948,462.0,9.619444608688354e-05,83.98208451271057,0.4753917455673218,0.0,0.0018767472356557846,450,1763260142.4534144,,26624,0.18792390823364258
117.29646301269531,0.00028310291236266494,,-0.0006836540997028351,463.0,0.00016131065785884857,87.4312379360199,0.5737743377685547,0.0,8.828938007354736e-06,471,1763260145.9025679,,28288,0.040197908878326416
21.500072479248047,0.000282642082311213,,-0.0008444134145975113,463.0,-0.00010303687304258347,89.04694485664368,0.5213918089866638,0.0,2.9848888516426086e-06,481,1763260147.5182748,,29056,0.10116016864776611
131.08387756347656,0.0002822580572683364,,-0.01087171584367752,463.0,0.0032278597354888916,90.44869995117188,0.4920922517776489,0.0,0.0005010571330785751,490,1763260148.9200299,,29696,0.18234378099441528
,,231.0,,,,92.83078098297119,,,,504,1763260151.302111,231.0,30899,
20.61738395690918,0.0002810291771311313,,-0.01902126520872116,464.0,0.028128821402788162,94.70357871055603,0.4683782458305359,0.037109375,0.004789097234606743,515,1763260153.1749086,,31744,0.8391074538230896
13.598275184631348,0.0002802611270453781,,-0.0002606622874736786,465.0,0.0006891088560223579,97.29513692855835,0.4691694378852844,0.0,6.081536412239075e-07,530,1763260155.7664669,,33024,0.10457116365432739
