losses/entropy,global_step,charts/episodic_return,losses/explained_variance,charts/learning_rate,charts/SPS,_timestamp,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/value_loss,_runtime,losses/clipfrac,losses/policy_loss,_step
0.5046699047088623,12544,,0.3326311707496643,0.00029254992841742933,465.0,1763260111.7276082,1.6720034182071686e-05,0.001197940669953823,,51.461181640625,53.29449009895325,0.0,-0.0019311066716909409,265
,12980,144.0,,,,1763260112.7140787,,,144.0,,54.28096055984497,,,273
0.5813419222831726,13056,,0.9146020412445068,0.00029224270838312805,463.0,1763260112.9484015,0.00037332531064748764,0.00019923318177461624,,36.364383697509766,54.51528334617615,0.0,-0.0013159587979316711,274
,14020,91.0,,,,1763260115.275778,,,91.0,,56.84265995025635,,,292
0.595711350440979,15872,,0.4174387454986572,0.000290552998194471,456.0,1763260119.5760357,0.00017476454377174377,0.0015127938240766525,,67.32549285888672,61.14291763305664,0.0,0.0027607567608356476,321
,16373,183.0,,,,1763260120.371102,,,183.0,,61.937983989715576,,,327
0.565136194229126,16512,,0.4441242814064026,0.0002901689731515944,458.0,1763260120.837957,7.014069706201553e-05,0.0011102380231022835,,30.36850357055664,62.4048388004303,0.0,-0.0025894083082675934,330
,16736,245.0,,,,1763260121.0973165,,,245.0,,62.66419839859009,,,332
,17075,180.0,,,,1763260121.8583057,,,180.0,,63.42518758773804,,,337
,17254,153.0,,,,1763260122.1796715,,,153.0,,63.74655342102051,,,340
0.5614911913871765,19456,,0.5871386528015137,0.00028840245795436203,466.0,1763260126.5264876,0.00043768901377916336,-0.007397756911814213,,36.348602294921875,68.09336948394775,0.0,-0.002787649631500244,370
0.6153755784034729,21760,,-0.019697904586791992,0.00028701996780000627,474.0,1763260130.6233163,0.005788222886621952,0.006975253112614155,,34.92027282714844,72.19019818305969,0.013671875,0.015015526674687862,396
,24221,299.0,,,,1763260135.912588,,,299.0,,77.47946977615356,,,425
0.5878036022186279,25600,,0.10936814546585083,0.00028471581754274666,469.0,1763260139.3743267,3.5079196095466614e-05,-0.0009910408407449722,,37.305572509765625,80.94120860099792,0.0,-0.0001992303878068924,441
0.575851559638977,26368,,0.6868476867675781,0.00028425498749129474,469.0,1763260140.932666,0.000833168625831604,0.007258664816617966,,19.32997703552246,82.49954795837402,0.0,-0.008331157267093658,450
0.5402519702911377,27904,,0.7051379680633545,0.0002833333273883909,470.0,1763260144.1469383,0.0017653703689575195,-0.004291065037250519,,52.822505950927734,85.71382021903992,0.0,-0.004326719790697098,471
0.5438179969787598,28800,,-0.00930178165435791,0.00028279569232836366,471.0,1763260145.9065917,0.00020209606736898422,0.0008038030937314034,,182.74606323242188,87.47347354888916,0.0,-0.008659640327095985,481
0.5742139220237732,29568,,0.05780750513076782,0.00028233486227691174,472.0,1763260147.44333,5.3149648010730743e-05,-0.0017578760161995888,,22.84044647216797,89.01021194458008,0.0,-0.004803609102964401,490
0.5428813099861145,30848,,-0.0025609731674194336,0.00028156681219115853,473.0,1763260149.9840944,8.869636803865433e-05,0.003973281942307949,,153.0389862060547,91.5509762763977,0.0,-0.001351475715637207,504
0.5707985162734985,31872,,0.9369367957115173,0.00028095237212255597,474.0,1763260152.018597,0.00012551434338092804,-0.00034352950751781464,,10.79719066619873,93.58547878265381,0.0,0.0015075262635946274,515
