charts/SPS,losses/explained_variance,losses/value_loss,_step,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/clipfrac,_runtime,global_step,losses/policy_loss,losses/old_approx_kl,losses/entropy,charts/learning_rate,_timestamp
496.0,0.028505921363830566,46.72842788696289,203,,9.349267929792404e-05,,0.0,44.917903661727905,9216,-0.0008798837661743164,-0.002010705880820751,0.533573567867279,0.00029454685864038765,1763260103.3533187
491.0,0.0027312040328979492,49.29171371459961,213,,0.0001511732116341591,,0.0,46.41868233680725,9856,-0.004632666707038879,0.0016027996316552162,0.5969111919403076,0.00029416283359751105,1763260104.8540974
491.0,0.016194701194763184,79.07005310058594,217,,2.2037886083126068e-05,,0.0,47.20011806488037,10240,-0.0007560495287179947,0.0007592840120196342,0.5710565447807312,0.0002939324185717851,1763260105.635533
,,,228,390.0,,390.0,,48.90922427177429,11060,,,,,1763260107.3446393
486.0,-0.027930021286010742,69.00359344482422,233,,9.56561416387558e-06,,0.0,49.76360774040222,11392,0.0007569640874862671,0.00016108248382806778,0.5173168182373047,0.0002932411734946072,1763260108.1990228
,,,251,154.0,,154.0,,52.47846174240112,12568,,,,,1763260110.9138768
,,,259,146.0,,146.0,,53.62531638145447,13067,,,,,1763260112.0607314
,,,265,150.0,,150.0,,54.50829339027405,13518,,,,,1763260112.9437084
,,,273,138.0,,138.0,,55.52723145484924,13930,,,,,1763260113.9626465
474.0,0.3186517357826233,51.951759338378906,274,,8.812546730041504e-05,,0.0,55.75902962684631,13952,0.0005187951028347015,-0.0013104509562253952,0.5037001967430115,0.0002917050733231008,1763260114.1944447
476.0,0.04533040523529053,50.439788818359375,292,,0.000863431952893734,,0.0,58.872835636138916,15488,0.0026557371020317078,0.004035445861518383,0.5258699059486389,0.00029078341322019696,1763260117.3082507
481.0,-0.037236690521240234,46.447959899902344,321,,0.00014198385179042816,,0.0,63.81880474090576,18048,0.0014884769916534424,-0.0020171813666820526,0.5228177309036255,0.00028924731304869056,1763260122.2542198
481.0,0.48747920989990234,38.723663330078125,327,,0.0006817122921347618,,0.0,64.6497106552124,18432,-0.0034407414495944977,-0.0004974538460373878,0.4920008182525635,0.0002890168980229646,1763260123.0851257
,,,330,185.0,,185.0,,64.98182129859924,18646,,,,,1763260123.4172363
,,,332,131.0,,131.0,,65.25332260131836,18777,,,,,1763260123.6887376
481.0,0.6859901547431946,27.269575119018555,337,,0.0007949946448206902,,0.0,65.98406982421875,19072,-0.011004626750946045,0.008826077915728092,0.49119022488594055,0.000288632872980088,1763260124.4194849
482.0,-0.006435394287109375,37.995906829833984,340,,0.00014890823513269424,,0.0,66.41650867462158,19328,0.0001860111951828003,0.0028359005227684975,0.5220692157745361,0.00028847926296293736,1763260124.8519237
,,,370,500.0,,500.0,,70.98904132843018,21957,,,,,1763260129.4244564
493.0,0.027070581912994385,58.99761199951172,375,,0.00013359356671571732,,0.0,71.75429725646973,22400,-4.538148641586304e-05,0.002387312240898609,0.5805902481079102,0.00028663594275712967,1763260130.1897123
492.0,0.7349893450737,32.3148193359375,396,,5.818810313940048e-05,,0.0,75.26952266693115,24064,0.0006241127848625183,-0.0018896767869591713,0.597125768661499,0.0002856374776456505,1763260133.7049377
,,,425,203.0,,203.0,,80.9163670539856,26418,,,,,1763260139.351782
484.0,0.049979209899902344,23.73491859436035,441,,0.0008950857445597649,,0.0,83.7183792591095,27776,-0.01308191567659378,0.002259504981338978,0.5950018167495728,0.0002834101323969662,1763260142.1537943
484.0,-0.13110268115997314,22.688814163208008,450,,0.000513109378516674,,0.0,85.27140188217163,28544,0.006689758971333504,-0.009522267617285252,0.5769249200820923,0.0002829493023455143,1763260143.706817
,,,471,178.0,,178.0,,88.82748198509216,30450,,,,,1763260147.262897
,,,481,257.0,,257.0,,90.58789110183716,31316,,,,,1763260149.0233061
487.0,0.4461798667907715,13.225885391235352,490,,0.00027799513190984726,,0.0,92.31127786636353,32128,-0.0047951508313417435,-0.00320278387516737,0.5669016242027283,0.00028079876210540533,1763260150.746693
487.0,0.7230008840560913,8.941146850585938,504,,2.0913779735565186e-05,,0.0,94.57194256782532,33280,-0.000983957201242447,0.0003203153610229492,0.5906686186790466,0.00028010751702822745,1763260153.0073576
487.0,-0.0022106170654296875,264.66070556640625,515,,0.000640437938272953,,0.0,96.46352291107178,34176,-0.002762407064437866,0.0032775169238448143,0.6182613372802734,0.0002795698819682002,1763260154.898938
