global_step,losses/explained_variance,losses/clipfrac,_runtime,losses/value_loss,charts/episodic_length,losses/policy_loss,charts/learning_rate,losses/entropy,charts/SPS,_timestamp,losses/approx_kl,_step,losses/old_approx_kl,charts/episodic_return
174720,0.2783743739128113,0.0,328.95311427116394,0.0001237344986293465,,-0.012792520225048065,0.0001952380989678204,0.5028349757194519,577.0,1763260387.3925433,0.000679495744407177,1945,-0.006480813957750797,
176128,-0.03112006187438965,0.0,330.5504243373871,0.0002715298323892057,,-0.0011870898306369781,0.00019439324387349188,0.6312212347984314,579.0,1763260388.9898534,0.0003374554216861725,1959,-0.0029154475778341293,
177536,-0.06938230991363525,0.0,332.037086725235,0.00034643083927221596,,-0.00806516408920288,0.00019354838877916336,0.5647301077842712,580.0,1763260390.4765158,0.0008396189659833908,1973,-0.01008296012878418,
178762,,,333.3410198688507,,500.0,,,,,1763260391.780449,,1985,,500.0
179328,-8.559226989746094e-05,0.0,333.9859788417816,424.57080078125,,0.006160460412502289,0.00019247311865910888,0.622722864151001,582.0,1763260392.425408,0.0003034975379705429,1991,0.005735849961638451,
180422,,,335.1373507976532,,160.0,,,,,1763260393.5767798,,2002,,160.0
180922,,,335.71204566955566,,500.0,,,,,1763260394.1514747,,2007,,500.0
181888,-0.0002512931823730469,0.0,336.9534275531769,0.00017090750043280423,,-0.004016004502773285,0.00019093701848760247,0.5607679486274719,585.0,1763260395.3928566,0.0006272951140999794,2016,-0.0018440084531903267,
182144,0.039877116680145264,0.0,337.4002320766449,0.006283198483288288,,0.0061889952048659325,0.00019078340847045183,0.5610109567642212,585.0,1763260395.8396611,0.0007641343399882317,2019,-0.00832799356430769,
182656,-0.0027968883514404297,0.0,338.2187578678131,0.0041372086852788925,,-0.0069761574268341064,0.00019047618843615055,0.5734792351722717,585.0,1763260396.658187,0.0004992038011550903,2024,-0.0023904815316200256,
182922,,,338.6429195404053,,500.0,,,,,1763260397.0823486,,2027,,500.0
183168,0.08674103021621704,0.0,339.0190849304199,0.005001505371183157,,0.008486047387123108,0.00019016896840184927,0.5532321929931641,585.0,1763260397.458514,0.0005050664767622948,2029,-0.004522423259913921,
183680,-0.4003944396972656,0.0,339.8580131530762,0.000274689489742741,,-0.0034587811678647995,0.000189861748367548,0.561835765838623,585.0,1763260398.2974422,0.00011146161705255508,2034,0.0002736477181315422,
184832,-0.5975774526596069,0.0,341.73291754722595,0.000150844847667031,,-0.0015356391668319702,0.0001891705032903701,0.572056233882904,586.0,1763260400.1723466,5.0710514187812805e-05,2045,-0.002855384722352028,
185422,,,342.6301703453064,,500.0,,,,,1763260401.0695994,,2051,,500.0
185472,-0.00018894672393798828,0.0,342.8108401298523,332.35736083984375,,0.0004689302295446396,0.0001887864782474935,0.5023837089538574,586.0,1763260401.2502692,9.218137711286545e-05,2052,-0.0004620784893631935,
187392,0.06072431802749634,0.00390625,345.9418513774872,0.00016200590471271425,,-0.04869423061609268,0.0001876344031188637,0.5011098384857178,586.0,1763260404.3812804,0.003292623907327652,2070,0.01517936959862709,
187922,,,346.8670480251312,,500.0,,,,,1763260405.306477,,2076,,500.0
189696,-0.10249471664428711,0.0,349.1116816997528,0.00039635261055082083,,-0.0007804557681083679,0.00018625191296450794,0.5394406318664551,587.0,1763260407.5511107,6.855744868516922e-05,2093,0.002903834916651249,
189824,-0.09510231018066406,0.0,349.23674869537354,0.00014086157898418605,,-0.0003068111836910248,0.00018617510795593262,0.5411639213562012,587.0,1763260407.6761777,6.0867518186569214e-05,2094,0.0007542725652456284,
192128,-0.07735741138458252,0.0,351.8516824245453,0.004271714948117733,,0.0015166327357292175,0.00018479263235349208,0.54958176612854,590.0,1763260410.2911115,0.0010257074609398842,2117,0.001552908681333065,
194560,-0.10067617893218994,0.0,355.6763050556183,0.004061337560415268,,-0.00431683287024498,0.000183333337190561,0.5816804766654968,590.0,1763260414.115734,0.001677151769399643,2141,-0.006721045821905136,
195072,-0.0359271764755249,0.0,356.5276618003845,0.004014600533992052,,4.003196954727173e-05,0.00018302611715625972,0.5555360317230225,590.0,1763260414.9670908,8.21482390165329e-05,2146,0.004533557221293449,
195200,0.3501400351524353,0.0,356.7087142467499,0.00047029671259224415,,-0.005206998437643051,0.0001829493121476844,0.4560883343219757,590.0,1763260415.1481433,0.0007663294672966003,2147,0.0030822213739156723,
195328,-0.3184230327606201,0.0,356.9021272659302,0.0003639748028945178,,0.0013684816658496857,0.00018287250713910908,0.5349047183990479,590.0,1763260415.3415563,0.00025410205125808716,2148,-0.001733429729938507,
195968,-8.320808410644531e-05,0.0,358.0647735595703,472.2804260253906,,0.0016963779926300049,0.00018248848209623247,0.5582188367843628,590.0,1763260416.5042026,0.0003436664119362831,2155,-0.0022245394065976143,
197760,0.08750677108764648,0.0,361.0669333934784,0.0005178239662200212,,0.0007809996604919434,0.000181413211976178,0.5586118698120117,590.0,1763260419.5063624,5.758088082075119e-05,2172,0.00277703907340765,
199040,-5.3048133850097656e-05,0.0,363.41910767555237,354.4569091796875,,-0.00021266192197799683,0.0001806451618904248,0.5286826491355896,590.0,1763260421.8585367,0.00013537798076868057,2185,0.0023306766524910927,
199808,-0.08567380905151367,0.0,364.76125597953796,0.0002475583751220256,,0.003091484308242798,0.00018018433183897287,0.5801995992660522,590.0,1763260423.200685,0.0001913299784064293,2192,0.0018172701820731163,
200422,,,365.6754665374756,,500.0,,,,,1763260424.1148956,,2198,,500.0
200448,1.8715858459472656e-05,0.0,365.880823135376,349.05548095703125,,0.0003959387540817261,0.00017980030679609627,0.5296186208724976,590.0,1763260424.3202522,0.00010277610272169113,2199,-0.00045406725257635117,
201728,-0.0159224271774292,0.00390625,368.16123723983765,0.00027217724709771574,,-0.015880171209573746,0.00017903225671034306,0.5242934226989746,590.0,1763260426.6006663,0.0025518806651234627,2211,-0.005557057447731495,
201984,-3.8743019104003906e-05,0.0,368.6398334503174,324.62322998046875,,-0.004022343084216118,0.00017887864669319242,0.5730352997779846,590.0,1763260427.0792625,0.0002458561211824417,2214,0.004292543977499008,
202624,0.0009061098098754883,0.0,369.7798161506653,0.005522802006453276,,-0.009752821177244186,0.00017849462165031582,0.5448856949806213,590.0,1763260428.2192452,0.0006271349266171455,2220,0.008530781604349613,
202922,,,370.21341037750244,,500.0,,,,,1763260428.6528394,,2223,,500.0
203136,-0.1279388666152954,0.0,370.6090850830078,0.004333789460361004,,0.0026353616267442703,0.00017818740161601454,0.5692399144172668,590.0,1763260429.0485141,0.0010543102398514748,2225,-0.003310968168079853,
203264,-0.047704339027404785,0.0,370.80112171173096,0.0003228714340366423,,-0.006805703043937683,0.00017811059660743922,0.5451686382293701,590.0,1763260429.2405508,0.0016956189647316933,2226,-0.00013915915042161942,
203392,-0.11866939067840576,0.0,370.9914696216583,0.00013749711797572672,,0.003741323947906494,0.0001780337915988639,0.5608410239219666,590.0,1763260429.4308987,0.0001224922016263008,2227,0.0052891867235302925,
203776,0.02138340473175049,0.0,371.54228234291077,0.0003714366175699979,,-0.010545119643211365,0.00017780337657313794,0.5496405959129333,590.0,1763260429.9817114,0.0009561441838741302,2231,0.0028008688241243362,
204160,0.14565348625183105,0.0,372.015230178833,0.0041310894303023815,,0.0020892955362796783,0.00017757296154741198,0.5219294428825378,590.0,1763260430.4546592,0.00018638279289007187,2235,-0.004430550150573254,
204800,-0.06475067138671875,0.0,372.718576669693,0.0001394675055053085,,-0.002266325056552887,0.00017718893650453538,0.5211290121078491,591.0,1763260431.1580057,7.712282240390778e-05,2241,-0.0012939702719449997,
205440,-0.00019371509552001953,0.0,373.5043396949768,448.163818359375,,0.0008015744388103485,0.00017680491146165878,0.5221563577651978,591.0,1763260431.9437687,7.187854498624802e-05,2248,-0.0011997846886515617,
205696,0.24758505821228027,0.0,373.7715575695038,0.00022066589735914022,,0.0028537865728139877,0.00017665130144450814,0.46970924735069275,592.0,1763260432.2109866,0.0011601932346820831,2250,-0.008868314325809479,
205952,-1.5616416931152344e-05,0.0,374.09044003486633,153.32931518554688,,0.0015566982328891754,0.0001764976914273575,0.5072377920150757,592.0,1763260432.529869,6.928667426109314e-05,2253,-0.00016609393060207367,
207922,,,376.29098105430603,,500.0,,,,,1763260434.73041,,2272,,500.0
208768,0.07361716032028198,0.0,377.3053741455078,0.0002471641928423196,,0.015238620340824127,0.00017480798123870045,0.5081400275230408,594.0,1763260435.7448032,0.0008271215483546257,2280,0.008941859938204288,
210176,0.015316963195800781,0.0,378.91291427612305,368.5606689453125,,0.0029532313346862793,0.00017396314069628716,0.5135062336921692,596.0,1763260437.3523433,6.0587190091609955e-05,2295,-0.0025482038035988808,
210560,-0.33896613121032715,0.0,379.3012421131134,0.00022750951757188886,,0.0022838935256004333,0.0001737327256705612,0.5869433283805847,596.0,1763260437.7406712,0.00022149831056594849,2298,0.009337209165096283,
211712,-0.00011217594146728516,0.0,380.60663652420044,0.0007473581354133785,,-0.0015979055315256119,0.0001730414805933833,0.5608065128326416,597.0,1763260439.0460656,0.0006892010569572449,2310,-0.0012768600136041641,
211968,-0.34603822231292725,0.0,380.89807319641113,8.744445949560031e-05,,0.003862198442220688,0.00017288787057623267,0.5126241445541382,597.0,1763260439.3375022,9.372923523187637e-05,2312,0.00042592640966176987,
212585,,,381.52544116973877,,500.0,,,,,1763260439.9648702,,2318,,500.0
212992,-1.0477721691131592,0.0,382.07432651519775,0.0001866884995251894,,0.0019046850502490997,0.0001722734305076301,0.5319740176200867,598.0,1763260440.5137556,0.00034567713737487793,2322,-0.008061064407229424,
213120,-0.00010275840759277344,0.0,382.2163827419281,313.7813720703125,,-0.00028824806213378906,0.0001721966254990548,0.5232157707214355,598.0,1763260440.6558118,7.81714916229248e-05,2324,-0.0052671656012535095,
213632,-0.00010013580322265625,0.0,382.80215311050415,568.5072631835938,,-0.0028496086597442627,0.0001718894054647535,0.5123355388641357,599.0,1763260441.2415822,0.0002093929797410965,2329,-0.0016040429472923279,
214656,6.395578384399414e-05,0.0,383.9140419960022,370.5959167480469,,-0.0020450539886951447,0.00017127496539615095,0.5467460751533508,600.0,1763260442.353471,0.001035037450492382,2339,0.006613218225538731,
215085,,,384.35388135910034,,500.0,,,,,1763260442.7933104,,2343,,500.0
215585,,,384.8917787075043,,500.0,,,,,1763260443.3312078,,2348,,500.0
216192,0.00010842084884643555,0.0,385.58254504203796,418.9206848144531,,-0.0011115334928035736,0.0001703533052932471,0.5650478601455688,601.0,1763260444.021974,0.00015140697360038757,2354,-0.0042524393647909164,
217088,-0.00018966197967529297,0.0,386.5826289653778,352.71270751953125,,-0.012480692937970161,0.00016981567023321986,0.42622727155685425,602.0,1763260445.022058,0.000801723450422287,2363,0.0039522238075733185,
219776,0.17589163780212402,0.0,389.53260135650635,0.003598799929022789,,-0.001217283308506012,0.00016820276505313814,0.48034384846687317,605.0,1763260447.9720304,8.754339069128036e-05,2389,0.0031776325777173042,
220288,-0.04865729808807373,0.0,390.12568974494934,0.0032580983825027943,,-0.00319681316614151,0.00016789554501883686,0.5642156004905701,605.0,1763260448.5651188,0.0001263422891497612,2394,0.0008918857201933861,
221824,-0.17083346843719482,0.0,391.87235713005066,0.006147528998553753,,-0.020917072892189026,0.000166973884915933,0.5102192759513855,606.0,1763260450.3117862,0.0014134887605905533,2409,-0.00532831996679306,
223585,,,393.81516289711,,500.0,,,,,1763260452.254592,,2426,,500.0
224000,-0.13321375846862793,0.0,394.3559150695801,0.00013640568067785352,,-0.0004883930087089539,0.00016566819977015257,0.5872241854667664,608.0,1763260452.795344,5.106441676616669e-06,2430,0.0011074384674429893,
225920,-0.07886457443237305,0.0,396.57257175445557,0.00020724530622828752,,0.0021397583186626434,0.00016451612464152277,0.5504629611968994,610.0,1763260455.0120008,0.0001759268343448639,2449,0.007954174652695656,
227584,-2.4019453525543213,0.00390625,398.61495208740234,0.00030170855461619794,,-0.03596597909927368,0.0001635176595300436,0.5254244804382324,611.0,1763260457.0543811,0.001876644790172577,2465,-0.009938368573784828,
230144,-1.811981201171875e-05,0.0,401.62366461753845,503.87237548828125,,0.00016361474990844727,0.00016198157391045243,0.4409600496292114,613.0,1763260460.0630937,5.634501576423645e-07,2491,0.0005920948460698128,
230400,0.13485240936279297,0.001953125,401.8934624195099,0.00021094530529808253,,0.002119779586791992,0.00016182796389330178,0.41921746730804443,613.0,1763260460.3328915,0.0014118235558271408,2493,-0.004760058596730232,
231680,-1.4424324035644531e-05,0.0,403.8616762161255,312.66253662109375,,-0.0010385774075984955,0.00016105991380754858,0.5070925951004028,613.0,1763260462.3011053,7.97957181930542e-06,2506,-0.0008123070001602173,
232576,0.4138810634613037,0.0,405.25455260276794,0.00012947912910021842,,-0.02005060762166977,0.00016052227874752134,0.458805650472641,613.0,1763260463.6939816,0.0027872752398252487,2514,0.019340012222528458,
232585,,,405.2963852882385,,500.0,,,,,1763260463.7358143,,2515,,500.0
233088,3.1054019927978516e-05,0.0,405.9212453365326,276.3233947753906,,0.0008375942707061768,0.00016021505871322006,0.5108160972595215,614.0,1763260464.3606744,0.0003408733755350113,2520,0.00026345252990722656,
234496,0.12204736471176147,0.0,407.8639554977417,0.00010613897757139057,,-0.0038339775055646896,0.00015937020361889154,0.5666579604148865,614.0,1763260466.3033845,0.0002877218648791313,2533,-0.004012844525277615,
235136,4.357099533081055e-05,0.0,408.937979221344,273.04241943359375,,-0.0001442059874534607,0.00015898617857601494,0.5544822216033936,614.0,1763260467.3774083,8.886028081178665e-05,2540,0.0015748059377074242,
235904,-0.05344879627227783,0.0,410.1050069332123,0.0001791786344256252,,0.0014728792011737823,0.00015852534852456301,0.5204022526741028,614.0,1763260468.544436,8.411146700382233e-05,2547,-0.0037595294415950775,
238208,-0.00011074542999267578,0.0,413.0571768283844,96.8646469116211,,-0.013447880744934082,0.00015714285837020725,0.4987390637397766,616.0,1763260471.4966059,0.0008678240701556206,2570,0.00514379795640707,
238336,-2.2849907875061035,0.001953125,413.2003700733185,0.0033653457649052143,,-0.014815544709563255,0.00015706605336163193,0.5455725789070129,616.0,1763260471.639799,0.001474892720580101,2571,-0.012472668662667274,
238848,-0.17340469360351562,0.0,413.80017280578613,0.00017992567154578865,,0.00028461962938308716,0.00015675883332733065,0.587235689163208,616.0,1763260472.2396019,0.002152766101062298,2576,0.004481418989598751,
238976,-0.29108333587646484,0.0,413.918151140213,0.00017302886408288032,,1.3947486877441406e-05,0.00015668202831875533,0.5445185899734497,616.0,1763260472.3575802,0.00032216310501098633,2577,-0.0003363918513059616,
242085,,,417.19620180130005,,500.0,,,,,1763260475.6356308,,2608,,500.0
242304,-0.022595524787902832,0.0,417.46175503730774,0.004175405949354172,,-0.0003726780414581299,0.000154685098095797,0.6018797755241394,619.0,1763260475.901184,1.3809651136398315e-05,2610,0.0012380462139844894,
244352,0.12125557661056519,0.0,419.5908546447754,0.00011483295384095982,,-0.009569674730300903,0.00015345621795859188,0.5580410957336426,621.0,1763260478.0302837,0.00018852856010198593,2630,-0.002095812000334263,
244992,0.009931504726409912,0.0,420.2822337150574,0.00012943569163326174,,-0.0012543797492980957,0.00015307219291571528,0.5343828201293945,621.0,1763260478.7216628,7.35744833946228e-05,2636,-0.005299234762787819,
246016,-0.0037147998809814453,0.0,421.3690209388733,0.00012934191909153014,,-0.0031345784664154053,0.00015245775284711272,0.5717902183532715,622.0,1763260479.80845,0.00029703788459300995,2646,-0.0007926821708679199,
246085,,,421.3954818248749,,500.0,,,,,1763260479.8349109,,2647,,500.0
246144,1.8596649169921875e-05,0.0,421.5176341533661,409.6973876953125,,0.00041608139872550964,0.0001523809478385374,0.5521886348724365,622.0,1763260479.9570632,0.0001497725024819374,2648,-0.003288828767836094,
248192,1.233816146850586e-05,0.0,423.6539132595062,400.3804626464844,,-0.000959690660238266,0.00015115206770133227,0.564987301826477,624.0,1763260482.0933423,9.478721767663956e-05,2668,-0.0014178631827235222,
248704,-3.898143768310547e-05,0.0,424.1931073665619,198.60223388671875,,0.004346117377281189,0.000150844847667031,0.5990213751792908,625.0,1763260482.6325364,0.00021944381296634674,2673,0.004523633047938347,
249728,-0.11972391605377197,0.0,425.27608370780945,0.006070078816264868,,-0.004124127794057131,0.00015023040759842843,0.5779211521148682,626.0,1763260483.7155128,0.0017932672053575516,2683,-0.010108677670359612,
250112,-6.9141387939453125e-06,0.0,425.69473695755005,359.14013671875,,-0.0014155879616737366,0.0001500000071246177,0.5995631217956543,626.0,1763260484.134166,0.00012710131704807281,2687,-0.0015930049121379852,
250368,-0.2895233631134033,0.0,425.9542496204376,0.0002484347496647388,,-0.018136493861675262,0.00014984639710746706,0.5428904294967651,626.0,1763260484.3936787,0.0008356031030416489,2689,0.006912035867571831,
250624,3.0994415283203125e-05,0.0,426.24012565612793,267.0115966796875,,-0.000628158450126648,0.00014969278709031641,0.6176083087921143,626.0,1763260484.6795547,3.8460828363895416e-05,2692,0.00021329429000616074,
254720,-0.011735916137695312,0.0,430.73540472984314,0.00432968232780695,,-0.0077129751443862915,0.00014723502681590617,0.5372506380081177,629.0,1763260489.1748338,0.00037371926009655,2732,0.006872180849313736,
256768,-0.04493522644042969,0.0,432.8924672603607,0.0031597567722201347,,0.001292206346988678,0.00014600614667870104,0.5632448792457581,631.0,1763260491.3318963,0.00019157491624355316,2752,0.0007124803960323334,
257280,-0.017666220664978027,0.0,433.44561195373535,0.0036127364728599787,,-0.0020906534045934677,0.00014569892664439976,0.5898804664611816,632.0,1763260491.885041,4.070904105901718e-05,2757,0.0023137973621487617,
258775,,,435.007972240448,,500.0,,,,,1763260493.4474013,,2772,,500.0
259775,,,436.05604815483093,,500.0,,,,,1763260494.4954772,,2782,,500.0
259840,8.07642936706543e-05,0.0,436.18184900283813,342.13909912109375,,0.005993165075778961,0.00014416282647289336,0.5136549472808838,634.0,1763260494.621278,0.0002050362527370453,2783,-0.0035018883645534515,
260864,-6.532669067382812e-05,0.0,437.2821886539459,382.86151123046875,,0.0033860355615615845,0.0001435483864042908,0.573395848274231,634.0,1763260495.7216177,0.000154213048517704,2793,-0.0004190811887383461,
263936,-0.6843420267105103,0.0,440.66569924354553,0.006767585873603821,,0.0018022377043962479,0.0001417050661984831,0.6213628053665161,637.0,1763260499.1051283,0.00011711195111274719,2824,0.0047764852643013,
265728,0.00012606382369995117,0.0,443.0052411556244,522.3846435546875,,0.007331874221563339,0.00014062979607842863,0.570673406124115,637.0,1763260501.4446702,0.0002743452787399292,2843,-0.0044991634786129,
267198,,,444.57989382743835,,500.0,,,,,1763260503.0193229,,2857,,500.0
269698,,,447.402569770813,,500.0,,,,,1763260505.8419988,,2882,,500.0
270592,-1.2745170593261719,0.0,448.2994031906128,0.00015111903485376388,,-0.00322888046503067,0.00013771122030448169,0.5879679918289185,641.0,1763260506.7388322,0.00021022744476795197,2890,0.0017275400459766388,
272698,,,450.41657638549805,,500.0,,,,,1763260508.8560054,,2911,,500.0
275198,,,452.9439492225647,,500.0,,,,,1763260511.3833783,,2935,,500.0
276608,0.17154836654663086,0.0,454.49349546432495,0.00013850477989763021,,0.007327660918235779,0.00013410138490144163,0.5798938870429993,646.0,1763260512.9329245,0.000693662092089653,2949,0.00752389058470726,
277698,,,455.6214032173157,,500.0,,,,,1763260514.0608323,,2960,,500.0
279198,,,457.24424743652344,,500.0,,,,,1763260515.6836765,,2975,,500.0
280698,,,458.80593371391296,,500.0,,,,,1763260517.2453628,,2989,,500.0
281472,0.08581852912902832,0.0,459.7118604183197,0.0001189425092888996,,-0.0022339001297950745,0.00013118279457557946,0.567470371723175,649.0,1763260518.1512895,0.00021440722048282623,2997,-0.00321049802005291,
282880,0.06635314226150513,0.0,461.2803418636322,0.0035484875552356243,,0.00047953613102436066,0.00013033793948125094,0.535527229309082,650.0,1763260519.719771,3.6600977182388306e-06,3011,-0.0006868671625852585,
286720,-0.10685312747955322,0.0,465.48740124702454,0.003902649972587824,,-0.0004368200898170471,0.00012803378922399133,0.5600490570068359,652.0,1763260523.9268303,9.977258741855621e-06,3051,0.0002922629937529564,
286976,-0.12762665748596191,0.0,465.73807168006897,0.0002705473161768168,,0.010690957307815552,0.0001278801792068407,0.5669423341751099,653.0,1763260524.1775007,0.0003279969096183777,3053,0.002145906910300255,
288256,-0.21520984172821045,0.0,467.13858675956726,0.0022531503345817327,,-0.00173100084066391,0.0001271121291210875,0.5867654085159302,653.0,1763260525.5780158,0.0001904284581542015,3066,-0.000664236955344677,
288640,-2.2836155891418457,0.0,467.5447118282318,0.0038665328174829483,,-2.0556151866912842e-05,0.00012688171409536153,0.5375038385391235,654.0,1763260525.9841409,2.287980169057846e-05,3070,-0.00024378206580877304,
289536,0.0001856684684753418,0.0,468.6136300563812,329.2174987792969,,-0.0007622409611940384,0.0001263440790353343,0.5536674857139587,654.0,1763260527.053059,1.2409873306751251e-05,3083,-0.0007419371977448463,
291072,-0.4591481685638428,0.0,470.2856845855713,0.0040500834584236145,,-0.000895082950592041,0.00012542243348434567,0.5709930658340454,655.0,1763260528.7251136,2.4198554456233978e-05,3098,0.00044312048703432083,
291584,0.045369744300842285,0.0,470.86807131767273,0.003674662671983242,,0.0005259588360786438,0.0001251152134500444,0.5900179147720337,655.0,1763260529.3075004,3.2854266464710236e-05,3103,-0.001608540304005146,
294016,0.00036728382110595703,0.0,473.5337393283844,193.7410125732422,,-0.002369355410337448,0.0001236559182871133,0.5098886489868164,657.0,1763260531.9731684,0.0003342181444168091,3127,0.0038823075592517853,
294272,-0.9053541421890259,0.0,473.79338216781616,0.0003426008333917707,,8.165091276168823e-05,0.00012350230826996267,0.5337839126586914,657.0,1763260532.2328112,0.0001047840341925621,3129,0.0026592714712023735,
295424,-3.600120544433594e-05,0.0,475.0836341381073,530.595703125,,0.000319458544254303,0.00012281106319278479,0.5132075548171997,658.0,1763260533.5230632,5.9516169130802155e-05,3141,-4.861224442720413e-05,
295680,0.12082093954086304,0.0,475.330539226532,0.00012821309792343527,,-0.0024896636605262756,0.00012265745317563415,0.5678907036781311,658.0,1763260533.7699683,3.671739250421524e-05,3143,-0.00021846499294042587,
295936,0.00027179718017578125,0.0,475.62814474105835,410.9006042480469,,0.001504659652709961,0.0001225038431584835,0.5787783861160278,658.0,1763260534.0675738,0.0003227703273296356,3146,-0.0007623378187417984,
297472,-0.00015723705291748047,0.0,477.31365966796875,515.428955078125,,-0.006648257374763489,0.00012158218305557966,0.5123497843742371,659.0,1763260535.7530887,0.00040145497769117355,3161,-0.004207042045891285,
298411,,,478.28177189826965,,500.0,,,,,1763260536.721201,,3170,,500.0
299776,-0.24803531169891357,0.0,479.7676932811737,0.00013888977991882712,,0.0009687989950180054,0.0001201996929012239,0.5487595796585083,661.0,1763260538.2071223,8.573755621910095e-06,3183,-0.0010558199137449265,
300288,-0.7336468696594238,0.0,480.294641494751,0.000318648642860353,,0.002753201872110367,0.00011989247286692262,0.5421466827392578,661.0,1763260538.7340705,5.268212407827377e-05,3188,0.003643169067800045,
303232,0.07297372817993164,0.0,483.25129222869873,9.671691805124283e-05,,-0.0022633224725723267,0.00011812595766969025,0.5747540593147278,663.0,1763260541.6907213,5.7967379689216614e-05,3217,0.000871904194355011,
303911,,,483.9125757217407,,500.0,,,,,1763260542.3520048,,3224,,500.0
306304,-0.5419690608978271,0.0,486.30650067329407,0.00020167711772955954,,0.003259507939219475,0.00011628264473984018,0.5483826994895935,665.0,1763260544.7459297,0.0007444750517606735,3247,-4.4154003262519836e-05,
306560,-0.7350994348526001,0.0,486.58747935295105,0.003037415910512209,,-0.0007632486522197723,0.00011612903472268954,0.5179357528686523,666.0,1763260545.0269084,0.0004495559260249138,3250,-0.0010164352133870125,
306816,-1.120392084121704,0.0,486.82041692733765,0.00020169773779343814,,-0.0034467242658138275,0.0001159754247055389,0.5296986103057861,666.0,1763260545.259846,0.00023738853633403778,3252,-0.003827223554253578,
307072,-0.2244739532470703,0.0,487.0832259654999,0.003293651156127453,,0.0011489037424325943,0.00011582181468838826,0.5082387924194336,666.0,1763260545.522655,0.00010452419519424438,3255,-0.000634344294667244,
307456,1.3589859008789062e-05,0.0,487.417973279953,250.90614318847656,,-0.002061307430267334,0.0001155913996626623,0.5538671016693115,666.0,1763260545.8574023,3.384426236152649e-05,3259,0.00014293193817138672,
308864,-0.05089616775512695,0.0,488.67725825309753,0.00016180107195395976,,-0.001435503363609314,0.00011474654456833377,0.5303807258605957,668.0,1763260547.1166873,4.466809332370758e-05,3272,-0.0023751165717840195,
309120,0.18355679512023926,0.0,488.90199613571167,0.003024567849934101,,-0.003983885049819946,0.00011459293455118313,0.5143154263496399,668.0,1763260547.3414252,0.0003429725766181946,3275,-0.00010755099356174469,
309248,0.14293217658996582,0.0,489.04547095298767,0.00020620717259589583,,0.014648307114839554,0.00011451612954260781,0.5669878721237183,668.0,1763260547.4849,0.0002647899091243744,3276,-0.002422066405415535,
311296,-0.039745330810546875,0.0,490.86577820777893,0.00019276264356449246,,-0.005422813817858696,0.00011328724940540269,0.547825813293457,670.0,1763260549.3052073,0.00029849912971258163,3296,0.00010698754340410233,
311552,0.04323655366897583,0.0,491.1240108013153,0.0029235624242573977,,0.00081663578748703,0.00011313363938825205,0.5751765370368958,670.0,1763260549.5634398,4.168320447206497e-05,3299,-0.0004418184980750084,
315520,-0.0006319284439086914,0.0,494.69348335266113,277.9644470214844,,-0.0016631297767162323,0.00011075269139837474,0.5596737265586853,673.0,1763260553.1329124,0.0006484799087047577,3338,-0.00012673810124397278,
316800,0.027812421321868896,0.0,495.8482391834259,0.0035821388009935617,,-0.0002860492095351219,0.00010998464131262153,0.5746364593505859,674.0,1763260554.2876682,3.257486969232559e-05,3351,-0.0010927626863121986,
317312,0.00010019540786743164,0.0,496.3301692008972,263.8758544921875,,-0.00020638853311538696,0.00010967742127832025,0.5731513500213623,675.0,1763260554.7695982,2.7585774660110474e-06,3357,-0.0003127027302980423,
317568,-0.07937896251678467,0.0,496.56197142601013,0.009701214730739594,,-0.008429242298007011,0.00010952381126116961,0.5669417977333069,675.0,1763260555.0014005,0.00021064560860395432,3360,0.0011868355795741081,
321341,,,499.93294501304626,,441.0,,,,,1763260558.372374,,3398,,441.0
321598,,,500.1641607284546,,257.0,,,,,1763260558.6035898,,3401,,257.0
322098,,,500.64454889297485,,500.0,,,,,1763260559.083978,,3406,,500.0
322176,-2.9802322387695312e-05,0.0,500.73868560791016,253.5953369140625,,0.0007570907473564148,0.00010675883095245808,0.6040838360786438,679.0,1763260559.1781147,5.013309419155121e-05,3407,0.0006516948342323303,
323456,-0.49230003356933594,0.0,501.8839864730835,0.00027694753953255713,,-0.0005156546831130981,0.00010599078086670488,0.5729669332504272,680.0,1763260560.3234155,7.147900760173798e-05,3419,-0.0032859742641448975,
324098,,,502.43881845474243,,500.0,,,,,1763260560.8782475,,3426,,500.0
324352,-1.1941161155700684,0.0,502.7462511062622,0.0019061373313888907,,-0.0032237954437732697,0.00010545314580667764,0.47179844975471497,680.0,1763260561.1856802,0.00011801347136497498,3428,0.00023256056010723114,
325098,,,503.3668897151947,,500.0,,,,,1763260561.8063188,,3435,,500.0
326598,,,504.72168159484863,,500.0,,,,,1763260563.1611106,,3450,,500.0
326656,-0.0005033016204833984,0.0,504.84851908683777,375.34716796875,,-0.001152079552412033,0.00010407066292827949,0.5528683662414551,682.0,1763260563.2879481,0.00019657332450151443,3451,-9.111780673265457e-05,
327808,0.014543890953063965,0.0,505.88316082954407,0.003547342261299491,,-0.0033468976616859436,0.00010337941785110161,0.4833967089653015,683.0,1763260564.3225899,0.00046282634139060974,3462,-0.008410926908254623,
329216,-0.00012540817260742188,0.0,507.15956687927246,186.05035400390625,,0.005836494266986847,0.00010253456275677308,0.5573316812515259,684.0,1763260565.598996,0.00018937978893518448,3476,-0.0016430066898465157,
329598,,,507.4634087085724,,500.0,,,,,1763260565.9028378,,3479,,500.0
