charts/SPS,losses/clipfrac,losses/explained_variance,losses/approx_kl,losses/entropy,charts/learning_rate,losses/old_approx_kl,global_step,charts/episodic_return,_runtime,_step,_timestamp,losses/policy_loss,charts/episodic_length,losses/value_loss
651.0,0.0,-0.011617541313171387,0.00048345979303121567,0.48657822608947754,0.0002551459183450788,0.002472751773893833,74880,,140.66248106956482,980,1763260161.8396862,0.0055413395166397095,,0.000618297082837671
650.0,0.0,-0.2641286849975586,5.650334060192108e-05,0.512709379196167,0.00025483869831077754,-0.0003471504896879196,75392,,141.59174799919128,985,1763260162.768953,0.0011900216341018677,,4.0206687117461115e-05
648.0,0.00390625,0.06613391637802124,0.0016886116936802864,0.4320441484451294,0.000254224258242175,0.006830275058746338,76416,,143.46067690849304,995,1763260164.637882,-0.002290325239300728,,0.00012860792048741132
648.0,0.0,-9.02414321899414e-05,0.00013442989438772202,0.5032192468643188,0.00025414745323359966,0.0005879634991288185,76544,,143.72141575813293,997,1763260164.8986208,0.0107584148645401,,103.17079162597656
645.0,0.009765625,-0.1699984073638916,0.005949534475803375,0.3587142825126648,0.00025299537810496986,0.018180854618549347,78464,,147.2608301639557,1015,1763260168.4380352,-0.0044260695576667786,,7.620233373017982e-05
644.0,0.001953125,-0.9313517808914185,0.0031772712245583534,0.4811561703681946,0.0002526881580706686,-0.005274235270917416,78976,,148.21350741386414,1020,1763260169.3907125,-0.02396487630903721,,9.441993461223319e-05
,,,,,,,80009,500.0,150.21358156204224,1031,1763260171.3907866,,500.0,
,,,,,,,82009,500.0,153.69611883163452,1050,1763260174.873324,,500.0,
639.0,0.001953125,0.16441136598587036,0.0020558759570121765,0.46571558713912964,0.0002506912569515407,-0.0016190577298402786,82304,,154.35729837417603,1053,1763260175.5345035,-0.024919327348470688,,0.0005690660909749568
638.0,0.0,0.15549129247665405,0.0003008665516972542,0.48227742314338684,0.00025038403691723943,-0.005739924497902393,82816,,155.29992055892944,1058,1763260176.4771256,0.0002070944756269455,,0.000733489403501153
635.0,0.017578125,-0.5450146198272705,0.007232435047626495,0.4464779496192932,0.000248847936745733,0.029180411249399185,85376,,159.92957615852356,1083,1763260181.1067812,-0.024017753079533577,,0.0003024101606570184
635.0,0.0,0.007743239402770996,3.095902502536774e-05,0.4154314398765564,0.0002483871066942811,-0.0006087496876716614,86144,,161.30186820030212,1091,1763260182.4790733,-0.001493716612458229,,0.004774325992912054
633.0,0.0,0.06870806217193604,0.0010240115225315094,0.4621502161026001,0.00024746544659137726,-0.005871415138244629,87680,,163.97542667388916,1106,1763260185.1526318,0.01397746056318283,,0.006314645521342754
633.0,0.0,-0.09322834014892578,0.00010460708290338516,0.46490615606307983,0.00024669739650562406,0.004287983290851116,88960,,166.1444706916809,1118,1763260187.3216758,-0.0016492344439029694,,3.880822259816341e-05
632.0,0.0,0.00015479326248168945,0.00030996184796094894,0.5079925060272217,0.00024631337146274745,-0.0012612873688340187,89600,,167.28569650650024,1125,1763260188.4629016,0.0030733123421669006,,300.73284912109375
632.0,0.0,0.05498617887496948,0.0008461112156510353,0.4038606882095337,0.0002457757364027202,-0.011029458604753017,90496,,168.82569360733032,1133,1763260190.0028987,-0.007654298096895218,,0.00015569690731354058
631.0,0.0,0.04345327615737915,0.0001406921073794365,0.42582789063453674,0.00024508449132554233,-0.0051936497911810875,91648,,170.8587465286255,1145,1763260192.0359516,-0.0015324931591749191,,0.003939388785511255
629.0,0.0,9.375810623168945e-05,0.00017192866653203964,0.4605097770690918,0.00024393241619691253,0.0022595012560486794,93568,,174.22048020362854,1164,1763260195.3976853,-0.004080511629581451,,127.84028625488281
629.0,0.001953125,-0.07337498664855957,0.0035337433218955994,0.41342222690582275,0.0002438556111883372,0.018405579030513763,93696,,174.4317228794098,1165,1763260195.608928,-0.020016364753246307,,0.0052345795556902885
629.0,0.0,-0.16051650047302246,6.170198321342468e-05,0.4291456341743469,0.00024339478113688529,-0.0013341568410396576,94464,,175.80190873146057,1172,1763260196.9791138,-0.0005029179155826569,,4.256985630490817e-05
628.0,0.0,0.004553258419036865,0.0003420105203986168,0.3985659182071686,0.00024285714607685804,0.00029711518436670303,95360,,177.464262008667,1181,1763260198.641467,0.005690135061740875,,0.00026236395933665335
627.0,0.0,0.2851642370223999,0.00025514885783195496,0.4541238248348236,0.00024254992604255676,0.010834002867341042,95872,,178.40262603759766,1186,1763260199.5798311,-0.004514767788350582,,0.0004328911018092185
,,,,,,,97009,500.0,180.297030210495,1197,1763260201.4742353,,500.0,
625.0,0.0,0.00017851591110229492,0.0003876369446516037,0.480472594499588,0.00024093702086247504,0.0035531502217054367,98560,,183.25482535362244,1213,1763260204.4320304,-0.0025594644248485565,,4.8915181159973145
625.0,0.0,-0.03924071788787842,0.0003229724243283272,0.4772741496562958,0.0002407834108453244,0.011620079167187214,98816,,183.66744875907898,1215,1763260204.8446538,-0.00038324669003486633,,0.0004957494093105197
624.0,0.001953125,-1.4886739253997803,0.002363300882279873,0.48450613021850586,0.00024009216576814651,-0.0016760481521487236,99968,,185.71042943000793,1226,1763260206.8876345,-0.0185563825070858,,0.0002484090509824455
624.0,0.005859375,0.7932766675949097,0.0036648865789175034,0.4920390546321869,0.00023986175074242055,-0.0018303673714399338,100352,,186.42871952056885,1230,1763260207.6059246,-0.0235106460750103,,0.0005161840817891061
623.0,0.0,0.06027907133102417,0.00013591907918453217,0.4912399649620056,0.0002396313357166946,-0.003108689561486244,100736,,187.12464714050293,1234,1763260208.3018522,-0.00023068487644195557,,0.005037995986640453
622.0,0.0,-2.1000611782073975,0.0013919994235038757,0.5507118701934814,0.0002389400906395167,0.01864432729780674,101888,,189.22768688201904,1245,1763260210.404892,-0.020636077970266342,,0.00045439746463671327
622.0,0.0,0.5307625532150269,0.0005067521706223488,0.467796266078949,0.00023840245557948947,0.00012493599206209183,102784,,190.8733525276184,1254,1763260212.0505576,0.00668710470199585,,0.0004126888234168291
,,,,,,,104509,500.0,193.95972323417664,1271,1763260215.1369283,,500.0,
618.0,0.005859375,-0.6160187721252441,0.0039056334644556046,0.34936028718948364,0.00023563747527077794,0.014582546427845955,107392,,199.25408005714417,1299,1763260220.4312851,0.0024104341864585876,,6.567766104126349e-05
615.0,0.001953125,-1.0147991180419922,0.0014477698132395744,0.4444553256034851,0.00023317972954828292,0.011000861413776875,111488,,206.8525459766388,1339,1763260228.029751,-0.002013423480093479,,0.00016786599007900804
,,,,,,,111509,500.0,206.90352869033813,1340,1763260228.0807338,,500.0,
,,,,,,,112509,500.0,208.5797221660614,1349,1763260229.7569273,,500.0,
613.0,0.0,0.25775957107543945,0.0006672078743577003,0.45967230200767517,0.00023172043438535184,-0.0024593332782387733,113920,,211.30058336257935,1363,1763260232.4777884,-0.0057028308510780334,,0.000420501601183787
