losses/policy_loss,_runtime,losses/old_approx_kl,charts/SPS,charts/episodic_return,losses/explained_variance,charts/learning_rate,_timestamp,global_step,losses/value_loss,charts/episodic_length,_step,losses/clipfrac,losses/approx_kl,losses/entropy
-0.0010786354541778564,477.88935899734497,-0.0012442395091056824,713.0,,-0.10753893852233887,0.00010668202594388276,1763260499.030817,322304,0.0005755503661930561,,3338,0.0,0.000246487557888031,0.5480325818061829
-0.005904696881771088,479.39424777030945,0.010760702192783356,713.0,,0.00018715858459472656,0.00010591397585812956,1763260500.5357058,323584,373.7449035644531,,3351,0.0,0.0004071556031703949,0.5422074198722839
-0.0015669222921133041,480.1429908275604,0.0015023043379187584,713.0,,0.008033573627471924,0.00010552995081525296,1763260501.2844489,324224,0.005835169460624456,,3357,0.0,0.0001040855422616005,0.3731623589992523
,480.4399471282959,,,500.0,,,1763260501.5814052,324536,,500.0,3360,,,
-0.004000730812549591,482.32600593566895,0.0018736450001597404,714.0,,0.00031578540802001953,0.00010437788296258077,1763260503.467464,326144,390.6277160644531,,3377,0.0,0.000143430195748806,0.5056038498878479
-0.020641174167394638,484.8654320240021,0.0018609389662742615,715.0,,0.2324771285057068,0.00010307219781680033,1763260506.00689,328320,0.005518232937902212,,3398,0.0,0.0014322884380817413,0.4959036707878113
,485.188636302948,,,500.0,,,1763260506.3300943,328609,,500.0,3401,,,
,485.802547454834,,,500.0,,,1763260506.9440055,329109,,500.0,3406,,,
0.0014355480670928955,485.9579083919525,0.004215504974126816,715.0,,0.0013155341148376465,0.00010253456275677308,1763260507.0993664,329216,252.49539184570312,,3407,0.0,0.00023283064365386963,0.4765777289867401
-0.00589984655380249,487.40085315704346,0.010628080926835537,716.0,,-0.6541354656219482,0.00010176651267101988,1763260508.5423112,330496,0.00047618974349461496,,3419,0.0,0.0007528485730290413,0.5041728615760803
0.009553726762533188,487.9870991706848,-0.00542133953422308,716.0,,0.0009987354278564453,0.00010138248762814328,1763260509.1285572,331136,338.9749450683594,,3426,0.0,0.000323479063808918,0.5187891721725464
-0.005004480481147766,488.2148072719574,0.017955858260393143,716.0,,0.37444669008255005,0.00010122887761099264,1763260509.3562653,331392,0.0005051704938523471,,3428,0.0,0.002407936379313469,0.5459551215171814
,488.996395111084,,,500.0,,,1763260510.1378531,332109,,500.0,3435,,,
,490.7996826171875,,,500.0,,,1763260511.9411407,333609,,500.0,3450,,,
-0.0014723502099514008,490.9152011871338,-0.0003678584471344948,717.0,,0.002300441265106201,9.984638745663688e-05,1763260512.0566592,333696,280.4564208984375,,3451,0.0,4.384014755487442e-05,0.4541185796260834
-0.0035426057875156403,492.15957164764404,0.0032696928828954697,718.0,,0.5541821122169495,9.9155142379459e-05,1763260513.3010297,334848,0.004813730716705322,,3462,0.0,0.0001639723777770996,0.4998707175254822
-0.0022109225392341614,493.81710958480835,-0.009791151620447636,718.0,,0.9085500836372375,9.831029456108809e-05,1763260514.9585676,336256,0.0040254415944218636,,3476,0.0,0.0002516573294997215,0.5207468867301941
,494.14485216140747,,,500.0,,,1763260515.2863102,336609,,500.0,3479,,,
-0.0008247792720794678,496.51713347435,-0.0007474524900317192,719.0,,-0.1079639196395874,9.692780440673232e-05,1763260517.6585915,338560,0.0005495681543834507,,3498,0.0,4.564877599477768e-05,0.46417000889778137
0.0003245435655117035,497.07729506492615,0.0017950935289263725,719.0,,-1.026052474975586,9.662058437243104e-05,1763260518.218753,339072,0.00034577870974317193,,3503,0.0,0.00023963768035173416,0.452560693025589
0.0004079267382621765,498.22412633895874,0.0018277177587151527,720.0,,-0.12319660186767578,9.600614430382848e-05,1763260519.3655844,340096,0.0005814942414872348,,3513,0.0,0.00013137143105268478,0.43193721771240234
0.0037509948015213013,499.5405476093292,-0.0043096235021948814,720.0,,0.8852999210357666,9.53148992266506e-05,1763260520.6820056,341248,0.003292405279353261,,3525,0.0,8.386094123125076e-05,0.4375351667404175
-0.003641963005065918,500.9034481048584,-0.00022157840430736542,721.0,,0.5055347681045532,9.45468491408974e-05,1763260522.0449061,342528,0.00026351012638770044,,3537,0.0,0.00012221001088619232,0.5193538665771484
-0.0020934827625751495,502.77826499938965,0.0013013370335102081,721.0,,0.0020064115524291992,9.354838402941823e-05,1763260523.919723,344192,144.14822387695312,,3554,0.0,0.0001733694225549698,0.46595168113708496
-0.0012280382215976715,502.91317319869995,-0.0020271725952625275,721.0,,0.375679612159729,9.347157902084291e-05,1763260524.0546312,344320,0.00421013543382287,,3555,0.0,0.00019881874322891235,0.4959943890571594
-0.0002294480800628662,505.3142750263214,-0.00014868471771478653,722.0,,0.17827826738357544,9.216590115102008e-05,1763260526.455733,346496,0.0005403512623161077,,3576,0.0,7.745809853076935e-06,0.3957414925098419
-0.001339104026556015,505.45600986480713,-0.0003473116084933281,722.0,,0.0005175471305847168,9.208909614244476e-05,1763260526.597468,346624,139.29190063476562,,3578,0.0,5.980301648378372e-05,0.4711013436317444
-0.0030146390199661255,505.8897747993469,-0.0032497039064764977,723.0,,-0.09636163711547852,9.18586811167188e-05,1763260527.0312328,347008,0.0005212355172261596,,3581,0.0,0.0003015408292412758,0.4110110402107239
-0.003994164057075977,506.78001856803894,-0.0016727373003959656,723.0,,0.7489537000656128,9.139785106526688e-05,1763260527.9214766,347776,0.005209909752011299,,3589,0.0,0.0001462101936340332,0.4547891616821289
-0.0028049685060977936,509.4934160709381,-0.0011455239728093147,724.0,,0.003170490264892578,8.993855590233579e-05,1763260530.634874,350208,192.92538452148438,,3613,0.0,0.00010467786341905594,0.4286734163761139
,510.49511551856995,,,500.0,,,1763260531.6365736,351109,,500.0,3622,,,
0.004632148891687393,512.5471670627594,-0.0015433821827173233,725.0,,0.7934187650680542,8.824884571367875e-05,1763260533.688625,353024,0.0003712993348017335,,3640,0.0,9.901076555252075e-05,0.49810510873794556
,514.2533624172211,,,500.0,,,1763260535.3948205,354609,,500.0,3656,,,
-0.0001853853464126587,515.7634274959564,-0.00033164024353027344,726.0,,-0.11002731323242188,8.6482337792404e-05,1763260536.9048855,355968,0.0006839339039288461,,3669,0.0,4.441849887371063e-05,0.4547070264816284
0.00020311400294303894,516.8827362060547,-0.002871946431696415,727.0,,0.08254963159561157,8.586789772380143e-05,1763260538.0241942,356992,0.000531537807546556,,3679,0.0,0.0004322146996855736,0.4438849687576294
0.006936240941286087,517.2833456993103,0.004126523621380329,727.0,,0.8337537050247192,8.563748269807547e-05,1763260538.4248037,357376,0.0006387341418303549,,3683,0.0,0.0009015677496790886,0.47552281618118286
-0.003698214888572693,517.4095330238342,0.002306378446519375,727.0,,0.49663418531417847,8.556067768950015e-05,1763260538.550991,357504,0.00048479140968993306,,3684,0.0,0.00031931232661008835,0.37803614139556885
0.0012652724981307983,520.3312184810638,-0.008000059053301811,728.0,,0.009601473808288574,8.394777250941843e-05,1763260541.4726765,360192,126.12960815429688,,3711,0.0,0.0003679729998111725,0.40963253378868103
