lambda,early_learning_value_mean,early_learning_value_ci95,early_learning_p5,early_learning_p95
0.85,371.631193829038,2.2082948604530146,353.1426496858868,388.9979363950172
0.86,375.7246094889156,2.2428397521833254,355.59386418830604,392.3360518725344
0.87,375.4230771651288,2.350556396293769,352.86088812236477,393.39982540007725
0.88,375.8718472400262,2.1016936575988336,358.79423378903243,391.80536621116516
0.89,376.97538016452427,2.3630452735624594,350.6915201836376,394.0834803673844
0.9,380.80438626366697,1.7376449474159186,366.1828845663044,395.0604585213368
0.905,377.5005957251216,2.1607190514684986,355.3806261618308,394.7989789983788
0.91,381.14013544778413,1.8164182638980524,364.50842381738966,396.7668107340344
0.915,379.39102103677556,3.106406824475627,359.465847932258,397.5816947637992
0.92,383.2610012821052,1.7230611628722776,371.5619139243416,397.91286282613396
0.925,384.03657487223563,2.104936864496581,365.281209562958,400.58271376582525
0.93,380.5875938772507,2.382585454720896,363.900829802204,398.607046214498
0.935,383.50285242082464,1.9386428694449087,365.17010854075636,399.5636200285027
0.9400000000000001,383.98282073943375,2.5058227628386405,367.1089362184039,401.1956991917936
0.9450000000000001,382.9308402805898,3.561818004935862,363.766796534138,402.70540821120557
0.95,383.28337172657365,2.389510802655342,362.75483551022,402.385032770456
0.9550000000000001,381.0347991139756,2.366655596934538,362.5384584195629,397.1505485015084
0.96,380.05638592871327,2.3155898023103,363.5786139577736,399.6336328676672
0.965,378.0017297946787,2.713259730630127,353.4619365244592,400.56703273446317
0.97,380.8434888770621,2.6511269346447945,358.4293126591916,402.42048008095486
0.975,376.5099715737952,2.544804457349785,354.569340139262,395.4159346676747
0.98,372.01722693203686,3.3871396450881055,346.0077418160996,398.204929410266
0.985,371.3711645645354,3.8346932401367,341.16105932275406,394.8827789659784
0.99,368.3747809745889,4.0479840972676415,335.48896677859165,398.2688725381519
0.995,361.13381134320446,4.136548760566539,318.575008150742,387.90897723093434
1.0,352.28488547856983,4.644098642825369,314.25362210798716,385.87091014227684
