lambda,convergence_value_mean,convergence_value_ci95,convergence_p5,convergence_p95
0.6900000000000001,493.92155209726405,7.921020803853918,496.44604089209605,500.0
0.7000000000000001,495.4487444608449,5.107131534275319,489.98105490992634,500.0
0.71,486.2620185454384,11.82834291405903,477.1508550737353,500.0
0.72,493.2651416365698,6.892735498237552,480.9879230621936,500.0
0.73,494.5571262489744,6.358659217060952,483.857296214657,500.0
0.74,491.6522063412932,7.869047358506163,458.2090660744757,500.0
0.75,497.65791825424344,2.318067445299859,492.2739425479159,500.0
0.76,491.1131677602418,8.166899412724737,467.9487111531283,500.0
0.77,497.0771414424703,2.369959542654668,485.2345948133816,500.0
0.78,498.38675247351136,1.5672599454413911,497.30729661460396,500.0
0.79,493.4048621857188,5.755014278594225,469.32242002494905,500.0
0.8,490.0925469611307,10.498503022698221,478.76900253809,500.0
0.81,490.05626225683295,9.79829284358364,480.002999506079,500.0
0.8200000000000001,492.9889856940319,7.395662060548201,478.59412868834306,500.0
0.8300000000000001,494.93258022462413,5.1810721058761295,483.00407100820996,500.0
0.84,495.42549719869356,3.7016606074154335,466.4611389007012,500.0
0.85,494.8996027553895,5.217727999391916,474.80786603102064,500.0
0.86,497.57140934377617,1.4885686674410927,489.16087241183266,500.0
0.87,490.9725534120925,7.354330276350436,462.97730826114093,500.0
0.88,498.17967307593574,1.1192422125776902,487.1381143095936,500.0
0.89,497.5612350776793,1.4204083688264815,486.14691129387785,500.0
0.9,497.99087901493033,1.0464912364703127,482.506223512517,500.0
0.905,492.41574648761235,6.841959334476569,484.033475567015,500.0
0.91,495.8095780394051,1.980433497527346,482.70423940854806,500.0
0.915,497.0278222550125,1.398426021281403,482.532112564295,500.0
0.92,492.89858790873785,5.162596778063313,479.123255246594,500.0
0.925,496.16698288714093,1.2388998884290925,483.5475970952601,500.0
0.93,493.7033468614499,4.757787340965048,479.76082536470363,500.0
0.935,495.2411036822245,1.7526995325179182,477.63319776648495,500.0
0.9400000000000001,493.8826992306096,2.554577570961578,479.0675509868969,500.0
0.9450000000000001,494.53177558755016,2.9294757839133156,473.021255542619,500.0
0.95,493.25193001899436,2.957320914575554,472.48685497381996,500.0
0.9550000000000001,494.18751571894165,1.763657037756951,473.9622959246959,500.0
0.96,492.1316212132377,2.114382374350083,467.82986565985993,500.0
0.965,490.62040255963797,3.366999636828858,470.45393817521494,500.0
0.97,492.30281464949104,1.8694056952674833,472.55409310829594,500.0
0.975,491.62384251464044,3.372876758033388,465.9494434096765,500.0
0.98,492.2077130640095,2.626125900921827,458.903190806546,500.0
0.985,487.4625067121248,3.5456502547634843,456.065039630255,500.0
0.99,490.9853032257035,2.845518694188669,467.533479067088,500.0
0.995,492.28127960529224,2.806758843218663,463.8212090787285,500.0
1.0,491.85861256682665,3.027386597480715,460.75592551200805,500.0
