lambda,convergence_value_mean,convergence_value_ci95,convergence_p5,convergence_p95
0.66,-85.59343639566325,0.434802125075749,-89.93379319809486,-82.58683263439866
0.67,-85.75019050112054,0.46620597608106074,-90.80470227478929,-82.80242473928962
0.68,-85.5424554404007,0.4819417210610165,-90.20635756614564,-82.87961405296222
0.6900000000000001,-85.52565634982369,0.4711119716833646,-90.04840477282895,-83.03406367624123
0.7000000000000001,-85.62354891345487,0.41001810285251034,-89.21355360360654,-82.8850177352784
0.71,-85.70841943645674,0.47050769896682304,-90.15436492071537,-82.8480846628204
0.72,-85.35740855333353,0.3656567549590328,-88.04626592613178,-82.81766466118599
0.73,-85.27589854698867,0.3735836296980671,-88.67777930356723,-82.44665923678843
0.74,-85.42267028765515,0.4896454626431075,-89.94850915286403,-82.50594899821118
0.75,-84.96885280029171,0.3404607619092287,-87.69095865178011,-82.64347532840696
0.76,-84.90277520053641,0.3427828821525527,-88.08795659182795,-82.80414430773824
0.77,-85.32934482491488,0.38279469517736614,-88.78594856840796,-82.52108699654683
0.78,-85.11539567783922,0.3725733479846587,-88.02812955046655,-82.87115081665313
0.79,-85.14443090313961,0.3545691328942853,-88.28055693770834,-82.94906437929676
0.8,-85.07828887280922,0.36192309133300293,-88.63349265836844,-82.64733733985813
0.81,-85.42899504345621,0.4724572239520781,-89.88226940893382,-82.81242267635257
0.8200000000000001,-84.87600511092334,0.33701999376542735,-88.3306840894433,-82.76082235248585
0.8300000000000001,-85.22385072541239,0.37454386815694923,-88.6781718239437,-82.5747547543518
0.84,-84.71785453250084,0.3527992935151828,-88.36208703584998,-82.34249953941496
0.85,-85.1227479959544,0.3656237307273351,-87.75162190420559,-82.7203611371817
0.86,-84.97919366196797,0.3890939650559682,-88.5206948117361,-82.6506456889531
0.87,-84.85175297810696,0.3554569653158,-88.45548486019409,-82.4649639507183
0.88,-85.01276943567564,0.35559186989930597,-88.37219001484952,-82.91631714261992
0.89,-85.20386508243591,0.3529687061121112,-88.40019876701103,-82.66808565765204
