losses/explained_variance,charts/SPS,losses/clipfrac,losses/entropy,losses/old_approx_kl,charts/episodic_return,_timestamp,losses/value_loss,losses/policy_loss,global_step,charts/learning_rate,charts/episodic_length,_step,losses/approx_kl,_runtime
,,,,,124.0,1763260151.109743,,,39536,,124.0,559,,66.16740012168884
0.9665504693984985,1031.0,0.0,0.5365085601806641,0.007685743272304535,,1763260151.7657766,13.668922424316406,-0.010015252977609634,40192,0.0002759600756689906,,568,0.000529734417796135,66.82343363761902
0.4946650266647339,1035.0,0.0,0.520114541053772,0.002258792519569397,,1763260153.7145371,7.629104137420654,-0.0029191114008426666,42368,0.00027465439052321017,,595,0.0004968661814928055,68.77219414710999
0.5692717432975769,1038.0,0.001953125,0.49792909622192383,0.015323932282626629,,1763260154.9613414,124.78380584716797,-0.021854892373085022,43776,0.00027380953542888165,,612,0.0025607096031308174,70.01899838447571
,,,,,233.0,1763260155.0726192,,,43905,,233.0,614,,70.13027620315552
0.8060336112976074,1040.0,0.0,0.4840499460697174,-0.0029202941805124283,,1763260156.1038857,3.6592345237731934,-0.0019365176558494568,45056,0.00027304148534312844,,630,0.000162394717335701,71.16154265403748
0.8892677426338196,1041.0,0.001953125,0.49264898896217346,0.022900210693478584,,1763260156.5481687,6.164473056793213,0.012044418603181839,45568,0.00027273426530882716,,636,0.0031291721388697624,71.60582566261292
0.7592129707336426,1041.0,0.0,0.45561960339546204,0.008333549834787846,,1763260156.7911024,92.16947937011719,-0.013457164168357849,45824,0.0002725806552916765,,640,0.0010417969897389412,71.8487594127655
0.9014347791671753,1043.0,0.0,0.4666239321231842,0.0016187112778425217,,1763260157.4673653,2.2155344486236572,-0.0024285949766635895,46592,0.0002721198252402246,,650,0.0008278209716081619,72.52502226829529
,,,,,55.0,1763260158.1840565,,,47386,,55.0,664,,73.24171352386475
,,,,,172.0,1763260159.2319415,,,48542,,172.0,684,,74.28959846496582
,,,,,278.0,1763260159.5782528,,,48973,,278.0,689,,74.63590979576111
0.9579966068267822,1047.0,0.009765625,0.49802452325820923,0.01855977065861225,,1763260160.35237,9.461231231689453,-0.0023563187569379807,49792,0.0002701997000258416,,698,0.006985940970480442,75.41002702713013
0.9201420545578003,1048.0,0.0,0.5166417956352234,0.005385356955230236,,1763260160.6820922,3.668646812438965,0.008725158870220184,50176,0.00026996928500011563,,702,0.0004787808284163475,75.73974919319153
,,,,,370.0,1763260161.0957367,,,50644,,370.0,707,,76.15339374542236
,,,,,231.0,1763260162.9066179,,,52254,,231.0,729,,77.96427488327026
0.9133787155151367,1036.0,0.015625,0.41949447989463806,-0.01867477409541607,,1763260165.8843606,47.89533996582031,0.00693686306476593,55040,0.00026705069467425346,,757,0.004693107679486275,80.94201755523682
0.7308975458145142,1037.0,0.0,0.4481796622276306,-0.002837798558175564,,1763260166.361042,155.6177978515625,0.0013302229344844818,55552,0.0002667434746399522,,762,0.00012414436787366867,81.41869902610779
-0.278789758682251,1038.0,0.0,0.4704969525337219,-0.0009541576728224754,,1763260166.8092558,2.509873390197754,0.00010660011321306229,56064,0.0002664362546056509,,767,6.997492164373398e-05,81.86691284179688
0.0785975456237793,1038.0,0.0,0.508223831653595,-0.004454570822417736,,1763260167.5071976,322.88702392578125,0.006351783871650696,56832,0.000265975424554199,,775,0.0006423508748412132,82.5648546218872
0.7558873891830444,1040.0,0.0,0.467229962348938,-0.0008812658488750458,,1763260168.6508312,6.038505554199219,-0.0005426034331321716,58112,0.0002652073744684458,,788,0.00015419907867908478,83.70848822593689
-0.6342567205429077,1041.0,0.0234375,0.45897790789604187,-0.0025336816906929016,,1763260169.45122,25.480831146240234,0.0015440136194229126,59008,0.00026466973940841854,,797,0.00224378053098917,84.50887703895569
0.4115464687347412,1042.0,0.0,0.4386320412158966,0.0010217707604169846,,1763260170.2426755,1.3422987461090088,-0.009801782667636871,59904,0.0002641321043483913,,806,0.0009916070848703384,85.30033254623413
