losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
0.0,2.7406960725784302e-05,0.0018073851242661476,-0.0013376660645008087,-0.05247390270233154,1059.0,8.564929008483887,66.34231686592102,0.00027534563560038805,,,568,41216,0.5459985733032227,1763260151.6966968
,,,,,,,68.17222356796265,,132.0,132.0,595,43266,,1763260153.5266035
,,,,,,,69.38223814964294,,156.0,156.0,612,44640,,1763260154.736618
,,,,,,,69.50212669372559,,153.0,153.0,614,44793,,1763260154.8565066
,,,,,,,70.7598626613617,,446.0,446.0,630,46182,,1763260156.1142426
,,,,,,,71.1897325515747,,250.0,250.0,636,46642,,1763260156.5441124
0.0,4.48739156126976e-05,-0.0009557008743286133,-0.00044665951281785965,0.8515561819076538,1065.0,2.0540149211883545,71.53536200523376,0.00027188941021449864,,,640,46976,0.6254904270172119,1763260156.889742
0.0,0.00013665109872817993,-0.002344071865081787,0.00012456625699996948,-0.33786094188690186,1066.0,218.46029663085938,72.3184642791748,0.0002713517751544714,,,650,47872,0.6005516052246094,1763260157.6728442
,,,,,,,73.26306748390198,,190.0,190.0,664,48959,,1763260158.6174474
0.0,0.0034979023039340973,-0.03269648924469948,0.01176147349178791,0.9109765291213989,1067.0,11.511964797973633,74.81710076332092,0.00026973886997438967,,,684,50560,0.6233489513397217,1763260160.1714807
0.0,8.413009345531464e-05,-0.002683427184820175,-0.0002540033310651779,-0.7184666395187378,1067.0,11.564641952514648,75.15751838684082,0.0002695084549486637,,,689,50944,0.5474581718444824,1763260160.5118983
,,,,,,,75.75253629684448,,103.0,103.0,698,51599,,1763260161.1069162
,,,,,,,75.99139046669006,,107.0,107.0,702,51887,,1763260161.3457704
0.0,0.0017416467890143394,0.002547016367316246,0.004344006069004536,0.38255178928375244,1069.0,123.03369140625,76.42221784591675,0.0002686635998543352,,,707,52352,0.5930771231651306,1763260161.7765977
0.0,0.00015143118798732758,-0.005290821194648743,0.0029227156192064285,0.015364766120910645,1062.0,595.837158203125,78.39755153656006,0.0002675883297342807,,,729,54144,0.5635018944740295,1763260163.7519314
0.001953125,0.003757094033062458,-0.01057133823633194,0.0039028609171509743,0.4311434030532837,1060.0,277.06591796875,80.57044339179993,0.00026628264458850026,,,757,56320,0.5918192863464355,1763260165.9248233
0.0,0.0011922083795070648,-0.006568234413862228,-0.00016069598495960236,-0.05067741870880127,1060.0,386.6385803222656,80.91003584861755,0.0002660522295627743,,,762,56704,0.599885106086731,1763260166.2644157
,,,,,,,81.31066942214966,,296.0,296.0,767,57160,,1763260166.6650493
