losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/old_approx_kl,global_step,losses/entropy,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,losses/explained_variance,_runtime,_timestamp,losses/policy_loss,charts/SPS
9.41278412938118e-05,,,-0.0014609219506382942,68480,0.5310161709785461,0.07718107849359512,0.0,872,0.00025898616877384484,-0.4355335235595703,90.75828433036804,1763260176.1036153,-0.0026764050126075745,1081.0
0.0009484495967626572,,,-0.0008440613746643066,68864,0.5664550065994263,0.03870372846722603,0.0,876,0.0002587557537481189,0.5310325026512146,91.12918210029602,1763260176.474513,-0.011408314108848572,1081.0
0.000151156447827816,,,0.00012008380144834518,72192,0.5834036469459534,0.1174246221780777,0.0,916,0.00025675882352516055,-0.47793376445770264,94.12647032737732,1763260179.4718013,0.003482706844806671,1082.0
3.371015191078186e-05,,,2.6596710085868835e-05,72832,0.5007634162902832,1.7158125638961792,0.0,922,0.00025637479848228395,0.8585771322250366,94.72568917274475,1763260180.0710201,0.0004441291093826294,1082.0
9.343773126602173e-05,,,0.00149574875831604,73472,0.48069652915000916,336.51153564453125,0.0,930,0.00025599077343940735,0.16815024614334106,95.32045197486877,1763260180.665783,4.751235246658325e-05,1082.0
0.000428992323577404,,,-0.00039531197398900986,74368,0.5589756369590759,0.09490988403558731,0.0,938,0.0002554531383793801,0.6389610171318054,96.09762787818909,1763260181.4429588,-0.00917905755341053,1083.0
0.0013045892119407654,,,0.022111663594841957,74624,0.4816132187843323,0.06293031573295593,0.005859375,941,0.00025529952836222947,-0.1521012783050537,96.36013388633728,1763260181.7054648,0.0001689232885837555,1083.0
0.00034746062010526657,,,0.006974807940423489,74752,0.4804387092590332,0.016285305842757225,0.0,942,0.00025522272335365415,-0.036345481872558594,96.47106337547302,1763260181.8163943,-0.009404048323631287,1083.0
0.0006598550826311111,,,0.0017946679145097733,75392,0.5202251672744751,0.034372422844171524,0.0,948,0.00025483869831077754,-0.870964527130127,97.02820944786072,1763260182.3735404,-0.010597452521324158,1083.0
0.00041166506707668304,,,-0.002300938591361046,77952,0.5437321066856384,629.9317016601562,0.0,974,0.00025330259813927114,9.185075759887695e-05,99.32311511039734,1763260184.668446,-0.009062783792614937,1084.0
0.00010522361844778061,,,0.0020325006917119026,78592,0.5172669887542725,0.0029630670323967934,0.0,980,0.00025291857309639454,0.10554462671279907,99.91636729240417,1763260185.2616982,-0.0006259232759475708,1084.0
4.7443434596061707e-05,,,-1.193024218082428e-05,79104,0.5541157126426697,0.003020876320078969,0.0,985,0.00025261135306209326,0.04217177629470825,100.36063694953918,1763260185.705968,0.0003725271672010422,1085.0
0.00015925616025924683,,,0.003113146871328354,80128,0.5492746233940125,0.0034216917119920254,0.0,995,0.00025199694209732115,0.691956639289856,101.28815174102783,1763260186.6334827,0.00199277326464653,1085.0
0.004852674901485443,,,0.005495496094226837,80384,0.4964454770088196,0.0076185474172234535,0.005859375,997,0.0002518433320801705,-2.2698748111724854,101.53876566886902,1763260186.8840966,-0.006701715290546417,1085.0
0.0007872562855482101,,,0.010191773995757103,82176,0.44046837091445923,0.003720734268426895,0.0,1015,0.00025076806196011603,-0.47441136837005615,103.14014935493469,1763260188.4854803,0.006726099178195,1085.0
0.0004307245835661888,,,-0.005884180776774883,82688,0.44624948501586914,0.0019790588412433863,0.0,1020,0.00025046084192581475,0.6175193786621094,103.61732029914856,1763260188.9626513,-0.0005494877696037292,1085.0
0.00966647733002901,,,0.009382129646837711,83840,0.3320501148700714,0.0005864750710316002,0.0234375,1031,0.00024976959684863687,-3.1532955169677734,104.65394496917725,1763260189.999276,-0.015780162066221237,1086.0
