losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_runtime,charts/SPS,losses/policy_loss,_timestamp,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/approx_kl,_step,global_step,charts/learning_rate
0.40300804376602173,0.9066978693008423,0.004258148837834597,0.005859375,208.68149852752686,1079.0,0.007483452558517456,1763260293.8821576,0.0004128357395529747,,,0.0025100307539105415,2141,195456,0.00018279570213053375
0.4076259434223175,0.8662251830101013,0.004978304263204336,0.0,209.16293907165527,1079.0,-0.0018945522606372833,1763260294.363598,0.0009953547269105911,,,0.0011326484382152557,2146,195968,0.00018248848209623247
0.3522002696990967,0.7981704473495483,0.007570402696728706,0.0,209.27319502830505,1079.0,0.015028096735477448,1763260294.473854,0.001828797161579132,,,0.0008738785982131958,2147,196096,0.00018241167708765715
,,,,209.2953064441681,,,1763260294.4959655,,500.0,500.0,,2148,196155,
0.351357638835907,0.39797496795654297,0.0029715602286159992,0.0078125,210.0254671573639,1079.0,0.006232747808098793,1763260295.2261262,-0.004292752593755722,,,0.003506923094391823,2155,196864,0.00018195084703620523
,,,,211.61900734901428,,,1763260296.8196664,,500.0,500.0,,2172,198655,
0.3157939910888672,0.5866658687591553,0.001316242036409676,0.0,212.83091950416565,1079.0,-0.018118079751729965,1763260298.0315785,0.0003312602639198303,,,0.001607254147529602,2185,199936,0.00018010752683039755
,,,,213.44952249526978,,,1763260298.6501815,,500.0,500.0,,2192,200655,
0.4033825695514679,0.019303977489471436,166.64422607421875,0.001953125,214.01332354545593,1079.0,0.02011643350124359,1763260299.2139826,0.00311091635376215,,,0.0021551037207245827,2198,201216,0.00017933947674464434
0.33932775259017944,0.44720983505249023,0.0054097892716526985,0.001953125,214.12756514549255,1079.0,-0.0018541701138019562,1763260299.3282242,0.008789625018835068,,,0.001593535766005516,2199,201344,0.00017926267173606902
0.3440026044845581,-0.8769710063934326,0.0008431146270595491,0.0,215.30089378356934,1079.0,0.0015771761536598206,1763260300.5015528,0.009551256895065308,,,0.0002281833440065384,2211,202624,0.00017849462165031582
0.2561822235584259,0.4688606858253479,0.00481040496379137,0.001953125,215.54095339775085,1079.0,0.003797721117734909,1763260300.7416124,0.0012344243004918098,,,0.0020156679674983025,2214,202880,0.00017834101163316518
0.34881675243377686,0.6506673693656921,0.001992941601201892,0.033203125,216.15053749084473,1079.0,-0.0033601531758904457,1763260301.3511965,0.0030667418614029884,,,0.005398890003561974,2220,203520,0.00017795698659028858
0.3465849757194519,0.009304225444793701,81.84656524658203,0.0,216.37509894371033,1079.0,0.00012571737170219421,1763260301.575758,-0.00010727159678936005,,,1.9244849681854248e-05,2223,203776,0.00017780337657313794
0.32527774572372437,-9.876039505004883,0.0016691995551809669,0.0,216.59560108184814,1079.0,-0.011153846979141235,1763260301.79626,0.007175504229962826,,,0.001688406802713871,2225,204032,0.0001776497665559873
,,,,216.6385886669159,,,1763260301.8392477,,500.0,500.0,,2226,204155,
