losses/clipfrac,losses/explained_variance,_timestamp,global_step,charts/episodic_return,losses/entropy,charts/SPS,losses/approx_kl,charts/learning_rate,charts/episodic_length,_step,losses/old_approx_kl,losses/value_loss,losses/policy_loss,_runtime
0.0,0.0002504587173461914,1763260311.3201425,218240,,0.5227179527282715,1099.0,0.00026247091591358185,0.00016912442515604198,,2363,-0.006229571998119354,304.5329284667969,0.010244309902191162,226.15937542915344
0.0,0.08614534139633179,1763260313.7207355,220928,,0.5753924250602722,1099.0,0.00016334187239408493,0.00016751151997596025,,2389,-0.0014683185145258904,0.0037685770075768232,-0.002960219979286194,228.5599684715271
0.0,-0.1007528305053711,1763260314.2064695,221440,,0.6199864745140076,1099.0,8.470378816127777e-06,0.00016720429994165897,,2394,-0.00042723584920167923,0.0028707326855510473,-0.0006867721676826477,229.04570245742798
0.0,-16.683488845825195,1763260316.8493056,224384,,0.5539678335189819,1099.0,0.0007189884781837463,0.0001654377847444266,,2426,-0.006072573363780975,0.06611724942922592,-0.006834384053945541,231.68853855133057
0.0,-0.0014147758483886719,1763260317.1172845,224640,,0.5335925817489624,1099.0,2.0500272512435913e-05,0.00016528417472727597,,2430,-0.0005354937165975571,222.9141082763672,-1.959502696990967e-06,231.95651745796204
,,1763260318.840765,226600,500.0,,,,,500.0,2449,,,,233.67999792099
0.0,-9.882450103759766e-05,1763260320.3453562,228224,,0.5151949524879456,1099.0,0.00019071809947490692,0.000163133634487167,,2465,-0.00666862353682518,137.2056427001953,0.00031022168695926666,235.18458914756775
0.0,-0.042345523834228516,1763260322.7553325,230912,,0.5042293667793274,1099.0,0.0001477980986237526,0.0001615207438590005,,2491,0.0007402123883366585,0.00028495461447164416,0.0010450780391693115,237.59456539154053
,,1763260322.887697,231100,500.0,,,,,500.0,2493,,,,237.7269299030304
0.0,-0.4504876136779785,1763260324.125094,232448,,0.47732025384902954,1099.0,1.4983117580413818e-05,0.00016059908375609666,,2506,-0.0013295430690050125,0.00039598517469130456,-0.0006669685244560242,238.9643268585205
0.0,-0.00020003318786621094,1763260324.8313544,233216,,0.6020553708076477,1099.0,0.00036434363573789597,0.00016013825370464474,,2514,-0.003877832554280758,219.6424560546875,0.008200407028198242,239.67058730125427
0.0,-0.8161497116088867,1763260324.9414787,233344,,0.4923925995826721,1099.0,0.0006175599992275238,0.00016006144869606942,,2515,-0.006564753130078316,0.0044024731032550335,-0.0020580850541591644,239.7807116508484
0.0,-0.9714295864105225,1763260325.535939,233984,,0.48587870597839355,1099.0,0.0001507224515080452,0.00015967742365319282,,2520,0.00350054819136858,0.0002665181236807257,-0.004479393362998962,240.37517189979553
0.0,-0.4195563793182373,1763260326.6841328,235264,,0.5651379823684692,1099.0,5.551706999540329e-05,0.00015890937356743962,,2533,0.0005303611978888512,0.005333367269486189,-0.0026079779490828514,241.5233657360077
0.0,-0.6707756519317627,1763260327.3508153,236032,,0.553593099117279,1100.0,0.00020876619964838028,0.0001584485435159877,,2540,-0.0019346727058291435,0.00027374638011679053,-0.003222797065973282,242.19004821777344
0.0,-0.0002855062484741211,1763260327.9432743,236672,,0.5545816421508789,1100.0,0.00015808641910552979,0.0001580645184731111,,2547,-0.0026226956397295,411.14337158203125,0.00025109387934207916,242.7825071811676
,,1763260330.058403,239100,500.0,,,,,500.0,2570,,,,244.89763593673706
0.0,2.9206275939941406e-06,1763260330.1282487,239104,,0.54981929063797,1100.0,0.0004188576713204384,0.00015660522331018,,2571,-0.002415112219750881,175.58120727539062,0.0002835746854543686,244.96748161315918
0.0,-3.6954879760742188e-06,1763260330.6019003,239616,,0.5619915723800659,1100.0,0.00024651549756526947,0.00015629800327587873,,2576,0.0003198385238647461,649.2564697265625,-0.002147264778614044,245.44113326072693
0.0,0.34139543771743774,1763260330.7166853,239744,,0.5418137907981873,1100.0,0.0006811125203967094,0.0001562211982673034,,2577,0.007447008974850178,0.00587062630802393,0.0011166930198669434,245.55591821670532
0.0,-0.08971679210662842,1763260333.554617,242944,,0.4616788327693939,1100.0,0.0003493456169962883,0.0001543010730529204,,2608,-0.002169775776565075,0.00021011396893300116,-0.004394248127937317,248.39384984970093
,,1763260333.7104754,243100,500.0,,,,,500.0,2610,,,,248.54970836639404
0.0,3.4570693969726562e-06,1763260335.5180962,245120,,0.584805428981781,1100.0,0.00016232486814260483,0.00015299538790713996,,2630,0.003651709295809269,541.1683349609375,-0.0011854320764541626,250.35732913017273
0.0,-0.09069454669952393,1763260336.1055393,245760,,0.5256305932998657,1100.0,8.474942296743393e-05,0.00015261136286426336,,2636,-0.0009026722982525826,0.004654231481254101,0.0005311407148838043,250.94477224349976
0.0,0.03300011157989502,1763260337.0313148,246784,,0.6009251475334167,1100.0,1.7783604562282562e-05,0.0001519969227956608,,2646,0.002395198680460453,0.0044749220833182335,0.0007859673351049423,251.87054777145386
0.0,-0.14150464534759521,1763260337.1438596,246912,,0.52742600440979,1100.0,0.001451876014471054,0.00015192011778708547,,2647,-0.01574583724141121,0.0003201499057468027,-0.011015217751264572,251.983092546463
0.001953125,0.377619206905365,1763260337.2540946,247040,,0.5334824323654175,1100.0,0.0017980951815843582,0.00015184331277851015,,2648,0.019511863589286804,0.00016455227159895003,-0.0014202147722244263,252.09332752227783
,,1763260339.0202808,249048,500.0,,,,,500.0,2668,,,,253.85951375961304
,,1763260339.3588064,249437,35.0,,,,,35.0,2673,,,,254.19803929328918
0.0,-0.15604627132415771,1763260340.2549722,250368,,0.5074775815010071,1100.0,0.0006047766655683517,0.00014984639710746706,,2683,0.001476505771279335,0.0011656514834612608,-0.008504360914230347,255.0942051410675
0.0,0.10412079095840454,1763260340.590786,250752,,0.5405877828598022,1100.0,0.00036035943776369095,0.0001496159820817411,,2687,0.0017967009916901588,0.006423719227313995,-0.007386423647403717,255.43001890182495
