losses/old_approx_kl,charts/SPS,_timestamp,charts/learning_rate,global_step,losses/clipfrac,_step,losses/policy_loss,losses/value_loss,_runtime,losses/entropy,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance
0.01054124254733324,1076.0,1763260341.77693,0.00015222733782138675,246400,0.0,2687,-0.0019571902230381966,0.00025426465435884893,256.45228004455566,0.5019833445549011,,,0.0005699200555682182,-0.044046640396118164
-0.011121942661702633,1076.0,1763260341.8914695,0.00015215053281281143,246528,0.0,2689,0.004080355167388916,370.4593505859375,256.5668194293976,0.4808104634284973,,,0.0007702959701418877,-4.875659942626953e-05
-0.00017359573394060135,1076.0,1763260342.2221603,0.00015192011778708547,246912,0.0,2692,-0.0008355192840099335,0.0001183206113637425,256.8975102901459,0.45996996760368347,,,9.710900485515594e-06,0.21375375986099243
,,1763260345.9505038,,251005,,2732,,,260.62585377693176,,500.0,500.0,,
,,1763260347.8360806,,253005,,2752,,,262.51143050193787,,500.0,500.0,,
,,1763260348.2785344,,253505,,2757,,,262.95388436317444,,500.0,500.0,,
,,1763260349.646724,,255005,,2772,,,264.3220739364624,,500.0,500.0,,
-0.0030524665489792824,1076.0,1763260350.459895,0.00014654378173872828,255872,0.0,2782,-0.009573910385370255,0.009931899607181549,265.135244846344,0.5879427790641785,,,0.0003641406074166298,-0.1405324935913086
0.004138178192079067,1076.0,1763260350.5715008,0.00014646697673015296,256000,0.0,2783,-0.011040236800909042,0.001385021023452282,265.24685072898865,0.5333042144775391,,,0.0013038711622357368,-0.38485682010650635
0.0022429833188652992,1076.0,1763260351.506969,0.0001458525366615504,257024,0.0,2793,0.0033070966601371765,0.0007116185151971877,266.18231892585754,0.5616830587387085,,,0.00026398804038763046,0.17223918437957764
,,1763260354.3262777,,260179,,2824,,,269.0016276836395,,500.0,500.0,,
-0.008235589601099491,1077.0,1763260356.1554916,0.0001427803363185376,262144,0.001953125,2843,-0.00785045325756073,0.0003478882135823369,270.8308415412903,0.5058232545852661,,,0.0006566746160387993,-6.778101444244385
-0.008397473022341728,1077.0,1763260357.4315422,0.00014193548122420907,263552,0.0,2857,0.0029159486293792725,0.00035441172076389194,272.10689210891724,0.503466784954071,,,0.0006111171096563339,-0.45426416397094727
-0.0007811086252331734,1077.0,1763260359.747851,0.00014039938105270267,266112,0.0,2882,-0.0066023170948028564,0.0001593035412952304,274.4232008457184,0.5376647114753723,,,0.0003835400566458702,-0.1728001832962036
-0.005654576234519482,1077.0,1763260360.489822,0.00013993855100125074,266880,0.0,2890,0.0032841265201568604,0.005579899065196514,275.16517186164856,0.5556389093399048,,,0.0003055008128285408,0.01917552947998047
-0.00480781402438879,1077.0,1763260362.4615538,0.0001386328658554703,269056,0.0,2911,-0.0033131688833236694,0.00016872603737283498,277.1369037628174,0.5347675681114197,,,0.00030851271003484726,0.031022369861602783
-0.005937215872108936,1077.0,1763260364.6628819,0.00013717358524445444,271488,0.0,2935,-0.026482295244932175,0.00043747422751039267,279.3382318019867,0.5704842805862427,,,0.0026819026097655296,-0.20916485786437988
-0.0006436649709939957,1078.0,1763260365.9247968,0.00013632873015012592,272896,0.0,2949,-0.004774333909153938,0.0045061130076646805,280.6001467704773,0.529717206954956,,,0.00015205517411231995,-0.29264354705810547
-0.012024715542793274,1078.0,1763260367.0048835,0.00013563748507294804,274048,0.0,2960,-0.009518996812403202,0.0005393902538344264,281.68023347854614,0.519546627998352,,,0.0022628381848335266,-0.09960699081420898
0.006815417669713497,1078.0,1763260368.3937562,0.0001347158249700442,275584,0.0,2975,-0.007524661719799042,0.00026730404351837933,283.06910610198975,0.5408028364181519,,,0.0009526023641228676,-0.30686914920806885
0.031139720231294632,1078.0,1763260369.6917086,0.00013387096987571567,276992,0.005859375,2989,-0.028692878782749176,0.0003648698329925537,284.3670585155487,0.48263421654701233,,,0.0069837383925914764,0.10357731580734253
0.005562762729823589,1078.0,1763260370.3638375,0.00013341013982426375,277760,0.0,2997,-0.0005912072956562042,547.7896728515625,285.03918743133545,0.568911612033844,,,0.00016440916806459427,-0.00017154216766357422
,,1763260371.7101474,,279179,,3011,,,286.38549733161926,,500.0,500.0,,
-0.00164885725826025,1078.0,1763260375.4870176,0.00013010752445552498,283264,0.0,3051,-0.004575997591018677,316.41015625,290.16236758232117,0.5122712850570679,,,0.00021788757294416428,-0.00017762184143066406
-0.006392564624547958,1078.0,1763260375.7092676,0.00012995391443837434,283520,0.0,3053,-0.0043519847095012665,0.00032724751508794725,290.3846175670624,0.5066094994544983,,,0.0004966873675584793,-0.15282714366912842
-0.0015864912420511246,1078.0,1763260376.9398983,0.00012918586435262114,284800,0.0,3066,-0.0016678478568792343,151.900146484375,291.6152482032776,0.6058194637298584,,,6.905756890773773e-05,-0.00012409687042236328
-0.00590149499475956,1078.0,1763260377.290985,0.00012895544932689518,285184,0.0,3070,0.001563139259815216,297.2127990722656,291.9663350582123,0.5958340764045715,,,0.00020836107432842255,3.039836883544922e-06
0.0027937842532992363,1078.0,1763260378.4628937,0.00012818739924114197,286464,0.0,3083,-0.002929963171482086,464.6195068359375,293.13824367523193,0.5059099197387695,,,0.0003676963970065117,-0.00010466575622558594
-0.009266886860132217,1078.0,1763260379.8466995,0.00012726573913823813,288000,0.0,3098,-0.006848104298114777,0.0005610811058431864,294.52204942703247,0.5394834280014038,,,0.0008591767400503159,-0.06254720687866211
-0.0036896001547574997,1078.0,1763260380.3257484,0.00012695851910393685,288512,0.0,3103,-0.0010216832160949707,0.00016179127851501107,295.0010983943939,0.5781888365745544,,,4.686973989009857e-05,-0.07321667671203613
0.004218283109366894,1078.0,1763260382.580951,0.000125499238492921,290944,0.0,3127,0.0008441898971796036,0.004752036649733782,297.2563009262085,0.521528959274292,,,0.0008213771507143974,-0.10772550106048584
0.004969156347215176,1078.0,1763260382.826788,0.00012534562847577035,291200,0.0,3129,-0.012483000755310059,0.0001874929730547592,297.5021378993988,0.5879625082015991,,,0.001750473864376545,0.04327768087387085
-0.004434891045093536,1078.0,1763260383.9239247,0.00012465438339859247,292352,0.0,3141,-0.002130430191755295,317.79803466796875,298.59927463531494,0.5399868488311768,,,9.124912321567535e-05,4.589557647705078e-05
