losses/explained_variance,charts/learning_rate,global_step,losses/policy_loss,_runtime,losses/approx_kl,charts/SPS,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_return,_timestamp,losses/clipfrac,charts/episodic_length,_step
,,7749,,52.094900608062744,,,,,,80.0,1763260143.0022266,,80.0,172
,,9168,,55.52939963340759,,,,,,125.0,1763260146.4367256,,125.0,195
0.22733831405639648,0.0002942396386060864,9728,0.00048319436609745026,56.8942985534668,9.714625775814056e-06,342.0,0.0007543591782450676,0.5867895483970642,135.9317626953125,,1763260147.8016245,0.0,,203
0.1352393627166748,0.00029385561356320977,10368,4.385411739349365e-05,58.26865339279175,2.2841617465019226e-05,348.0,-0.0002369750291109085,0.5745059251785278,116.67074584960938,,1763260149.1759794,0.0,,213
0.054176509380340576,0.00029370200354605913,10624,0.00043091922998428345,58.84721040725708,5.993060767650604e-06,350.0,-0.0010449858382344246,0.5823205709457397,97.46733856201172,,1763260149.7545364,0.0,,217
0.3513714075088501,0.0002932411734946072,11392,0.0005007795989513397,60.45252823829651,3.403984010219574e-05,356.0,0.000105319544672966,0.5706254839897156,88.9147720336914,,1763260151.3598542,0.0,,228
0.3694570064544678,0.00029301075846888125,11776,0.03203541040420532,61.25510311126709,0.008508522994816303,359.0,0.000919717364013195,0.5585016012191772,72.26788330078125,,1763260152.162429,0.1171875,,233
-0.0024765729904174805,0.00029224270838312805,13056,-0.00028787925839424133,63.80768084526062,1.3727694749832153e-06,370.0,-7.4705109000206e-05,0.5404056906700134,144.30621337890625,,1763260154.7150068,0.0,,251
0.32269197702407837,0.00029193548834882677,13568,0.00035693682730197906,64.84354829788208,0.00019979383796453476,373.0,0.0010941093787550926,0.5869659781455994,80.2132339477539,,1763260155.7508743,0.0,,259
,,13971,,65.6413586139679,,,,,,143.0,1763260156.5486846,,143.0,265
0.05289459228515625,0.0002913210482802242,14592,-0.0003264695405960083,66.87041330337524,1.7294660210609436e-05,380.0,0.0010818485170602798,0.6101422309875488,133.93943786621094,,1763260157.7777393,0.0,,273
,,14629,,66.91925120353699,,,,,,166.0,1763260157.8265772,,166.0,274
-0.03142237663269043,0.000290552998194471,15872,-0.0008885376155376434,69.38859367370605,9.601004421710968e-06,388.0,-0.00014514382928609848,0.5946468710899353,124.94454956054688,,1763260160.2959197,0.0,,292
0.2372819185256958,0.00028917050804011524,18176,-0.010619863867759705,74.70302104949951,0.0005249381065368652,393.0,-0.009868020191788673,0.6391425132751465,100.53070831298828,,1763260165.610347,0.0,,321
0.011093616485595703,0.0002889400930143893,18560,-0.0027578622102737427,75.8577983379364,2.2259540855884552e-05,392.0,0.0008930573239922523,0.5787092447280884,128.1925811767578,,1763260166.7651243,0.0,,327
-0.20536351203918457,0.00028878648299723864,18816,0.0004959423094987869,76.54812669754028,0.000438605435192585,391.0,-0.0012497017160058022,0.571073055267334,104.34969329833984,,1763260167.4554527,0.0,,330
,,18981,,76.91174578666687,,,,,,347.0,1763260167.8190718,,347.0,332
,,19218,,77.69044852256775,,,,,,133.0,1763260168.5977745,,133.0,337
,,19452,,78.04793787002563,,,,,,74.0,1763260168.9552639,,74.0,340
,,21769,,83.2006618976593,,,,,,155.0,1763260174.1079879,,155.0,370
0.011574864387512207,0.0002867895527742803,22144,0.00041219964623451233,84.01942944526672,0.00015198439359664917,399.0,-0.0005979519337415695,0.5744806528091431,141.62684631347656,,1763260174.9267554,0.0,,375
0.13124167919158936,0.00028579108766280115,23808,0.00023607537150382996,87.53424835205078,5.001761019229889e-05,403.0,-0.0021724682301282883,0.6091850996017456,66.38542938232422,,1763260178.4415743,0.0,,396
-5.558408737182617,0.00028433179249987006,26240,-0.01949743926525116,92.71729326248169,0.022083856165409088,408.0,0.01805862784385681,0.5741294026374817,154.5744171142578,,1763260183.6246192,0.08203125,,425
0.8803003430366516,0.00028356374241411686,27520,0.002267882227897644,95.39671039581299,0.0006497446447610855,411.0,0.0016996189951896667,0.5567155480384827,26.79955291748047,,1763260186.3040364,0.0,,441
0.013579070568084717,0.0002830261073540896,28416,-0.00027283281087875366,97.17950654029846,3.574322909116745e-05,413.0,0.0029110172763466835,0.5476380586624146,57.10631561279297,,1763260188.0868325,0.0,,450
-0.040177226066589355,0.0002817204222083092,30592,0.003540351986885071,101.3729350566864,9.374227374792099e-05,419.0,-0.002741117961704731,0.5685623288154602,43.55779266357422,,1763260192.280261,0.0,,471
