_timestamp,losses/policy_loss,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/entropy,losses/clipfrac,_step,losses/explained_variance,global_step,charts/SPS,_runtime,charts/learning_rate,charts/episodic_return
1763260435.1974936,0.002388203516602516,0.006078711710870266,0.001828066073358059,0.01963108777999878,,0.5638783574104309,0.0,2051,0.028697609901428223,180992,573.0,344.2609474658966,0.00019147465354762971,
1763260435.3895242,0.007554385811090469,0.0003447852795943618,0.002456383779644966,0.015015022829174995,,0.524174153804779,0.001953125,2052,-0.1902151107788086,181120,573.0,344.4529781341553,0.0001913978485390544,
1763260437.3907814,-0.0021364912390708923,0.008876589126884937,0.0008258642628788948,-0.008175269700586796,,0.5465335845947266,0.0,2070,-0.25369834899902344,182784,574.0,346.4542353153229,0.00019039938342757523,
1763260438.1707056,0.0055947210639715195,0.0006256373017095029,0.0010659238323569298,0.003831435926258564,,0.545549213886261,0.0,2076,-0.03605175018310547,183424,575.0,347.2341594696045,0.00019001535838469863,
1763260440.1961923,-0.013185054063796997,552.25732421875,0.0022280868142843246,0.006934627890586853,,0.5302691459655762,0.001953125,2093,0.0007489919662475586,185088,577.0,349.25964617729187,0.00018901689327321947,
1763260440.3384793,0.009214140474796295,0.00476765027269721,0.0018808934837579727,0.006550131365656853,,0.5630255937576294,0.001953125,2094,-0.20741844177246094,185216,577.0,349.4019331932068,0.00018894008826464415,
1763260444.2514272,,,,,500.0,,,2117,,187578,,353.3148810863495,,500.0
1763260448.3454115,,,,,500.0,,,2141,,190078,,357.40886545181274,,500.0
1763260449.2158413,,,,,500.0,,,2146,,190578,,358.27929520606995,,500.0
1763260449.43213,0.0007150806486606598,758.0859375,1.840852200984955e-05,-0.0005344320088624954,,0.5353490114212036,0.0,2147,7.62939453125e-06,190592,577.0,358.4955840110779,0.00018571429245639592,
1763260449.6354463,-0.002446487545967102,0.003101014532148838,5.831476300954819e-05,-0.002079852856695652,,0.5219475030899048,0.0,2148,-0.04949235916137695,190720,577.0,358.6989002227783,0.0001856374874478206,
