charts/SPS,charts/episodic_length,losses/entropy,charts/learning_rate,losses/old_approx_kl,_timestamp,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,global_step,charts/episodic_return,_runtime,losses/clipfrac
1086.0,,0.512579619884491,0.0001758064463501796,-0.0003727097064256668,1763260267.6064663,2.7783215045928955e-05,28.520158767700195,0.0004075467586517334,-4.432255268096924,2272,207104,,216.52145528793335,0.0
,104.0,,,,1763260268.1261652,,,,,2280,207665,104.0,217.04115414619446,
,228.0,,,,1763260269.088246,,,,,2295,208710,228.0,218.00323510169983,
1086.0,,0.5036342144012451,0.00017473117623012513,0.0006946651265025139,1763260269.2908814,4.899408668279648e-05,32.01813888549805,-0.0010120868682861328,0.9635744690895081,2298,208896,,218.20587038993835,0.0
,135.0,,,,1763260270.1293194,,,,,2310,209799,135.0,219.04430842399597,
,238.0,,,,1763260270.2791853,,,,,2312,210037,238.0,219.19417428970337,
,230.0,,,,1763260270.7213202,,,,,2318,210511,230.0,219.6363091468811,
1086.0,,0.540245771408081,0.00017357911565341055,0.0006136531010270119,1763260271.0301507,0.00010404456406831741,68.518798828125,0.002535894513130188,0.7663440108299255,2322,210816,,219.94513964653015,0.0
1086.0,,0.48086920380592346,0.0001734255056362599,0.00029262062162160873,1763260271.2910125,1.0608695447444916e-05,32.09989929199219,-0.0007718764245510101,0.6812974214553833,2324,211072,,220.20600152015686,0.0
1086.0,,0.43159550428390503,0.00017319509061053395,0.011028241366147995,1763260271.635381,0.0015818942338228226,117.434326171875,-0.011155545711517334,0.6973701119422913,2329,211456,,220.55036997795105,0.0
,156.0,,,,1763260272.3609338,,,,,2339,212234,156.0,221.27592277526855,
,243.0,,,,1763260272.625143,,,,,2343,212596,243.0,221.54013204574585,
1086.0,,0.5388859510421753,0.0001722734305076301,-0.009329227730631828,1763260273.0386906,0.004294378682971001,11.516376495361328,-0.012161284685134888,0.7475810050964355,2348,212992,,221.953679561615,0.005859375
1086.0,,0.4304284453392029,0.00017196621047332883,-0.009521476924419403,1763260273.5328076,0.0006398744881153107,457.8668518066406,0.011734038591384888,0.09059464931488037,2354,213504,,222.44779658317566,0.0
1086.0,,0.435545414686203,0.0001715053804218769,0.017268678173422813,1763260274.2371597,0.0024062562733888626,105.054443359375,-0.022383667528629303,0.804908812046051,2363,214272,,223.1521487236023,0.001953125
1086.0,,0.48305782675743103,0.00017004608525894582,0.000963263213634491,1763260276.4622717,0.0001588519662618637,11.420037269592285,-0.0043044621124863625,-10.631719589233398,2389,216704,,225.37726068496704,0.0
1086.0,,0.528900682926178,0.00016966206021606922,0.006331882439553738,1763260277.0201197,0.000530642457306385,6.191344261169434,-0.0018161796033382416,0.6942634582519531,2394,217344,,225.9351086616516,0.0
1086.0,,0.507489800453186,0.00016874040011316538,-0.011313474737107754,1763260278.4291573,0.004559130407869816,3.2627780437469482,-0.009000299498438835,-0.7019977569580078,2409,218880,,227.34414625167847,0.00390625
1086.0,,0.49519747495651245,0.00016774193500168622,-0.00038942042738199234,1763260279.9317224,0.00011514779180288315,312.921630859375,-3.162771463394165e-05,0.002863585948944092,2426,220544,,228.84671139717102,0.0
,500.0,,,,1763260280.2779198,,,,,2430,220960,500.0,229.1929087638855,
,500.0,,,,1763260282.0560799,,,,,2449,222960,500.0,230.97106885910034,
