losses/old_approx_kl,_runtime,losses/value_loss,_timestamp,losses/clipfrac,losses/explained_variance,_step,losses/entropy,losses/policy_loss,charts/episodic_return,charts/episodic_length,charts/SPS,global_step,losses/approx_kl,charts/learning_rate
0.003594311885535717,119.73272061347961,23.298133850097656,1763260210.2270026,0.0,0.06494128704071045,547,0.5341453552246094,0.0013091731816530228,,,418.0,38016,5.9769488871097565e-05,0.0002772657317109406
0.002502107061445713,121.36354303359985,16.797313690185547,1763260211.857825,0.0,0.4763790965080261,555,0.5330632925033569,-0.002282373607158661,,,419.0,38784,9.867828339338303e-05,0.0002768049016594887
-0.00011268258094787598,122.18237376213074,21.670406341552734,1763260212.6766558,0.0,-1.0681262016296387,559,0.5107582807540894,0.00030609220266342163,,,420.0,39168,5.14741986989975e-05,0.0002765744866337627
0.0036278078332543373,123.83572459220886,254.41490173339844,1763260214.3300066,0.0,0.004819929599761963,568,0.5435223579406738,0.009239934384822845,,,420.0,39936,0.0016885334625840187,0.00027611368568614125
0.00448040384799242,128.94077849388123,281.5419006347656,1763260219.4350605,0.0,0.022625267505645752,595,0.6028425693511963,-0.0017519928514957428,,,422.0,42240,0.0002651279792189598,0.0002747311955317855
-0.0085389269515872,132.16580748558044,16.760608673095703,1763260222.6600895,0.0,0.7986607551574707,612,0.5304977297782898,-0.0024390527978539467,,,422.0,43648,0.00017242971807718277,0.00027388634043745697
-0.0005330117419362068,132.48075199127197,98.46381378173828,1763260222.975034,0.0,0.753108024597168,614,0.47646382451057434,0.0010546743869781494,,,422.0,43776,8.616503328084946e-05,0.00027380953542888165
0.013825871050357819,135.5994930267334,390.9288635253906,1763260226.093775,0.03515625,0.10084867477416992,630,0.5221431255340576,-0.000685403123497963,,,423.0,45184,0.005925903096795082,0.0002729646803345531
,136.76504063606262,,1763260227.2593226,,,636,,,250.0,250.0,,45728,,
,137.59882831573486,,1763260228.0931103,,,640,,,422.0,422.0,,46150,,
0.0008649099618196487,139.60498976707458,12.303441047668457,1763260230.0992718,0.0,0.06115281581878662,650,0.550620436668396,-0.00039449334144592285,,,424.0,46976,1.5117228031158447e-05,0.00027188941021449864
,142.4694526195526,,1763260232.9637346,,,664,,,245.0,245.0,,48343,,
-0.0005506966263055801,146.42254447937012,8.400312423706055,1763260236.9168265,0.0,-0.018351197242736816,684,0.5388364791870117,-0.0002656877040863037,,,426.0,50048,1.856498420238495e-05,0.00027004609000869095
-0.005568316206336021,147.31279349327087,474.1993713378906,1763260237.8070755,0.0,0.03179943561553955,689,0.5233316421508789,0.005129378288984299,,,426.0,50432,0.0007386729121208191,0.000269815674982965
0.0007614241912961006,149.20946526527405,9.400569915771484,1763260239.7037473,0.0,0.33271872997283936,698,0.533251166343689,-0.0007422380149364471,,,426.0,51328,5.36283478140831e-05,0.00026927803992293775
-0.0011475980281829834,150.04385042190552,6.884810447692871,1763260240.5381324,0.0,0.25324875116348267,702,0.5855861902236938,0.0009176507592201233,,,427.0,51712,1.7017126083374023e-05,0.0002690476248972118
-0.00021289847791194916,151.09138679504395,7.479419231414795,1763260241.5856688,0.0,-0.05268275737762451,707,0.5403568744659424,-0.00042582303285598755,,,427.0,52224,5.241483449935913e-06,0.0002687404048629105
4.8074871301651e-05,155.68946957588196,4.386837005615234,1763260246.1837516,0.0,0.11185818910598755,729,0.5074743032455444,0.0007073506712913513,,,429.0,54400,4.103407263755798e-06,0.00026743471971713006
0.009520769119262695,161.31193232536316,337.02899169921875,1763260251.8062143,0.001953125,0.0007062554359436035,757,0.5701351165771484,-0.005863752216100693,,,431.0,57088,0.0025183167308568954,0.00026582181453704834
,162.16384530067444,,1763260252.6581273,,,762,,,370.0,370.0,,57587,,
-0.0019296426326036453,163.19731330871582,3.090879440307617,1763260253.6915953,0.0,-0.40630877017974854,767,0.5334683060646057,0.01261650025844574,,,431.0,57984,0.0005259159952402115,0.0002652841794770211
0.0017003538087010384,164.83116674423218,2.419539213180542,1763260255.3254488,0.0,0.46902740001678467,775,0.5206397175788879,0.00031498074531555176,,,432.0,58752,0.00018137414008378983,0.0002648233494255692
-0.0021369457244873047,167.51864624023438,1.929621696472168,1763260258.0129282,0.0,0.7410078048706055,788,0.4865722954273224,-0.0007683113217353821,,,433.0,60032,0.00014921091496944427,0.000264055299339816
-0.004881610162556171,169.16225457191467,2.2294538021087646,1763260259.6565366,0.0,-1.0008571147918701,797,0.5937064290046692,-0.006092071533203125,,,433.0,60800,7.453281432390213e-05,0.00026359446928836405
0.0020542889833450317,171.03586077690125,1.477710485458374,1763260261.5301428,0.0,-0.2746145725250244,806,0.5764191150665283,0.002018071711063385,,,434.0,61696,8.055008947849274e-05,0.0002630568342283368
0.0013771941885352135,172.94171047210693,1.2052900791168213,1763260263.4359925,0.0,-0.06078684329986572,815,0.5782209038734436,9.662285447120667e-05,,,434.0,62592,1.7358921468257904e-05,0.00026251919916830957
0.00022546574473381042,182.3631362915039,0.42709746956825256,1763260272.8574183,0.0,-0.6118955612182617,863,0.5778585076332092,0.0007176846265792847,,,437.0,67072,2.8051435947418213e-06,0.00025983102386817336
,183.6687080860138,,1763260274.16299,,,872,,,79.0,79.0,,67681,,
0.00012845732271671295,184.44640278816223,254.60435485839844,1763260274.9406848,0.0,0.04622882604598999,876,0.6003778576850891,-0.0013002734631299973,,,437.0,67968,6.800517439842224e-06,0.0002592933888081461
0.04264875873923302,193.914448261261,0.015972336754202843,1763260284.4087303,0.064453125,-5.146362781524658,922,0.44651103019714355,-0.04822305589914322,,,439.0,72448,0.012647377327084541,0.0002566052135080099
0.0018941769376397133,195.5584900379181,197.17465209960938,1763260286.052772,0.0,0.00020641088485717773,930,0.42978939414024353,-0.01124187558889389,,,439.0,73216,0.001363108865916729,0.000256144383456558
0.03657206892967224,197.32962799072266,0.00023025726841297,1763260287.82391,0.015625,0.5355069637298584,938,0.4703276753425598,-0.012436462566256523,,,440.0,74112,0.003632904961705208,0.00025560674839653075
0.022202905267477036,197.88602447509766,0.0038823869545012712,1763260288.3803065,0.013671875,-0.037360191345214844,941,0.48789653182029724,0.010670393705368042,,,440.0,74368,0.005554918199777603,0.0002554531383793801
-0.0029243938624858856,198.11245489120483,0.0004712621448561549,1763260288.606737,0.00390625,0.17599105834960938,942,0.4508620500564575,-0.014830373227596283,,,440.0,74496,0.0036717336624860764,0.0002553763333708048
-0.006946663372218609,199.11366605758667,0.0017318623140454292,1763260289.607948,0.046875,0.7828395366668701,948,0.48496362566947937,-0.03036174178123474,,,441.0,75136,0.01358246523886919,0.0002549923083279282
-0.001871923916041851,202.7025284767151,735.1842041015625,1763260293.1968105,0.0,2.0563602447509766e-05,974,0.5808839201927185,0.007716100662946701,,,447.0,77696,0.00037412066012620926,0.0002534562081564218
0.013587757013738155,203.85746264457703,0.003973537124693394,1763260294.3517447,0.0,-0.009617805480957031,980,0.568810224533081,-0.003136800602078438,,,447.0,78336,0.0009209001436829567,0.0002530721831135452
0.02215653471648693,204.825914144516,0.004290279000997543,1763260295.3201962,0.001953125,-0.33762121200561523,985,0.5135324597358704,0.006461178883910179,,,448.0,78848,0.0036977827548980713,0.0002527649630792439
-0.011578556150197983,206.74727749824524,0.0041987537406384945,1763260297.2415595,0.0,-0.4911623001098633,995,0.5034070611000061,-0.012035133317112923,,,449.0,79872,0.000974537804722786,0.0002521505521144718
0.008293641731142998,207.17859816551208,0.0014448553556576371,1763260297.6728802,0.013671875,-7.7515363693237305,997,0.4532516300678253,0.014818036928772926,,,449.0,80128,0.0037090331315994263,0.00025199694209732115
0.0014082929119467735,210.40422296524048,0.0019080298952758312,1763260300.898505,0.0,0.17112553119659424,1015,0.3628266751766205,0.001240357756614685,,,451.0,81920,0.0001751994714140892,0.00025092167197726667
0.0006772708147764206,211.02276015281677,0.0007429580437019467,1763260301.5170422,0.0,0.103598952293396,1020,0.35463136434555054,-0.008499706164002419,,,452.0,82432,0.0005965027958154678,0.0002506144519429654
