losses/value_loss,losses/old_approx_kl,charts/SPS,charts/episodic_length,losses/clipfrac,losses/entropy,_step,_runtime,charts/learning_rate,losses/explained_variance,_timestamp,global_step,losses/approx_kl,losses/policy_loss,charts/episodic_return
109.06314086914062,0.0007401611655950546,300.0,,0.0,0.619320273399353,195,52.23122954368591,0.0002959293487947434,0.06297552585601807,1763260142.4421575,6912,8.560717105865479e-05,-0.0008786320686340332,
,,,46.0,,,203,53.26551651954651,,,1763260143.4764445,7304,,,46.0
146.58059692382812,-6.475578993558884e-05,310.0,,0.0,0.6129921078681946,213,54.76278805732727,0.00029531490872614086,0.034311115741729736,1763260144.973716,7936,6.658025085926056e-06,-0.0001111496239900589,
95.24800872802734,-0.00010960828512907028,313.0,,0.0,0.6021004915237427,217,55.31988215446472,0.0002951612987089902,0.031979382038116455,1763260145.53081,8192,7.28284940123558e-05,-0.0018640756607055664,
85.81228637695312,0.015795066952705383,320.0,,0.0,0.5906881093978882,228,56.81634020805359,0.0002947772736661136,0.014717519283294678,1763260147.0272682,8832,0.0014359364286065102,-0.02831493690609932,
142.11285400390625,-0.00046690553426742554,327.0,,0.0,0.6119508147239685,233,57.74804472923279,0.00029447005363181233,-0.0753014087677002,1763260147.9589727,9344,5.6315213441848755e-05,-0.001211259514093399,
110.78423309326172,-0.0015638936311006546,339.0,,0.0,0.6283749341964722,251,60.14312934875488,0.00029377880855463445,0.07918739318847656,1763260150.3540573,10496,2.7664005756378174e-05,0.0018030479550361633,
,,,137.0,,,259,61.23389935493469,,,1763260151.4448273,11082,,,137.0
129.91085815429688,-0.0014598993584513664,348.0,,0.0,0.6112608909606934,265,62.25716710090637,0.0002931643684860319,0.10688209533691406,1763260152.468095,11520,0.00028571393340826035,-0.001490168273448944,
61.875221252441406,0.0001699952408671379,354.0,,0.0,0.5965725779533386,273,63.52250337600708,0.0002927803434431553,0.4401298761367798,1763260153.7334313,12160,0.0014063892886042595,0.015749653801321983,
,,,117.0,,,274,63.5680992603302,,,1763260153.7790272,12212,,,117.0
161.10206604003906,0.015383576042950153,367.0,,0.005859375,0.5675711035728455,292,66.14300203323364,0.00029193548834882677,-0.300126314163208,1763260156.35393,13568,0.0007879743352532387,-0.0030975118279457092,
,,,85.0,,,321,70.28672742843628,,,1763260160.4976554,15855,,,85.0
,,,190.0,,,327,71.3611843585968,,,1763260161.5721123,16305,,,190.0
,,,269.0,,,330,71.88256788253784,,,1763260162.0934958,16574,,,269.0
,,,86.0,,,332,72.19235634803772,,,1763260162.4032843,16660,,,86.0
95.5872802734375,0.007686256431043148,388.0,,0.0,0.5885003805160522,337,73.02873730659485,0.0002898617531172931,0.10546016693115234,1763260163.2396653,17024,0.001238458789885044,0.005763024091720581,
101.46435546875,-0.0011433614417910576,389.0,,0.0,0.6265680193901062,340,73.54059529304504,0.0002897081431001425,0.3423483371734619,1763260163.7515233,17280,1.970399171113968e-05,0.000125836580991745,
,,,54.0,,,370,78.90429949760437,,,1763260169.1152275,19341,,,54.0
93.0898666381836,0.002814757637679577,390.0,,0.0,0.6163462996482849,375,79.7155168056488,0.0002882488479372114,0.10887598991394043,1763260169.9264448,19712,8.99164006114006e-05,-0.00438300333917141,
43.07881546020508,-0.00017523299902677536,395.0,,0.0,0.5609229207038879,396,82.98234558105469,0.00028732718783430755,0.7746039628982544,1763260173.1932735,21248,0.00018202979117631912,8.001923561096191e-05,
67.57582092285156,0.0032065268605947495,403.0,,0.0,0.5448184609413147,425,87.94523811340332,0.00028586789267137647,0.001519322395324707,1763260178.156166,23680,0.00012842006981372833,-0.0009764023125171661,
,,,102.0,,,441,90.61237859725952,,,1763260180.8233066,24971,,,102.0
59.10012435913086,0.0002623191103339195,408.0,,0.0,0.6101141571998596,450,92.1863842010498,0.00028463901253417134,0.0037165284156799316,1763260182.3973122,25728,6.515812128782272e-05,-0.0006273416802287102,
110.393310546875,-4.477798938751221e-06,413.0,,0.0,0.556265652179718,471,95.80054259300232,0.00028356374241411686,0.0073795318603515625,1763260186.0114706,27520,3.7221238017082214e-05,0.0006951270624995232,
61.08606719970703,0.0001671314239501953,416.0,,0.0,0.6341373920440674,481,97.73310923576355,0.0002829493023455143,0.04734271764755249,1763260187.9440372,28544,5.3552910685539246e-05,-0.0001942785456776619,
