_timestamp,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/clipfrac,losses/approx_kl,losses/explained_variance,_step,charts/episodic_return,_runtime,global_step,losses/policy_loss,charts/SPS
1763260564.081662,-0.0031057409942150116,0.5633352994918823,0.000242836496909149,,0.00012526882346719503,0.0,0.00035905279219150543,0.13384753465652466,3066,,473.1438298225403,291328,-0.003500940278172493,655.0
1763260564.49638,-0.0014516934752464294,0.4936361014842987,0.0034573872108012438,,0.00012503840844146907,0.0,0.00022456981241703033,-0.13177227973937988,3070,,473.5585479736328,291712,-0.0013168007135391235,655.0
1763260565.9192846,,,,500.0,,,,,3083,500.0,474.9814524650574,293000,,
1763260567.5272126,0.0008723242208361626,0.5591181516647339,525.1798095703125,,0.00012334869825281203,0.0,4.089437425136566e-06,-0.00015056133270263672,3098,,476.5893805027008,294528,-0.0003502368927001953,657.0
1763260568.073249,0.002689856104552746,0.5025719404220581,498.9123840332031,,0.00012304147821851075,0.0,0.00019907299429178238,-3.910064697265625e-05,3103,,477.1354169845581,295040,0.004337109625339508,657.0
1763260570.596147,,,,500.0,,,,,3127,500.0,479.6583149433136,297500,,
1763260570.8473575,-0.0009036669507622719,0.5821214318275452,0.0032274702098220587,,0.00012142857303842902,0.0,1.8180347979068756e-05,-0.08011400699615479,3129,,479.9095253944397,297728,-0.0006842166185379028,659.0
1763260572.0480542,,,,500.0,,,,,3141,500.0,481.11022210121155,299000,,
1763260572.3001754,0.0038452260196208954,0.5071759223937988,0.003299897536635399,,0.0001205837179441005,0.0,0.00034993700683116913,0.022270619869232178,3143,,481.3623433113098,299136,-0.00807080790400505,660.0
1763260572.5943441,,,,500.0,,,,,3146,500.0,481.65651202201843,299500,,
1763260574.167616,,,,500.0,,,,,3161,500.0,483.22978377342224,301000,,
1763260575.1173124,-0.001622229814529419,0.49917536973953247,0.00015734575572423637,,0.00011889400775544345,0.0,9.573996067047119e-05,-0.05503416061401367,3170,,484.17948031425476,301952,-0.0008401423692703247,662.0
1763260576.2728782,0.00023726187646389008,0.5897089242935181,0.0032644520979374647,,0.00011812595766969025,0.0,5.532056093215942e-06,-0.009620070457458496,3183,,485.33504605293274,303232,4.678964614868164e-06,663.0
