losses/old_approx_kl,charts/episodic_return,_timestamp,charts/episodic_length,losses/approx_kl,losses/value_loss,losses/clipfrac,charts/learning_rate,losses/explained_variance,_step,losses/policy_loss,global_step,losses/entropy,_runtime,charts/SPS
,500.0,1763260370.9951017,500.0,,,,,,1514,,130881,,280.4907035827637,
-0.0003396524116396904,,1763260372.339316,,0.0003675827756524086,0.007677690591663122,0.0,0.00022112135775387287,-0.12839984893798828,1521,-0.0020219236612319946,131584,0.43933048844337463,281.8349177837372,520.0
-0.0021284660324454308,,1763260373.010392,,0.00019245874136686325,739.7930908203125,0.0,0.0002208909427281469,-0.0001538991928100586,1525,-0.005578603595495224,131968,0.43520256876945496,282.5059938430786,520.0
-0.005159322172403336,,1763260373.4108644,,0.0011147558689117432,0.0003927729558199644,0.0,0.00022073733271099627,0.03640085458755493,1527,-0.011154599487781525,132224,0.4816797375679016,282.90646624565125,520.0
,500.0,1763260373.6862423,500.0,,,,,,1529,,132381,,283.18184423446655,
,500.0,1763260374.6081944,500.0,,,,,,1534,,132881,,284.1037962436676,
0.0006861323490738869,,1763260375.0462868,,0.00015679653733968735,0.006430966779589653,0.0,0.00022019969765096903,-0.08012986183166504,1536,0.0010735392570495605,133120,0.42109641432762146,284.54188871383667,520.0
,500.0,1763260376.228126,500.0,,,,,,1543,,133881,,285.72372794151306,
0.004145191051065922,,1763260376.601127,,0.00011787097901105881,0.00534460786730051,0.0,0.0002196620625909418,0.06732457876205444,1545,0.0011583203449845314,134016,0.3472037613391876,286.0967288017273,521.0
0.005239570513367653,,1763260376.7567914,,0.0006234180182218552,0.0011877199867740273,0.0,0.00021958525758236647,0.016915619373321533,1546,-0.010930374264717102,134144,0.4131917655467987,286.252393245697,521.0
,500.0,1763260378.1581059,500.0,,,,,,1558,,135381,,287.65370774269104,
0.0008121989667415619,,1763260378.3113534,,4.530511796474457e-05,677.9095458984375,0.0,0.00021881720749661326,9.971857070922852e-05,1559,-0.0032689087092876434,135424,0.44714638590812683,287.8069553375244,523.0
,500.0,1763260378.784349,500.0,,,,,,1563,,135881,,288.2799508571625,
0.01818975806236267,,1763260379.255923,,0.004526027478277683,0.0006779817631468177,0.00390625,0.00021835637744516134,0.049922049045562744,1566,0.0037846919149160385,136192,0.41923460364341736,288.75152492523193,524.0
,500.0,1763260382.7031267,500.0,,,,,,1588,,138381,,292.19872856140137,
-0.014941178262233734,,1763260382.936086,,0.0009853672236204147,466.5137634277344,0.0,0.00021697388729080558,0.00028228759765625,1589,0.0048009902238845825,138496,0.5063246488571167,292.43168783187866,525.0
,500.0,1763260384.3102837,500.0,,,,,,1597,,139381,,293.80588555336,
,500.0,1763260386.0430834,500.0,,,,,,1607,,140381,,295.53868532180786,
-0.015052254311740398,,1763260386.355262,,0.0006513521075248718,0.008553321473300457,0.0,0.00021574500715360045,0.08525663614273071,1609,-0.010737722739577293,140544,0.5185142755508423,295.85086393356323,526.0
0.007789846509695053,,1763260386.4935663,,0.005671337246894836,0.0004107286804355681,0.009765625,0.00021566820214502513,-0.14313018321990967,1610,-0.014967676252126694,140672,0.46657058596611023,295.98916816711426,526.0
,500.0,1763260386.6645963,500.0,,,,,,1612,,140881,,296.1601982116699,
-0.01043554488569498,,1763260388.3431256,,0.001273958943784237,0.00016454672731924802,0.005859375,0.00021466973703354597,0.06152939796447754,1626,-0.0013311952352523804,142336,0.514180600643158,297.83872747421265,529.0
0.005086810328066349,,1763260389.837666,,0.0004979660734534264,431.1656494140625,0.0,0.0002139784919563681,0.00014483928680419922,1638,0.004358334466814995,143488,0.5039128065109253,299.3332679271698,530.0
0.00311336200684309,,1763260396.4416661,,0.00024191569536924362,437.85357666015625,0.0,0.0002109830966219306,-1.4424324035644531e-05,1687,-0.0019021295011043549,148480,0.47957393527030945,305.93726801872253,536.0
-0.01029160339385271,,1763260403.3516784,,0.0021382449194788933,0.008926675654947758,0.0,0.0002082181308651343,0.3827964663505554,1732,-0.008483946323394775,153088,0.5029953122138977,312.84728026390076,539.0
,500.0,1763260405.5968995,500.0,,,,,,1745,,154381,,315.09250140190125,
0.0011535696685314178,,1763260407.0326965,,0.00035066530108451843,6.879974534967914e-05,0.0,0.00020691244571935385,-0.2249993085861206,1753,0.005857022479176521,155264,0.5570287108421326,316.5282983779907,539.0
,500.0,1763260407.094303,500.0,,,,,,1754,,155381,,316.58990478515625,
-0.0015561403706669807,,1763260408.8687017,,0.0009082434698939323,0.009449542500078678,0.0,0.00020622120064217597,-0.03656470775604248,1765,-0.007029742002487183,156416,0.4948967695236206,318.3643035888672,540.0
,500.0,1763260409.2085054,500.0,,,,,,1768,,156785,,318.7041072845459,
