losses/old_approx_kl,_timestamp,losses/entropy,losses/policy_loss,charts/episodic_return,losses/clipfrac,losses/explained_variance,losses/value_loss,charts/learning_rate,_runtime,charts/SPS,losses/approx_kl,_step,global_step,charts/episodic_length
-0.00809886958450079,1763260422.3450966,0.4963145852088928,-0.001610584557056427,,0.001953125,-0.41261279582977295,0.000700552889611572,0.00019531490397639573,331.37195467948914,576.0,0.0009229080751538277,1945,174592,
0.014247995801270008,1763260423.917211,0.5077612996101379,-0.005956493318080902,,0.017578125,-1.4001646041870117,0.0013052757130935788,0.0001944700488820672,332.94406914711,578.0,0.0034668920561671257,1959,176000,
0.0023831892758607864,1763260426.0385177,0.49174171686172485,0.001303086057305336,,0.0,0.16217541694641113,0.0014481453690677881,0.00019362519378773868,335.0653758049011,578.0,2.222880721092224e-05,1973,177408,
,1763260428.107417,,,500.0,,,,,337.1342751979828,,,1985,178600,500.0
-0.001167808659374714,1763260429.2095947,0.5292013883590698,0.0011987164616584778,,0.0,0.004939913749694824,413.4881896972656,0.0001925499236676842,338.23645281791687,578.0,0.0001468537375330925,1991,179200,
-0.001836872659623623,1763260431.2619197,0.48109543323516846,-0.033010851591825485,,0.0078125,0.16091632843017578,0.006150381173938513,0.00019185867859050632,340.28877782821655,578.0,0.0061102015897631645,2002,180352,
0.0014553824439644814,1763260432.0460064,0.46818801760673523,-0.005744483321905136,,0.0,0.16198742389678955,0.0014207290951162577,0.00019155145855620503,341.0728645324707,578.0,0.00030209776014089584,2007,180864,
-0.017989812418818474,1763260433.6350608,0.47360655665397644,-0.03873686492443085,,0.0234375,0.49134111404418945,0.012438262812793255,0.0001910138234961778,342.6619188785553,578.0,0.010215499438345432,2016,181760,
,1763260434.1400807,,,500.0,,,,,343.1669387817383,,,2019,182100,500.0
,1763260435.0132809,,,500.0,,,,,344.04013895988464,,,2024,182600,500.0
0.008980609476566315,1763260435.527529,0.5533237457275391,0.013877004384994507,,0.001953125,-3.2258739471435547,0.0007397767039947212,0.0001903225784189999,344.55438709259033,578.0,0.0036944933235645294,2027,182912,
,1763260435.6891751,,,500.0,,,,,344.71603322029114,,,2029,183100,500.0
,1763260436.2524962,,,500.0,,,,,345.27935433387756,,,2034,183600,500.0
-0.02912455052137375,1763260437.4782295,0.4740116000175476,-0.007791273295879364,,0.017578125,0.002967238426208496,357.8634338378906,0.00018924730829894543,346.50508761405945,580.0,0.006223905831575394,2045,184704,
0.01939600333571434,1763260438.16334,0.5484362840652466,-0.010497592389583588,,0.0,-0.24939978122711182,0.007521928288042545,0.00018886328325606883,347.1901981830597,581.0,0.002338940277695656,2051,185344,
-0.0005978615954518318,1763260438.2953894,0.4802405834197998,0.003619357943534851,,0.0,-0.11347103118896484,0.0005291100824251771,0.0001887864782474935,347.322247505188,581.0,0.000785081647336483,2052,185472,
0.0026573194190859795,1763260440.3916614,0.5193215012550354,-0.005782519932836294,,0.005859375,0.1917048692703247,0.0008152993978001177,0.0001876344031188637,349.4185194969177,583.0,0.0018792571499943733,2070,187392,
0.003451777622103691,1763260441.359859,0.5021217465400696,9.386241436004639e-05,,0.0,-0.026456832885742188,0.0011156818363815546,0.0001872503780759871,350.38671708106995,584.0,0.0004122834652662277,2076,188032,
0.001136832870543003,1763260444.3344095,0.505744993686676,-0.00266149640083313,,0.0,0.001986205577850342,517.8024291992188,0.00018625191296450794,353.3612675666809,583.0,8.088629692792892e-05,2093,189696,
-0.013758213259279728,1763260444.5672522,0.5127080082893372,-0.002347376197576523,,0.0,0.26783353090286255,0.009789363481104374,0.00018617510795593262,353.594110250473,583.0,0.004014148376882076,2094,189824,
-0.008375504054129124,1763260448.6234393,0.5627740025520325,-0.0007881298661231995,,0.0,0.0025129318237304688,445.990478515625,0.00018479263235349208,357.65029740333557,583.0,0.0005201278254389763,2117,192128,
,1763260453.0551367,,,500.0,,,,,362.0819947719574,,,2141,194600,500.0
,1763260454.0004346,,,500.0,,,,,363.0272927284241,,,2146,195100,500.0
