global_step,losses/value_loss,_runtime,_timestamp,losses/approx_kl,losses/old_approx_kl,_step,charts/SPS,charts/episodic_return,losses/entropy,losses/policy_loss,charts/learning_rate,charts/episodic_length,losses/clipfrac,losses/explained_variance
56192,2.1939539909362793,151.4664704799652,1763260241.5218256,7.977709174156189e-06,-0.00045230239629745483,729,460.0,,0.5752742290496826,-0.0013211220502853394,0.0002663594495970756,,0.0,-0.29021763801574707
58915,,156.53984475135803,1763260246.5951998,,,757,,500.0,,,,500.0,,
59415,,157.51082634925842,1763260247.5661814,,,762,,500.0,,,,500.0,,
59915,,158.48113894462585,1763260248.536494,,,767,,500.0,,,,500.0,,
60800,0.8073427677154541,160.05269074440002,1763260250.1080458,0.0010208943858742714,0.017117738723754883,775,465.0,,0.5466943979263306,0.0016009807586669922,0.00026359446928836405,,0.0,-0.17360222339630127
62080,0.7488794326782227,162.52237367630005,1763260252.5777287,6.884709000587463e-05,-0.00028119608759880066,788,466.0,,0.527897834777832,-0.0038361623883247375,0.00026282641920261085,,0.0,-2.9113354682922363
62976,144.4750518798828,164.24846482276917,1763260254.30382,0.00014054402709007263,-0.000440182164311409,797,466.0,,0.5436281561851501,0.0006594210863113403,0.0002622887841425836,,0.0,-0.0006275177001953125
63872,702.972900390625,165.90559244155884,1763260255.9609475,0.0005148062482476234,-0.003857760690152645,806,467.0,,0.576671302318573,-7.873214781284332e-05,0.00026175114908255637,,0.0,0.06480038166046143
64785,,167.639000415802,1763260257.6943555,,,815,,500.0,,,,500.0,,
69730,,176.8894112110138,1763260266.9447663,,,863,,500.0,,,,500.0,,
70656,0.029774628579616547,178.77694296836853,1763260268.832298,0.004278440028429031,0.02355685643851757,872,472.0,,0.47535860538482666,-0.003729642368853092,0.0002576804836280644,,0.00390625,-0.18106365203857422
71040,0.0010679018450900912,179.5001540184021,1763260269.555509,0.0009213658049702644,-0.01695331558585167,876,473.0,,0.42736855149269104,-0.00850243866443634,0.00025745006860233843,,0.001953125,-1.9874279499053955
75648,0.0024975824635475874,188.27820825576782,1763260278.3335633,7.795263081789017e-05,-0.0002469932660460472,922,476.0,,0.461717426776886,-0.0038132816553115845,0.0002546850882936269,,0.0,0.027782797813415527
76416,0.003106909804046154,189.78336334228516,1763260279.8387184,0.0004805121570825577,0.006725572049617767,930,476.0,,0.5165823698043823,-0.0068253278732299805,0.000254224258242175,,0.0,-1.811147689819336
77184,805.4393310546875,191.2964324951172,1763260281.3517876,0.0001865644007921219,0.0051821935921907425,938,476.0,,0.5393394231796265,0.002521798014640808,0.00025376342819072306,,0.0,-6.461143493652344e-05
77568,0.0003601146163418889,191.98886728286743,1763260282.0442224,6.656162440776825e-06,-5.946960300207138e-05,941,477.0,,0.5578036308288574,-0.001043170690536499,0.0002535330131649971,,0.0,-0.3619205951690674
77683,,192.0512034893036,1763260282.1065586,,,942,,500.0,,,,500.0,,
78208,565.9447631835938,193.26768517494202,1763260283.3230402,0.0010997289791703224,0.004347804002463818,948,477.0,,0.555966317653656,-0.008173376321792603,0.0002531489881221205,,0.0,-0.0007781982421875
80896,0.0035648418124765158,198.3163502216339,1763260288.3717053,0.00015873555094003677,-0.0013278955593705177,974,478.0,,0.5196711421012878,0.002960536628961563,0.00025153611204586923,,0.0,-0.19928109645843506
81536,0.0010233792709186673,199.38103461265564,1763260289.4363897,0.0011393949389457703,-0.000987917184829712,980,479.0,,0.5349320769309998,-0.01455603539943695,0.00025115208700299263,,0.001953125,0.1926838755607605
82048,0.0008120021666400135,200.03019905090332,1763260290.0855541,0.0007059313356876373,0.003661457449197769,985,480.0,,0.4337785840034485,-0.002120696008205414,0.00025084486696869135,,0.0,0.23783254623413086
83072,0.00018131075194105506,201.29057574272156,1763260291.3459308,0.0004562782123684883,0.008064351044595242,995,483.0,,0.45422545075416565,-0.0024551600217819214,0.0002502304269000888,,0.0,-0.11412227153778076
83200,331.2992858886719,201.46812200546265,1763260291.523477,0.0004985341802239418,-0.0014690561220049858,997,483.0,,0.5395512580871582,0.0043432340025901794,0.00025015362189151347,,0.0,-0.0003826618194580078
85120,0.0001596205693203956,204.60020923614502,1763260294.6555643,0.0001309085637331009,-0.00012046471238136292,1015,485.0,,0.5170111656188965,-0.001867920160293579,0.00024900154676288366,,0.0,-0.1921849250793457
85632,0.00023573207727167755,205.5223617553711,1763260295.5777168,0.0003938041627407074,-0.00313575379550457,1020,486.0,,0.5144391059875488,0.001349298283457756,0.0002486943267285824,,0.0,-0.3321566581726074
86683,,207.3775119781494,1763260297.432867,,,1031,,500.0,,,,500.0,,
88683,,210.64498829841614,1763260300.7003434,,,1050,,500.0,,,,500.0,,
88960,0.000985003192909062,211.03805446624756,1763260301.0934095,0.0004571126773953438,0.004312613047659397,1053,489.0,,0.5411537289619446,0.006113583222031593,0.00024669739650562406,,0.0,-0.3814566135406494
89472,0.0013286879984661937,211.70598149299622,1763260301.7613366,0.00016363896429538727,-9.268335998058319e-05,1058,490.0,,0.5449742078781128,0.0034019723534584045,0.0002463901764713228,,0.0,-0.09913289546966553
92032,0.000881262356415391,215.4104197025299,1763260305.4657748,0.006212696433067322,0.012564782053232193,1083,494.0,,0.4673728942871094,-0.02116582542657852,0.00024485407629981637,,0.0078125,0.4407925605773926
92800,358.1729431152344,216.77827262878418,1763260306.8336277,0.000894615426659584,0.005393091589212418,1091,495.0,,0.4315605163574219,-0.018732089549303055,0.00024439324624836445,,0.0,0.0002658963203430176
94336,0.003963204566389322,219.36028671264648,1763260309.4156418,7.113534957170486e-05,8.450914174318314e-05,1106,496.0,,0.5650381445884705,-0.0012309737503528595,0.0002434715861454606,,0.0,-0.10888266563415527
95616,0.00014473803457804024,221.2089970111847,1763260311.264352,0.004650828428566456,-0.014893220737576485,1118,498.0,,0.45537906885147095,-0.012624643743038177,0.0002427035360597074,,0.0234375,-0.22399556636810303
96256,434.49566650390625,222.29834914207458,1763260312.3537042,0.0006647966802120209,-0.006106594577431679,1125,498.0,,0.546081006526947,-0.005360111594200134,0.0002423195110168308,,0.0,-0.00015354156494140625
97152,0.00020847943960689008,223.52812433242798,1763260313.5834794,0.0003514448180794716,0.0021101264283061028,1133,500.0,,0.5125699043273926,0.0014194324612617493,0.00024178187595680356,,0.0,-0.2971796989440918
98304,383.8438415527344,225.03893303871155,1763260315.094288,0.0004165284335613251,-0.001738252118229866,1145,502.0,,0.5010101199150085,0.00031071528792381287,0.00024109063087962568,,0.0,0.0004730820655822754
100224,500.9326477050781,227.4882538318634,1763260317.543609,0.0008993810042738914,0.0061942776665091515,1164,505.0,,0.5663774609565735,-0.00568515807390213,0.00023993855575099587,,0.0,0.00014853477478027344
100352,0.0025559295900166035,227.6419050693512,1763260317.6972601,7.984135299921036e-05,0.004033914767205715,1165,506.0,,0.5905102491378784,-0.0007251687347888947,0.00023986175074242055,,0.0,0.10444504022598267
101007,,228.47455620765686,1763260318.5299113,,,1172,,324.0,,,,324.0,,
102007,,229.6280813217163,1763260319.6834364,,,1181,,500.0,,,,500.0,,
102507,,230.61115765571594,1763260320.6665127,,,1186,,500.0,,,,500.0,,
