losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
,,,1763260193.1239598,284.0,30691,,,,,284.0,102.29498386383057,,481,
0.0,40.05521774291992,-0.0012810444459319115,1763260194.975177,,31488,-0.003029966726899147,-0.0027490854263305664,0.5202721357345581,8.231867104768753e-05,,104.14620113372803,0.00028118278714828193,490,416.0
0.0,257.2658386230469,0.002761673182249069,1763260197.64491,,32768,0.007448896765708923,0.058605968952178955,0.5930356383323669,0.0012392662465572357,,106.81593418121338,0.00028041473706252873,504,418.0
0.0,29.58730125427246,-0.002078087069094181,1763260199.7898679,,33792,0.0027222782373428345,0.1111985445022583,0.6145820021629333,0.00013483036309480667,,108.96089196205139,0.00027980029699392617,515,420.0
,,,1763260202.3253746,68.0,35034,,,,,68.0,111.49639868736267,,530,
0.0,221.44944763183594,0.00020303577184677124,1763260203.5622134,,35456,-0.0014673136174678802,0.003845512866973877,0.543718695640564,1.3232231140136719e-05,,112.7332375049591,0.000278801831882447,539,421.0
0.0,220.89068603515625,-2.843327820301056e-05,1763260204.7471197,,35968,5.163252353668213e-05,0.05519372224807739,0.5981320142745972,2.944841980934143e-06,,113.91814374923706,0.0002784946118481457,547,421.0
,,,1763260206.3002439,474.0,36808,,,,,474.0,115.47126793861389,,555,
,,,1763260207.0929027,322.0,37130,,,,,322.0,116.26392674446106,,559,
0.0,32.757720947265625,-0.0013420488685369492,1763260208.9021993,,38016,9.521283209323883e-05,-0.3004138469696045,0.5603379607200623,3.155320882797241e-05,,118.07322335243225,0.0002772657317109406,568,424.0
0.005859375,11.05428409576416,-0.030406445264816284,1763260214.09853,,40576,0.007675144821405411,0.9438785314559937,0.5617730617523193,0.003598494455218315,,123.2695541381836,0.00027572966064326465,595,428.0
0.0,10.604338645935059,0.001435762271285057,1763260217.306986,,42112,-0.00023143738508224487,0.967305064201355,0.5556182861328125,8.206628262996674e-05,,126.4780101776123,0.0002748080005403608,612,430.0
,,,1763260217.6073382,238.0,42290,,,,,238.0,126.77836227416992,,614,
,,,1763260220.854827,122.0,43783,,,,,122.0,130.02585101127625,,630,
,,,1763260221.9784102,107.0,44325,,,,,107.0,131.14943432807922,,636,
0.0,3.967146635055542,0.001129230484366417,1763260222.8056047,,44672,-0.0023602694272994995,0.9921822547912598,0.5377683639526367,2.7788802981376648e-05,,131.976628780365,0.0002732719003688544,640,432.0
0.017578125,26.994770050048828,-0.002159891650080681,1763260224.9281201,,45696,-0.024531852453947067,0.8535919189453125,0.5875720977783203,0.003408379852771759,,134.09914422035217,0.00027265746030025184,650,433.0
,,,1763260227.6777127,320.0,47045,,,,,320.0,136.8487367630005,,664,
0.0,6.153256416320801,0.013258807361125946,1763260231.89054,,49024,-0.006367206573486328,0.06596344709396362,0.5481981635093689,0.0006029773503541946,,141.06156396865845,0.0002706605300772935,684,435.0
,,,1763260232.7426782,322.0,49439,,,,,322.0,141.91370224952698,,689,
,,,1763260234.6270652,500.0,50348,,,,,500.0,143.79808926582336,,698,
0.0,5.320769309997559,-0.0037769638001918793,1763260235.577802,,50816,0.002265308052301407,0.06630003452301025,0.5277551412582397,0.0006193183362483978,,144.7488260269165,0.00026958525995723903,702,437.0
0.0,5.753889560699463,0.00376274436712265,1763260236.4014034,,51200,-0.000576309859752655,-0.01780855655670166,0.5825984477996826,4.2945146560668945e-05,,145.5724275112152,0.00026935484493151307,707,437.0
0.0,4.6493964195251465,-0.0004070056602358818,1763260240.9128325,,53376,0.0015839450061321259,-0.10880494117736816,0.5336904525756836,2.8296373784542084e-05,,150.0838565826416,0.0002680491597857326,729,439.0
0.0,224.9556121826172,-0.001206832006573677,1763260246.5509346,,56192,0.00889991968870163,0.0026154518127441406,0.5467652678489685,0.0006980467587709427,,155.72195863723755,0.0002663594495970756,757,442.0
0.0,2.1874125003814697,-0.0005501806735992432,1763260247.5740242,,56704,2.3797154426574707e-05,2.1457672119140625e-05,0.5617480874061584,7.912516593933105e-06,,156.74504828453064,0.0002660522295627743,762,442.0
