charts/SPS,_runtime,losses/entropy,losses/policy_loss,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,charts/learning_rate,_timestamp,losses/explained_variance,_step,global_step,charts/episodic_return,losses/clipfrac
715.0,99.56365394592285,0.5352191925048828,0.020862020552158356,26.937267303466797,0.027446631342172623,,0.0051821572706103325,0.0002690476248972118,1763260133.087369,0.9349632859230042,702,51712,,0.01171875
713.0,100.25573325157166,0.5260287523269653,0.00829305499792099,163.466796875,-0.0037704072892665863,,0.00019982829689979553,0.00026881720987148583,1763260133.7794483,0.004391372203826904,707,52096,,0.0
,103.34627556800842,,,,,207.0,,,1763260136.8699906,,729,53826,207.0,
,107.2703537940979,,,,,188.0,,,1763260140.7940688,,757,56080,188.0,
699.0,108.15169501304626,0.5482685565948486,-0.00014330074191093445,9.747932434082031,-0.00028738193213939667,,0.00011783279478549957,0.0002661290345713496,1763260141.67541,0.9827098846435547,762,56576,,0.0
,108.85307431221008,,,,,162.0,,,1763260142.3767893,,767,56978,162.0,
695.0,110.42479062080383,0.4605686366558075,-0.03116072714328766,0.663027822971344,0.024356888607144356,,0.009419355541467667,0.0002653609844855964,1763260143.9485056,0.9824155569076538,775,57856,,0.03125
691.0,112.81728506088257,0.5440208911895752,0.0006330357864499092,1.2786287069320679,0.003984863869845867,,0.00010193604975938797,0.0002645929343998432,1763260146.341,0.4373946785926819,788,59136,,0.0
688.0,114.28256511688232,0.5197075009346008,-0.01813025400042534,29.980262756347656,-0.004961817525327206,,0.0010781893506646156,0.0002641321043483913,1763260147.8062801,0.46895354986190796,797,59904,,0.0
,115.8470549583435,,,,,500.0,,,1763260149.37077,,806,60839,500.0,
683.0,117.49116969108582,0.5177434682846069,-0.013551346957683563,199.51870727539062,0.0004516802728176117,,0.0005585085600614548,0.0002630568342283368,1763260151.0148847,-0.004063248634338379,815,61696,,0.0
674.0,125.30563068389893,0.5613529682159424,-0.007478458806872368,0.024010207504034042,-0.0004183966666460037,,0.00023712962865829468,0.0002603686589282006,1763260158.8293457,-1.7768115997314453,863,66176,,0.0
673.0,126.801278591156,0.5659029483795166,0.02300266921520233,191.38519287109375,-0.003090375103056431,,0.00041061732918024063,0.00025983102386817336,1763260160.3249936,0.0010439753532409668,872,67072,,0.0
,127.45402431488037,,,,,500.0,,,1763260160.9777393,,876,67527,500.0,
666.0,134.64852571487427,0.503953754901886,0.0036414116621017456,36.74187469482422,-0.0024037137627601624,,0.00012460537254810333,0.00025714284856803715,1763260168.1722407,0.0004989504814147949,916,71552,,0.0
665.0,135.76765203475952,0.4840409457683563,-0.02007462829351425,0.008157840929925442,0.019030017778277397,,0.009402765892446041,0.00025675882352516055,1763260169.291367,-0.48814690113067627,922,72192,,0.02734375
,137.14998245239258,,,,,500.0,,,1763260170.6736975,,930,73027,500.0,
662.0,138.73133659362793,0.5193553566932678,-0.013134773820638657,0.0006607213290408254,-0.0013107731938362122,,0.002967650070786476,0.0002557603584136814,1763260172.2550516,-0.5421129465103149,938,73856,,0.005859375
662.0,139.18061900138855,0.5360730290412903,0.016775093972682953,368.299072265625,-0.002351442351937294,,0.0012507233768701553,0.00025560674839653075,1763260172.704334,-0.00018906593322753906,941,74112,,0.0
662.0,139.39174437522888,0.5719590187072754,0.0050360336899757385,0.00363716809079051,-0.004193413071334362,,0.00039613712579011917,0.00025552994338795543,1763260172.9154594,0.20338082313537598,942,74240,,0.0
661.0,140.4752447605133,0.5447211861610413,0.006257563829421997,0.0005163854802958667,0.009396210312843323,,0.001120973378419876,0.0002551459183450788,1763260173.9989598,-0.033768296241760254,948,74880,,0.0
,145.02548384666443,,,,,500.0,,,1763260178.5491989,,974,77527,500.0,
656.0,146.1622188091278,0.505390465259552,0.008040020242333412,131.8265838623047,-0.0034308983013033867,,0.00028415117412805557,0.0002532257931306958,1763260179.6859338,-0.00023233890533447266,980,78080,,0.0
655.0,147.0964207649231,0.5063232779502869,0.009913947433233261,54.86054992675781,0.0008451184257864952,,0.00027900468558073044,0.00025291857309639454,1763260180.6201358,-0.0001614093780517578,985,78592,,0.0
653.0,149.01015424728394,0.4918298125267029,0.00446082279086113,167.39202880859375,0.005811482667922974,,0.0001628529280424118,0.000252304133027792,1763260182.5338693,-0.0002980232238769531,995,79616,,0.0
653.0,149.44696044921875,0.487587571144104,0.003645673394203186,0.00023303800844587386,0.007865937426686287,,0.0020590890198946,0.0002521505521144718,1763260182.9706755,-0.2323448657989502,997,79872,,0.0
651.0,152.59215354919434,0.5162853002548218,-0.02503163367509842,0.009828679263591766,-0.02370111085474491,,0.0059057557955384254,0.0002510752819944173,1763260186.1158686,-0.43509089946746826,1015,81664,,0.01171875
650.0,153.51824927330017,0.46488887071609497,-2.7939677238464355e-06,0.00404762476682663,-0.00011323858052492142,,3.504101186990738e-05,0.00025076806196011603,1763260187.0419643,-0.14396190643310547,1020,82176,,0.0
649.0,155.5652048587799,0.5039823055267334,0.013307925313711166,0.0006510597886517644,0.010820072144269943,,0.005906987935304642,0.00025007681688293815,1763260189.0889199,-0.2403038740158081,1031,83328,,0.029296875
647.0,158.97921347618103,0.3973771929740906,-0.007640746422111988,0.005197225604206324,-0.0013272035866975784,,0.0007119104266166687,0.00024892474175430834,1763260192.5029285,-0.1278470754623413,1050,85248,,0.0
,159.45497512817383,,,,,500.0,,,1763260192.9786901,,1053,85527,500.0,
,160.34742665290833,,,,,500.0,,,1763260193.8711417,,1058,86027,500.0,
644.0,164.61713099479675,0.4822957217693329,-0.018437206745147705,304.06365966796875,0.006730413995683193,,0.0009225467219948769,0.00024692781153135,1763260198.140846,0.00035512447357177734,1083,88576,,0.0
644.0,166.00689578056335,0.3768685758113861,-0.022513672709465027,0.00030721662915311754,0.007680636830627918,,0.004784996621310711,0.0002463901764713228,1763260199.5306108,0.08493483066558838,1091,89472,,0.00390625
643.0,168.58647322654724,0.3970411717891693,-0.002271994948387146,0.00032049708534032106,0.02133871614933014,,0.00395385455340147,0.00024546851636841893,1763260202.1101882,-0.30549097061157227,1106,91008,,0.00390625
643.0,170.53327107429504,0.466594934463501,0.007587212137877941,0.00674106040969491,-0.002227703109383583,,0.0019365325570106506,0.00024477727129124105,1763260204.056986,-0.24902451038360596,1118,92160,,0.005859375
642.0,171.7962749004364,0.4172201156616211,-0.009812865406274796,0.0002935290103778243,-0.004482803866267204,,0.001435825601220131,0.00024431644123978913,1763260205.31999,-0.4508638381958008,1125,92928,,0.001953125
642.0,173.10676264762878,0.47681018710136414,-0.007003914564847946,0.007236849050968885,-0.005796438083052635,,0.0007116831839084625,0.0002438556111883372,1763260206.6304777,-0.038564085960388184,1133,93696,,0.0
641.0,175.24995303153992,0.47463852167129517,-0.04091699421405792,0.00018577175796963274,-0.007108164019882679,,0.00570975337177515,0.000243087561102584,1763260208.773668,-0.7439351081848145,1145,94976,,0.013671875
640.0,178.604483127594,0.476764440536499,-0.007463734596967697,8.976711251307279e-05,-0.0005313223227858543,,0.0005594240501523018,0.0002419354859739542,1763260212.1281981,-0.22234678268432617,1164,96896,,0.0
640.0,178.81403255462646,0.5001038908958435,-0.004309345036745071,0.00019723786681424826,0.019129427149891853,,0.0014369124546647072,0.00024185868096537888,1763260212.3377476,-0.03221714496612549,1165,97024,,0.0
639.0,179.93230366706848,0.3892488479614258,-0.007557496428489685,0.007624051533639431,0.013650689274072647,,0.0020218752324581146,0.00024147465592250228,1763260213.4560187,-0.21477556228637695,1172,97664,,0.0
638.0,181.51166820526123,0.5401197671890259,0.000531880185008049,228.26358032226562,-0.0007352801039814949,,1.0921619832515717e-05,0.00024093702086247504,1763260215.0353832,-0.0003336668014526367,1181,98560,,0.0
638.0,182.37414288520813,0.5626190304756165,0.003467656672000885,180.1637725830078,0.0017560319975018501,,4.185829311609268e-05,0.00024062980082817376,1763260215.897858,8.463859558105469e-06,1186,99072,,0.0
638.0,184.3408932685852,0.4872819781303406,3.853440284729004e-05,0.011304344981908798,-0.009275577031075954,,0.0009978199377655983,0.00023993855575099587,1763260217.8646083,-0.03990793228149414,1197,100224,,0.009765625
637.0,187.18433594703674,0.46474289894104004,0.001652611419558525,0.0003101850743405521,-0.008866156451404095,,0.004389115609228611,0.0002389400906395167,1763260220.708051,-0.37160956859588623,1213,101888,,0.005859375
,187.4582715034485,,,,,500.0,,,1763260220.9819865,,1215,102027,500.0,
635.0,189.4886269569397,0.5083408951759338,0.005840204656124115,0.005830331705510616,-0.016479454934597015,,0.0020933113992214203,0.0002381720405537635,1763260223.012342,0.05718737840652466,1226,103168,,0.001953125
635.0,190.16729426383972,0.5056865811347961,-0.018279582262039185,92.21643829345703,0.011130174621939659,,0.0035659782588481903,0.00023794162552803755,1763260223.6910093,0.0001448988914489746,1230,103552,,0.001953125
,190.8532199859619,,,,,500.0,,,1763260224.376935,,1234,104027,500.0,
634.0,192.85357069969177,0.5116414427757263,0.0034977421164512634,412.38092041015625,-0.004011048935353756,,0.00047158170491456985,0.0002370199654251337,1763260226.3772857,0.00016617774963378906,1245,105088,,0.0
,194.43862628936768,,,,,500.0,,,1763260227.9623413,,1254,106027,500.0,
632.0,197.63490438461304,0.4905856251716614,-0.04004020616412163,0.007092463318258524,-0.006892353296279907,,0.006054297089576721,0.00023540706024505198,1763260231.1586194,0.5354483127593994,1271,107776,,0.015625
630.0,202.67756128311157,0.45992815494537354,-0.001661498099565506,220.58326721191406,0.009168000891804695,,0.0004261452704668045,0.00023371736460831016,1763260236.2012763,0.00017571449279785156,1299,110592,,0.0
627.0,209.9876971244812,0.5045894980430603,-0.00019241496920585632,0.007463389076292515,-0.008524790406227112,,0.0004172883927822113,0.00023125960433389992,1763260243.5114121,-0.2951892614364624,1339,114688,,0.0
627.0,210.20849418640137,0.5012571215629578,-0.011581651866436005,0.00021730081061832607,0.014415591023862362,,0.0022903261706233025,0.0002311827993253246,1763260243.7322092,-0.15712380409240723,1340,114816,,0.0
626.0,211.80716705322266,0.4538377523422241,0.00480685755610466,0.0076567805372178555,0.005303020589053631,,0.00118935015052557,0.00023064516426529735,1763260245.330882,-0.1946932077407837,1349,115712,,0.0
627.0,213.98266005516052,0.4550129771232605,-9.301304817199707e-05,267.38336181640625,-0.010351174511015415,,0.0004068790003657341,0.00022980030917096883,1763260247.506375,-0.0001081228256225586,1363,117120,,0.0
627.0,214.35869693756104,0.518293559551239,-0.009991430677473545,3.98978081648238e-05,-0.006252359598875046,,0.001935591921210289,0.0002296466991538182,1763260247.882412,0.03629583120346069,1365,117376,,0.0078125
627.0,215.25466203689575,0.4885735809803009,-0.023314394056797028,0.0002730102860368788,-0.011983746662735939,,0.004897245205938816,0.0002293394791195169,1763260248.778377,0.034801483154296875,1370,117888,,0.0078125
626.0,216.95476746559143,0.5221303105354309,0.0008900761604309082,0.00021811507758684456,-0.01222893875092268,,0.002893698401749134,0.00022872503905091435,1763260250.4784825,-0.28927767276763916,1380,118912,,0.005859375
,217.01537418365479,,,,,500.0,,,1763260250.5390892,,1381,119027,500.0,
624.0,218.93424129486084,0.501096248626709,-0.013696976006031036,0.009464451111853123,-0.010838418267667294,,0.0015546800568699837,0.00022826420899946243,1763260252.4579563,-1.40299391746521,1388,119680,,0.0
623.0,220.34183073043823,0.5359821915626526,0.0023329337127506733,0.0002822526730597019,0.002271830104291439,,9.773019701242447e-05,0.0002278033789480105,1763260253.8655457,-0.6821385622024536,1395,120448,,0.0
623.0,221.02996850013733,0.5227988958358765,-0.0034357798285782337,0.00012248697748873383,0.006895818747580051,,0.0007711825892329216,0.00022757296392228454,1763260254.5536835,-0.38446223735809326,1399,120832,,0.0
623.0,222.07872700691223,0.5088884234428406,0.006905708461999893,0.0001193914795294404,0.004275492392480373,,0.00028004590421915054,0.00022718893887940794,1763260255.602442,-0.3791579008102417,1405,121472,,0.0
622.0,226.64162349700928,0.5577443242073059,-0.0007383301854133606,0.005836947355419397,0.0015917867422103882,,3.280863165855408e-05,0.00022557603369932622,1763260260.1653385,-0.0815502405166626,1432,124160,,0.0
622.0,226.848370552063,0.5070081949234009,-0.01619967818260193,0.000320449355058372,-0.006341331638395786,,0.0018601054325699806,0.0002254992286907509,1763260260.3720856,0.10325103998184204,1433,124288,,0.0
,230.57936239242554,,,,,500.0,,,1763260264.1030774,,1455,126527,500.0,
622.0,230.76344394683838,0.558566689491272,0.003339095041155815,336.3829040527344,0.0022069960832595825,,0.0008352696895599365,0.00022411673853639513,1763260264.287159,0.00021266937255859375,1456,126592,,0.0
622.0,230.9505159854889,0.3822961151599884,0.017360201105475426,0.005551691632717848,0.041785828769207,,0.013092708773911,0.0002240399335278198,1763260264.474231,-1.9976341724395752,1457,126720,,0.0390625
,239.8915514945984,,,,,500.0,,,1763260273.4152665,,1514,132527,500.0,
624.0,240.7442901134491,0.5078084468841553,-0.014202781021595001,0.005105963908135891,0.008327459916472435,,0.001160578802227974,0.0002201228926423937,1763260274.2680051,-0.30977654457092285,1521,133248,,0.0
624.0,241.18589615821838,0.5198322534561157,-0.0021595340222120285,49.21306610107422,0.0065122367814183235,,0.00027754809707403183,0.00021989247761666775,1763260274.7096112,-0.00013196468353271484,1525,133632,,0.0
624.0,241.4859700202942,0.5352348685264587,0.0022259652614593506,7.818469748599455e-05,-0.0009110886603593826,,0.0002146884799003601,0.0002197388675995171,1763260275.009685,0.060140907764434814,1527,133888,,0.0
,241.73490262031555,,,,,500.0,,,1763260275.2586176,,1529,134027,500.0,
624.0,242.60163640975952,0.5352575778961182,-0.0007431432604789734,80.23223114013672,0.009366265498101711,,0.00033889804035425186,0.0002193548425566405,1763260276.1253514,-5.4001808166503906e-05,1534,134528,,0.0
624.0,242.99751091003418,0.5241603851318359,-0.002185240387916565,0.00013875559670850635,-0.00198451429605484,,5.914643406867981e-05,0.00021920123253948987,1763260276.521226,-0.026883482933044434,1536,134784,,0.0
,244.04988145828247,,,,,500.0,,,1763260277.5735965,,1543,135527,500.0,
624.0,244.44132328033447,0.49409833550453186,-0.0023467913269996643,0.005559150129556656,-0.0006526708602905273,,0.00037789158523082733,0.00021866359747946262,1763260277.9650383,-0.24752187728881836,1545,135680,,0.0
624.0,244.63522672653198,0.5585089325904846,-0.0003425963222980499,0.00037230810266919434,-0.005129766650497913,,0.0007773591205477715,0.0002185867924708873,1763260278.1589417,0.1653779149055481,1546,135808,,0.0
,246.48617148399353,,,,,500.0,,,1763260280.0098865,,1558,137027,500.0,
624.0,246.6841413974762,0.4515482485294342,0.00028404220938682556,284.251220703125,0.002525816671550274,,6.032269448041916e-05,0.0002178187423851341,1763260280.2078564,-0.00011420249938964844,1559,137088,,0.0
,247.32800722122192,,,,,500.0,,,1763260280.8517222,,1563,137527,500.0,
624.0,247.89500832557678,0.5540401935577393,-0.002543080598115921,0.00027847348246723413,0.008736120536923409,,0.002474876120686531,0.00021735791233368218,1763260281.4187233,0.010751485824584961,1566,137856,,0.001953125
