losses/clipfrac,charts/episodic_return,charts/SPS,losses/policy_loss,losses/entropy,_timestamp,_step,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/explained_variance,_runtime,global_step,losses/approx_kl,losses/old_approx_kl
0.0,,645.0,0.00882640853524208,0.5198876857757568,1763260353.1850662,2051,156.4001007080078,,0.00018678954802453518,0.00031304359436035156,319.6611683368683,188800,6.38691708445549e-05,-0.0011224979534745216
0.0,,645.0,-0.0025039315223693848,0.4717961847782135,1763260353.3627396,2052,0.005072005093097687,,0.00018671274301595986,-0.14343595504760742,319.83884167671204,188928,4.222337156534195e-05,-0.0028166985139250755
,500.0,,,,1763260356.0742826,2070,,500.0,,,322.55038475990295,190794,,
0.0,,645.0,-0.0020435303449630737,0.5031461119651794,1763260357.010368,2076,59.5279541015625,,0.000185253462404944,0.000291287899017334,323.48647022247314,191360,6.142351776361465e-05,0.00014407839626073837
0.0,,646.0,0.004747230559587479,0.5149984955787659,1763260359.6678438,2093,0.00011541839921846986,,0.00018417819228488952,-0.21941101551055908,326.1439459323883,193152,0.0006467299535870552,0.003606935031712055
0.0,,646.0,-0.006440788507461548,0.45624488592147827,1763260359.7834604,2094,0.00019616873760242015,,0.0001841013872763142,-0.13238418102264404,326.2595624923706,193280,0.0006501916795969009,-0.011800864711403847
0.0,,648.0,-0.0001878589391708374,0.5147706270217896,1763260362.1886356,2117,2.5392741008545272e-05,,0.00018271889712195843,-0.09688055515289307,328.664737701416,195584,0.00013995077461004257,0.0015305178239941597
0.0,,649.0,0.0014986209571361542,0.5683969259262085,1763260365.5077906,2141,0.003424939699470997,,0.00018125960195902735,-0.04022634029388428,331.9838926792145,198016,0.00038480013608932495,-0.00518227182328701
0.0,,649.0,0.0013911165297031403,0.5105481743812561,1763260366.2949162,2146,0.003169676987454295,,0.00018095238192472607,-0.07948482036590576,332.77101826667786,198528,5.3199008107185364e-05,0.001391332596540451
0.0,,649.0,0.00038701295852661133,0.528232991695404,1763260366.4722052,2147,0.0002034429635386914,,0.00018087557691615075,-0.27912867069244385,332.9483072757721,198656,0.00013908743858337402,0.002990216016769409
0.0,,649.0,-0.0031374990940093994,0.5735095739364624,1763260366.6722765,2148,0.00010585156996967271,,0.00018079877190757543,0.1735798716545105,333.14837861061096,198784,0.00018652062863111496,0.004715881310403347
0.0,,649.0,0.0008042119443416595,0.5482330322265625,1763260367.71296,2155,0.004423768259584904,,0.00018041474686469883,0.3999863862991333,334.1890621185303,199424,4.316400736570358e-05,-0.002260684035718441
0.00390625,,650.0,-0.020263761281967163,0.5140060782432556,1763260370.0056293,2172,7.909296982688829e-05,,0.00017933947674464434,-0.05245566368103027,336.4817314147949,201216,0.002241319976747036,0.008688748814165592
0.0,,651.0,-0.0016810335218906403,0.5183869004249573,1763260371.4201117,2185,0.00388235691934824,,0.00017857142665889114,0.1778203845024109,337.8962137699127,202496,0.0006713857874274254,0.003913045860826969
0.025390625,,652.0,-0.00905165821313858,0.5637944936752319,1763260372.2764757,2192,6.783993740100414e-05,,0.00017811059660743922,0.06935948133468628,338.75257778167725,203264,0.0025259926915168762,0.00045921653509140015
,500.0,,,,1763260372.847324,2198,,500.0,,,339.3234260082245,203794,,
0.0,,653.0,-0.00587056577205658,0.5143400430679321,1763260372.9857755,2199,221.33694458007812,,0.00017772657156456262,0.0007692575454711914,339.4618775844574,203904,0.00046858564019203186,-0.00026195868849754333
0.0,,654.0,0.004166115075349808,0.5368165969848633,1763260374.3432755,2211,0.00010390459647169337,,0.00017695852147880942,-0.5077662467956543,340.81937766075134,205184,0.0015126122161746025,0.010878699831664562
0.0,,654.0,-0.004813462495803833,0.5472084283828735,1763260374.5960293,2214,0.0038198037073016167,,0.00017680491146165878,-0.45059025287628174,341.07213139533997,205440,0.00027256086468696594,-0.00015822239220142365
0.0,,655.0,0.0010963380336761475,0.5252370834350586,1763260375.295824,2220,0.00032262850436381996,,0.00017642088641878217,-0.9474195241928101,341.7719261646271,206080,0.0003435276448726654,0.00229085236787796
0.0,,655.0,0.00704820454120636,0.48238205909729004,1763260375.599825,2223,70.00682067871094,,0.00017626727640163153,1.7762184143066406e-05,342.07592701911926,206336,0.0004008924588561058,0.0002232501283288002
0.0,,655.0,-0.002858757972717285,0.6033924221992493,1763260375.8505719,2225,0.00018376468506176025,,0.0001761136663844809,-0.2335270643234253,342.3266739845276,206592,4.677940160036087e-05,-0.0005488013848662376
0.0,,655.0,-0.002617068588733673,0.5443869233131409,1763260375.9770782,2226,0.0001264577149413526,,0.00017603686137590557,-0.03332626819610596,342.45318031311035,206720,0.00021060463041067123,-0.0005345391109585762
,500.0,,,,1763260376.0152383,2227,,500.0,,,342.49134039878845,206794,,
0.0,,656.0,-0.008871491998434067,0.5846421122550964,1763260376.521153,2231,5.042746852268465e-05,,0.0001757296413416043,-0.0011657476425170898,342.9972550868988,207232,0.00064814742654562,-0.005896556191146374
0.0,,656.0,-0.00076255202293396,0.5669409036636353,1763260376.8873267,2235,0.0001616865338291973,,0.00017549922631587833,-0.23419368267059326,343.36342883110046,207616,2.1423213183879852e-05,0.0007005622610449791
0.0,,657.0,3.360956907272339e-05,0.5444209575653076,1763260377.7303624,2241,0.00010033611033577472,,0.00017511520127300173,0.019643962383270264,344.2064645290375,208256,4.840083420276642e-05,-0.00020748190581798553
0.0,,657.0,-0.005078330636024475,0.5398681163787842,1763260378.7274768,2248,48.098812103271484,,0.00017473117623012513,9.59634780883789e-06,345.2035789489746,208896,0.0008120713755488396,0.003962130285799503
0.0,,657.0,-0.004837097600102425,0.5166579484939575,1763260379.0629625,2250,0.00011038635420845821,,0.0001745775662129745,-0.25411558151245117,345.5390646457672,209152,8.843373507261276e-05,0.0018446194007992744
