losses/approx_kl,charts/episodic_length,losses/value_loss,charts/SPS,charts/learning_rate,losses/explained_variance,_step,_timestamp,_runtime,losses/entropy,losses/clipfrac,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,global_step
8.30385833978653e-05,,74.67697143554688,340.0,0.000294623663648963,0.14282643795013428,195,1763260146.1316464,55.15269732475281,0.6046842336654663,0.0,0.002567887306213379,-0.0013737361878156662,,9088
,273.0,,,,,203,1763260147.3593495,56.38040041923523,,,,,273.0,9715
,94.0,,,,,213,1763260148.7950497,57.81610059738159,,,,,94.0,10288
1.12876296043396e-05,,91.15729522705078,350.0,0.00029377880855463445,0.4376954436302185,217,1763260149.34486,58.36591100692749,0.5930466055870056,0.0,0.0008879192173480988,-0.0019425265491008759,,10496
1.2226402759552002e-05,,87.65252685546875,357.0,0.00029331797850318253,0.7249103784561157,228,1763260150.9734964,59.99454736709595,0.6124744415283203,0.0,-0.000551864504814148,-9.064376354217529e-05,,11264
,67.0,,,,,233,1763260151.3898911,60.41094207763672,,,,,67.0,11493
4.580244421958923e-06,,65.89115905761719,365.0,0.000292473123408854,0.004893183708190918,251,1763260154.1035256,63.124576568603516,0.5860158205032349,0.0,-0.0002986788749694824,9.870342910289764e-05,,12672
0.0005235131829977036,,103.52045440673828,369.0,0.0002921659033745527,0.016846060752868652,259,1763260155.1487408,64.16979169845581,0.5926479697227478,0.0,0.0164457019418478,-0.006433902308344841,,13184
,167.0,,,,,265,1763260155.9278734,64.94892430305481,,,,,167.0,13647
9.885057806968689e-06,,74.55585479736328,374.0,0.0002916282683145255,0.2715904712677002,273,1763260157.0263298,66.04738068580627,0.5699853897094727,0.0,-0.0007863938808441162,1.2462958693504333e-05,,14080
,222.0,,,,,274,1763260157.0859404,66.10699129104614,,,,,222.0,14200
0.001072644256055355,,54.796024322509766,381.0,0.0002909370232373476,0.6032372713088989,292,1763260159.3188848,68.33993577957153,0.6125144958496094,0.0,0.012253586202859879,-0.0020805569365620613,,15232
0.0011677779257297516,,31.9350528717041,388.0,0.0002897081431001425,0.8051433563232422,321,1763260163.9643936,72.98544454574585,0.6008689403533936,0.0,-0.003684714436531067,0.006028955802321434,,17280
,186.0,,,,,327,1763260164.9656537,73.9867045879364,,,,,186.0,17786
,164.0,,,,,330,1763260165.5864491,74.60750007629395,,,,,164.0,17950
0.001821449026465416,,93.35198974609375,388.0,0.00028924731304869056,0.028193295001983643,332,1763260165.9374228,74.95847368240356,0.5801661014556885,0.0,-0.007726382464170456,0.019842078909277916,,18048
,362.0,,,,,337,1763260166.9607067,75.98175764083862,,,,,362.0,18469
,75.0,,,,,340,1763260167.400483,76.4215338230133,,,,,75.0,18674
0.0007035499438643456,,135.0902099609375,393.0,0.0002874807978514582,0.03675323724746704,370,1763260172.787462,81.80851292610168,0.5766910314559937,0.0,0.0011077001690864563,0.004202087409794331,,20992
0.00030122045427560806,,90.17884063720703,394.0,0.00028725038282573223,0.08239471912384033,375,1763260173.6549766,82.67602753639221,0.5468307137489319,0.0,-0.0061736032366752625,0.002356243319809437,,21376
0.00010595656931400299,,45.531742095947266,400.0,0.00028609830769710243,-0.00216829776763916,396,1763260177.534348,86.55539894104004,0.5758479237556458,0.0,-0.004256479442119598,-0.0008402504026889801,,23296
0.00016470439732074738,,33.390079498291016,406.0,0.00028471581754274666,0.741601824760437,425,1763260182.4612582,91.48230910301208,0.5893821716308594,0.0,-0.0033323094248771667,0.003595992922782898,,25600
0.00022421684116125107,,94.3660888671875,409.0,0.00028394776745699346,0.00029277801513671875,441,1763260185.1328695,94.1539204120636,0.5684285163879395,0.0,-0.012418946251273155,0.0016826102510094643,,26880
,185.0,,,,,450,1763260186.5124443,95.5334951877594,,,,,185.0,27628
1.7338432371616364e-05,,26.313560485839844,415.0,0.00028233486227691174,-0.0035878419876098633,471,1763260190.5464666,99.56751751899719,0.5904929637908936,0.0,-4.745647311210632e-05,-0.0002402001991868019,,29568
