losses/clipfrac,charts/learning_rate,_step,losses/entropy,charts/episodic_length,_timestamp,losses/policy_loss,losses/old_approx_kl,_runtime,charts/episodic_return,losses/approx_kl,losses/value_loss,losses/explained_variance,global_step,charts/SPS
0.0,0.0002920122933574021,259,0.6146658062934875,,1763260155.1311266,-0.0038577020168304443,0.0005753515288233757,64.07408666610718,,5.092937499284744e-05,66.81954956054688,-0.004429817199707031,13440,376.0
,,265,,144.0,1763260155.8868384,,,64.82979846000671,144.0,,,,13857,
,,273,,256.0,1763260157.1378517,,,66.0808117389679,256.0,,,,14529,
0.0,0.0002913210482802242,274,0.5695861577987671,,1763260157.3329554,-0.01166580617427826,0.0017418833449482918,66.2759153842926,,0.0011294381693005562,49.07622528076172,0.04715996980667114,14592,385.0
0.0,0.0002904761931858957,292,0.5893518924713135,,1763260159.892316,-0.006734371185302734,0.002875746227800846,68.83527612686157,,0.00013962294906377792,70.97297668457031,0.05215030908584595,16000,395.0
0.0,0.0002890168980229646,321,0.5515974164009094,,1763260165.30608,-5.990266799926758e-06,0.0005416311323642731,74.24904012680054,,1.7527490854263306e-06,91.70659637451172,0.010943114757537842,18432,401.0
,,327,,484.0,1763260166.6249344,,,75.56789445877075,484.0,,,,18996,
0.0,0.0002885560679715127,330,0.6075164675712585,,1763260167.2550452,-0.0037498287856578827,6.130989640951157e-05,76.19800519943237,,9.126868098974228e-05,62.34178924560547,-0.00029647350311279297,19200,401.0
0.0,0.00028840245795436203,332,0.6333003044128418,,1763260167.8454707,-0.01327512413263321,0.005124453455209732,76.78843069076538,,0.000536089763045311,61.80507278442383,0.15256059169769287,19456,401.0
0.0,0.0002881720429286361,337,0.5624343156814575,,1763260168.7638876,-0.0011166036128997803,-0.002504367381334305,77.70684766769409,,5.299225449562073e-05,62.26726150512695,-0.21075832843780518,19840,402.0
0.00390625,0.00028801843291148543,340,0.6193856596946716,,1763260169.3101625,0.009615808725357056,-0.0034658387303352356,78.2531225681305,,0.005129439756274223,59.36781311035156,0.22200030088424683,20096,402.0
,,370,,126.0,1763260173.9266486,,,82.86960864067078,126.0,,,,22233,
,,375,,141.0,1763260174.7447393,,,83.68769931793213,141.0,,,,22556,
0.0,0.0002855606726370752,396,0.6159049272537231,,1763260178.2172444,-0.0002516321837902069,0.0006253877654671669,87.16020441055298,,8.079130202531815e-05,42.63777160644531,-0.018274784088134766,24192,411.0
,,425,,119.0,1763260183.1001158,,,92.04307579994202,119.0,,,,26539,
0.0,0.0002833333273883909,441,0.6225980520248413,,1763260185.897726,0.0024771839380264282,0.0003549167886376381,94.84068608283997,,0.0001785745844244957,36.707550048828125,0.0060086846351623535,27904,419.0
0.0,0.000282872497336939,450,0.6051614880561829,,1763260187.4179077,-0.003173626959323883,-0.0031868843361735344,96.36086773872375,,0.00017804373055696487,34.75943374633789,0.15521258115768433,28672,421.0
0.0,0.0002818740322254598,471,0.5944520235061646,,1763260190.9069362,-0.017654746770858765,0.009307170286774635,99.84989619255066,,0.0019459724426269531,86.2601318359375,0.5076195001602173,30336,424.0
,,481,,168.0,1763260192.5027168,,,101.44567680358887,168.0,,,,31134,
,,490,,221.0,1763260194.0882401,,,103.03120017051697,221.0,,,,31882,
