losses/clipfrac,charts/episodic_return,charts/learning_rate,losses/explained_variance,global_step,_step,losses/entropy,_timestamp,charts/SPS,_runtime,losses/value_loss,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length
0.0,,0.00026382488431409,-0.4984170198440552,60416,797,0.5929429531097412,1763260253.4612732,450.0,162.45614218711853,0.005225736647844315,-0.0018791556358337402,9.025540202856064e-05,0.005354800261557102,
,500.0,,,61303,806,,1763260255.0883904,,164.08325934410095,,,,,500.0
0.0,,0.00026274961419403553,-1.9069478511810303,62208,815,0.444730669260025,1763260257.076307,451.0,166.0711760520935,0.0011217280989512801,0.0008856821805238724,0.0012727109715342522,-0.0023310529068112373,
0.017578125,,0.00025983102386817336,-1.9438250064849854,67072,863,0.3491804599761963,1763260266.686944,455.0,175.6818130016327,0.0004931333824060857,-0.03768020123243332,0.009310672990977764,0.05214595049619675,
0.00390625,,0.0002592933888081461,-0.9189891815185547,67968,872,0.4016285240650177,1763260268.4923322,455.0,177.48720121383667,0.007342874072492123,-0.009063133969902992,0.003010263666510582,0.005873369053006172,
0.0,,0.00025906297378242016,-0.0007399320602416992,68352,876,0.3886929154396057,1763260269.2704973,456.0,178.26536631584167,269.2777404785156,0.004515316337347031,8.573196828365326e-05,-0.00018007680773735046,
0.025390625,,0.0002566052135080099,-1.0575392246246338,72448,916,0.48196759819984436,1763260277.395086,458.0,186.38995504379272,0.005171454977244139,-0.045240528881549835,0.011217708699405193,0.04542381316423416,
0.001953125,,0.0002562211884651333,-0.3446991443634033,73088,922,0.48494359850883484,1763260278.6952724,458.0,187.69014143943787,0.000563841313123703,-0.0037201419472694397,0.0012202728539705276,0.0006424468010663986,
0.0,,0.0002557603584136814,0.0006632804870605469,73856,930,0.39464229345321655,1763260280.277529,459.0,189.27239799499512,361.4444580078125,0.005979480221867561,0.0003559952601790428,0.0013940529897809029,
0.00390625,,0.00025522272335365415,-0.42186176776885986,74752,938,0.5655523538589478,1763260282.0498781,459.0,191.04474711418152,0.00019913689175155014,-0.01921127736568451,0.0024334685876965523,0.0016172965988516808,
0.005859375,,0.0002550691133365035,0.32375526428222656,75008,941,0.5355139374732971,1763260282.6015782,459.0,191.59644722938538,0.00540556013584137,-0.006992266047745943,0.0020276643335819244,0.00918411836028099,
0.001953125,,0.0002549923083279282,-0.7214072942733765,75136,942,0.5457221269607544,1763260282.85175,459.0,191.84661889076233,0.00034514625440351665,-0.013081751763820648,0.003737322986125946,0.01387014053761959,
0.0,,0.0002546082832850516,-0.25706613063812256,75776,948,0.5070905089378357,1763260284.1173353,460.0,193.1122043132782,0.00020289295935072005,-0.008228801190853119,0.0013333354145288467,0.003008127212524414,
