global_step,losses/policy_loss,losses/entropy,losses/approx_kl,losses/clipfrac,_timestamp,charts/SPS,losses/explained_variance,losses/value_loss,charts/episodic_return,losses/old_approx_kl,_runtime,_step,charts/learning_rate,charts/episodic_length
13312,-0.0010711997747421265,0.6040847301483154,4.091765731573105e-05,0.0,1763260155.9816947,364.0,0.557045578956604,73.56965637207031,,0.0022198958322405815,65.50118279457092,233,0.0002920890983659774,
14592,-0.0013242438435554504,0.6009854078292847,0.0006114877760410309,0.0,1763260158.7703168,370.0,0.2629275321960449,41.455406188964844,,-0.0009089615195989609,68.28980493545532,251,0.0002913210482802242,
15097,,,,,1763260159.6570241,,,,153.0,,69.17651224136353,259,,153.0
15488,0.005951695144176483,0.5765385031700134,0.0013063466176390648,0.0078125,1763260160.7885723,374.0,0.11972695589065552,70.87110900878906,,-0.0006257863715291023,70.30806040763855,265,0.00029078341322019696,
16128,-0.001109626144170761,0.5538953542709351,7.533468306064606e-05,0.0,1763260162.3379993,375.0,0.01008760929107666,75.83423614501953,,-0.0012814626097679138,71.85748744010925,273,0.00029039938817732036,
16226,,,,,1763260162.4109368,,,,348.0,,71.93042492866516,274,,348.0
17621,,,,,1763260166.0667336,,,,252.0,,75.58622169494629,292,,252.0
19663,,,,,1763260171.5241325,,,,148.0,,81.04362058639526,321,,148.0
20096,-0.01046266034245491,0.5485156178474426,0.0008039521053433418,0.0,1763260172.6452057,377.0,0.07288670539855957,85.23159790039062,,0.015036622062325478,82.16469383239746,327,0.00028801843291148543,
20352,0.0008256100118160248,0.6068467497825623,3.9031729102134705e-05,0.0,1763260173.2558687,378.0,0.9063898921012878,36.07212829589844,,-0.00013445690274238586,82.77535676956177,330,0.0002878648228943348,
20480,0.0033090785145759583,0.5793274641036987,0.003458268940448761,0.005859375,1763260173.5505133,378.0,0.9409905672073364,10.129841804504395,,-0.01006118580698967,83.07000136375427,332,0.00028778801788575947,
20864,-0.0007557980716228485,0.5675358176231384,1.3938173651695251e-05,0.0,1763260174.4397616,379.0,0.9409281015396118,32.26103973388672,,-0.0005401000380516052,83.95924973487854,337,0.0002875576028600335,
21063,,,,,1763260174.8101292,,,,146.0,,84.3296172618866,340,,146.0
23168,-0.01766817830502987,0.5499122738838196,0.007125287316739559,0.005859375,1763260179.9631915,382.0,0.9839893579483032,11.152754783630371,,0.030269034206867218,89.48267960548401,370,0.00028617511270567775,
23593,,,,,1763260180.864433,,,,418.0,,90.38392114639282,375,,418.0
25402,,,,,1763260185.001642,,,,96.0,,94.52113008499146,396,,96.0
28160,-0.004235900938510895,0.5342088937759399,0.00024147424846887589,0.0,1763260190.9963284,393.0,-0.10874879360198975,29.372648239135742,,0.0041100261732935905,100.51581645011902,425,0.00028317971737124026,
