_timestamp,losses/policy_loss,losses/value_loss,charts/episodic_return,losses/explained_variance,losses/entropy,losses/approx_kl,losses/clipfrac,charts/episodic_length,_runtime,charts/SPS,global_step,_step,losses/old_approx_kl,charts/learning_rate
1763260208.8279834,0.002222403883934021,3.958699941635132,,0.9680437445640564,0.47751882672309875,0.0005691144615411758,0.0,,117.77805542945862,469.0,41984,612,-0.004081876948475838,0.00027488480554893613
1763260209.103969,-0.00783894956111908,14.910196304321289,,0.9226900339126587,0.5204994082450867,0.00044039729982614517,0.0,,118.05404114723206,469.0,42112,614,0.004282043315470219,0.0002748080005403608
1763260211.5023854,,,198.0,,,,,198.0,120.45245742797852,,43296,630,,
1763260212.4365098,-0.014010593295097351,11.602301597595215,,0.9738606214523315,0.5113776326179504,0.003359372727572918,0.0078125,,121.3865818977356,470.0,43776,636,0.022335723042488098,0.00027380953542888165
1763260213.1770196,,,500.0,,,,,500.0,122.12709164619446,,44217,640,,
1763260215.0578806,-0.0003598993644118309,6.552426338195801,,0.8797261118888855,0.589471697807312,2.5090761482715607e-05,0.0,,124.00795269012451,472.0,45184,650,-0.0004272991791367531,0.0002729646803345531
1763260217.487039,0.0006014630198478699,5.501795768737793,,0.046008288860321045,0.540037214756012,1.7547979950904846e-05,0.0,,126.43711113929749,473.0,46464,664,-0.000872146338224411,0.0002721966302487999
1763260221.21792,,,347.0,,,,,347.0,130.16799211502075,,48404,684,,
1763260222.1701412,,,500.0,,,,,500.0,131.12021327018738,,48904,689,,
1763260223.8255394,-0.0003273226320743561,2.9630775451660156,,0.15823417901992798,0.5963752269744873,4.469510167837143e-05,0.0,,132.77561140060425,476.0,49792,698,-0.000982438214123249,0.0002701997000258416
1763260224.3942623,-0.002367451786994934,522.3822021484375,,-0.002643108367919922,0.5081170797348022,4.123058170080185e-05,0.0,,133.34433436393738,476.0,50048,702,0.0014010528102517128,0.00027004609000869095
1763260225.1964884,,,234.0,,,,,234.0,134.14656043052673,,50531,707,,
1763260228.6350746,-0.0036275386810302734,351.98626708984375,,-0.004719972610473633,0.5957654118537903,2.250727266073227e-05,0.0,,137.58514666557312,477.0,52096,729,0.00030745286494493484,0.00026881720987148583
1763260233.2984364,,,500.0,,,,,500.0,142.24850845336914,,54431,757,,
1763260234.2672458,,,500.0,,,,,500.0,143.21731781959534,,54931,762,,
1763260235.2130542,,,500.0,,,,,500.0,144.16312623023987,,55431,767,,
