losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
,35598,,,54.0,,1763260104.8185344,54.0,,,938,,,44.54870843887329,
0.0,35712,-0.0008772667497396469,-0.002099498175084591,,0.00018679816275835037,1763260104.9907799,,0.9934708476066589,3.4731740951538086,941,0.00027864822186529636,0.3318215310573578,44.720953941345215,1024.0
,35721,,,35.0,,1763260104.9976356,35.0,,,942,,,44.72780966758728,
,35901,,,44.0,,1763260105.1372476,44.0,,,948,,,44.86742162704468,
0.00390625,36608,0.00020798295736312866,0.0033271722495555878,,0.0035874266177415848,1763260105.8630147,,0.9916371703147888,5.913780212402344,974,0.0002781105868052691,0.35596659779548645,45.593188762664795,1024.0
,36770,,,31.0,,1763260106.0582058,31.0,,,980,,,45.78837990760803,
,36929,,,38.0,,1763260106.1955373,38.0,,,985,,,45.92571139335632,
0.0,37248,0.00019405409693717957,-0.0010851742699742317,,7.162801921367645e-06,1763260106.542212,,0.9928332567214966,4.35790491104126,995,0.0002777265617623925,0.33399659395217896,46.27238607406616,1023.0
,37794,,,43.0,,1763260107.2083423,43.0,,,1015,,,46.93851637840271,
0.001953125,38272,-0.00028067827224731445,-0.007657408714294434,,0.002290068194270134,1763260107.7277014,,0.9928128719329834,1.889564037322998,1031,0.00027711212169378996,0.41302797198295593,47.4578754901886,1018.0
,38946,,,58.0,,1763260108.537524,58.0,,,1050,,,48.26769804954529,
,39048,,,61.0,,1763260108.6614754,61.0,,,1053,,,48.3916494846344,
,39257,,,48.0,,1763260108.8382912,48.0,,,1058,,,48.56846523284912,
,40336,,,85.0,,1763260110.0300355,85.0,,,1083,,,49.76020956039429,
,40722,,,78.0,,1763260110.4186566,78.0,,,1091,,,50.14883065223694,
0.001953125,41600,-0.0010932059958577156,0.000431952066719532,,0.0008281422778964043,1763260111.219294,,0.9988918304443359,0.35342997312545776,1106,0.0002751152205746621,0.37758004665374756,50.94946813583374,1012.0
0.0,42368,-0.014734789729118347,0.0003966381773352623,,0.00045120809227228165,1763260111.9508731,,0.9893471598625183,1.1188493967056274,1118,0.00027465439052321017,0.42996788024902344,51.681047201156616,1013.0
