charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
1029.0,0.006916103884577751,0.07421875,0.2182515263557434,47104,0.0002718126052059233,53.21176791191101,,,0.01653096079826355,-0.002040887251496315,-0.01784491539001465,1091,1763260113.470574,0.02359768934547901
1032.0,0.010837480425834656,0.09375,0.32052093744277954,48640,0.0002708909451030195,54.58110547065735,,,0.011398174799978733,-0.0084786806255579,-0.029218435287475586,1106,1763260114.8399115,0.05515097826719284
1033.0,0.0011636614799499512,0.0,0.2555052936077118,49792,0.0002701997000258416,55.62224507331848,,,0.017047131434082985,0.0012230128049850464,0.015088498592376709,1118,1763260115.881051,0.00020943023264408112
1034.0,0.0014562662690877914,0.017578125,0.24888427555561066,50560,0.00026973886997438967,56.32415008544922,,,0.008304287679493427,0.001489369198679924,-0.005189061164855957,1125,1763260116.582956,0.004555165767669678
1036.0,0.003346577286720276,0.05078125,0.2901645004749298,51328,0.00026927803992293775,56.994149923324585,,,0.015416819602251053,0.009566683322191238,0.08054381608963013,1133,1763260117.252956,0.006253324449062347
1037.0,0.006197525188326836,0.068359375,0.170501247048378,52608,0.00026850998983718455,58.18142819404602,,,0.0027399519458413124,-0.020463190972805023,-0.04543733596801758,1145,1763260118.4402342,0.014688992872834206
1039.0,0.002750564366579056,0.017578125,0.15877214074134827,54528,0.00026735791470855474,59.89184498786926,,,0.0007976996712386608,-0.018980475142598152,-0.016605854034423828,1164,1763260120.150651,0.015651406720280647
,,,,54643,,59.93222761154175,500.0,500.0,,,,1165,1763260120.1910336,
1040.0,0.004346949979662895,0.009765625,0.2521614730358124,55296,0.0002668970846571028,60.595357179641724,,,0.010357251390814781,-0.024630799889564514,0.08497262001037598,1172,1763260120.8541632,0.024780089035630226
1041.0,4.1618943214416504e-05,0.0,0.2335224747657776,56192,0.0002663594495970756,61.4064679145813,,,18.173751831054688,-0.0002592802047729492,-7.891654968261719e-05,1181,1763260121.665274,0.000885888934135437
1042.0,0.001043819822371006,0.0,0.36027809977531433,56704,0.0002660522295627743,61.85251212120056,,,2.835798740386963,0.0006861388683319092,-0.00022125244140625,1186,1763260122.111318,0.006493222899734974
1043.0,0.00342507753521204,0.0078125,0.19188818335533142,57856,0.0002653609844855964,62.89362120628357,,,0.009142821654677391,-0.015064321458339691,0.008309006690979004,1197,1763260123.1524272,0.01619407720863819
1045.0,0.0136843491345644,0.109375,0.20453189313411713,59520,0.00026436251937411726,64.40445709228516,,,0.0003088850644417107,-0.011466071009635925,-0.022176384925842285,1213,1763260124.663263,0.025415383279323578
1045.0,0.00027538370341062546,0.0,0.23162782192230225,59648,0.00026428571436554193,64.52140283584595,,,19.16813850402832,-0.005617070943117142,-2.0623207092285156e-05,1215,1763260124.7802088,-0.00393026415258646
1046.0,0.0001500193029642105,0.0,0.27689820528030396,60800,0.00026359446928836405,65.54942536354065,,,0.0034815322142094374,0.00027327612042427063,-0.0521087646484375,1226,1763260125.8082314,0.0008739307522773743
1047.0,0.027164312079548836,0.076171875,0.2702924311161041,61184,0.0002633640542626381,65.88440036773682,,,3.1198267936706543,-0.02062220312654972,-0.00011014938354492188,1230,1763260126.1432064,0.06994378566741943
,,,,61643,,66.24567294120789,500.0,500.0,,,,1234,1763260126.504479,
1048.0,0.0004008430987596512,0.0078125,0.27663305401802063,62720,0.00026244239415973425,67.25947570800781,,,0.08198704570531845,0.0004305988550186157,-0.0001817941665649414,1245,1763260127.5182817,0.0035147815942764282
,,,,63643,,68.0861668586731,500.0,500.0,,,,1254,1763260128.3449728,
1050.0,0.0003888700157403946,0.0078125,0.17400306463241577,65408,0.0002608294889796525,69.71211528778076,,,8.460086246486753e-05,-0.006089471280574799,0.009373068809509277,1271,1763260129.9709213,0.0058032069355249405
1052.0,0.008454312570393085,0.046875,0.2654401361942291,68224,0.0002591397787909955,72.24345016479492,,,0.010150503367185593,-0.001910526305437088,-0.00018203258514404297,1299,1763260132.5022562,0.03012910485267639
1035.0,0.00043220166116952896,0.0,0.1669214963912964,72320,0.00025668201851658523,77.28015398979187,,,0.001087681157514453,-0.0034828148782253265,0.07241016626358032,1339,1763260137.53896,0.0065207527950406075
1035.0,0.004222063347697258,0.02734375,0.16412536799907684,72448,0.0002566052135080099,77.44419813156128,,,0.00039524747990071774,-0.021850088611245155,-0.021534323692321777,1340,1763260137.7030041,0.01823992095887661
1013.0,0.009377704933285713,0.060546875,0.18906085193157196,74752,0.00025522272335365415,81.2417721748352,,,21.893970489501953,-0.0006442349404096603,-0.0001609325408935547,1363,1763260141.5005782,-0.024459809064865112
