_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
1145,,0.9980295896530151,0.0002735791204031557,0.0,0.48803433775901794,0.014127972535789013,53.084014892578125,1763260113.3578448,0.28058359026908875,-0.010894740000367165,1016.0,,0.0009931093081831932,44160
1164,181.0,,,,,,54.239930868148804,1763260114.5137608,,,,181.0,,45432
1172,,0.9973297119140625,0.0002725038502831012,0.013671875,0.5203177332878113,-0.0081926379352808,54.7647659778595,1763260115.038596,1.8661047220230103,-0.00041714124381542206,1018.0,,0.008310254663228989,45952
1181,,0.9972923994064331,0.0002720430202316493,0.0859375,0.5416284203529358,0.01988719403743744,55.47902059555054,1763260115.7528505,0.12244623899459839,-0.035734936594963074,1019.0,,0.014958090148866177,46720
1186,,0.996234655380249,0.0002718126052059233,0.0,0.5812877416610718,0.004746666178107262,55.8204607963562,1763260116.0942907,0.6319156885147095,0.0022399872541427612,1019.0,,0.00039566680788993835,47104
1197,82.0,,,,,,56.68406558036804,1763260116.9578955,,,,82.0,,48127
1213,,0.06751960515975952,0.00027043011505156755,0.001953125,0.5317785739898682,0.0016795890405774117,57.92040467262268,1763260118.1942346,2.341224431991577,0.0007226914167404175,1023.0,,0.0007333038374781609,49408
1215,,0.9860141277313232,0.0002702765050344169,0.09765625,0.47766757011413574,-0.02095150202512741,58.14151215553284,1763260118.415342,0.00897242035716772,-0.035411786288022995,1023.0,,0.02164635807275772,49664
1226,,0.9310026168823242,0.00026958525995723903,0.09765625,0.43250584602355957,0.005818448029458523,59.17957305908203,1763260119.453403,0.00740120280534029,0.01655733585357666,1025.0,,0.00365337822586298,50816
1230,,0.974597692489624,0.00026935484493151307,0.064453125,0.38315051794052124,0.013672390952706337,59.550475120544434,1763260119.824305,0.005313985049724579,-0.024289235472679138,1025.0,,0.027836857363581657,51200
1234,,0.9502233862876892,0.0002691244299057871,0.05859375,0.4817711114883423,-0.012928474694490433,59.88711214065552,1763260120.160942,0.005648133810609579,-0.026068970561027527,1026.0,,0.011248726397752762,51584
1245,,0.9815921187400818,0.00026843318482860923,0.154296875,0.4515518546104431,0.058194756507873535,60.90903282165527,1763260121.1828628,0.003756097052246332,-0.02275773137807846,1028.0,,0.02042253501713276,52736
1254,,0.9850068688392639,0.000267895549768582,0.1015625,0.4025469422340393,-0.05311339348554611,61.72656965255737,1763260122.0003996,0.0009919761214405298,0.03441740572452545,1029.0,,0.01798953488469124,53632
