charts/SPS,global_step,charts/episodic_length,_runtime,losses/value_loss,losses/old_approx_kl,losses/explained_variance,_step,losses/approx_kl,charts/learning_rate,_timestamp,losses/clipfrac,charts/episodic_return,losses/policy_loss,losses/entropy
,10792,67.0,18.633875846862793,,,,396,,,1763260078.897184,,67.0,,
975.0,12288,,20.289417266845703,0.7675348520278931,-0.007362073287367821,0.9709853529930115,425,0.00013455934822559357,0.00029270353843457997,1763260080.5527253,0.0,,0.004268008284270763,0.4377347528934479
,13114,65.0,21.032331466674805,,,,441,,,1763260081.2956395,,65.0,,
980.0,13568,,21.532330989837646,0.3577595353126526,0.001698753796517849,0.8964815735816956,450,0.0003022709861397743,0.00029193548834882677,1763260081.795639,0.0,,0.008789582177996635,0.39035263657569885
,14517,77.0,22.426962852478027,,,,471,,,1763260082.690271,,77.0,,
,15082,89.0,22.904281854629517,,,,481,,,1763260083.16759,,89.0,,
987.0,15488,,23.378368139266968,0.3569207191467285,0.013311510905623436,0.990047037601471,490,0.00116831436753273,0.00029078341322019696,1763260083.6416762,0.005859375,,-0.00588703528046608,0.3864006996154785
991.0,16128,,23.954894542694092,0.35196757316589355,0.003159857355058193,0.9907035827636719,504,0.00033233407884836197,0.00029039938817732036,1763260084.2182026,0.0,,-0.0014529265463352203,0.4406965374946594
,16648,78.0,24.4758939743042,,,,515,,,1763260084.739202,,78.0,,
995.0,17280,,25.053386926651,0.3816949725151062,0.0035851839929819107,0.9907453656196594,530,0.0013763532042503357,0.0002897081431001425,1763260085.316695,0.0,,-0.012812606990337372,0.4563928544521332
,17607,41.0,25.313881158828735,,,,539,,,1763260085.5771892,,41.0,,
995.0,17920,,25.700910329818726,0.7033103704452515,-0.0012592338025569916,0.9896392226219177,547,1.726485788822174e-05,0.0002893241180572659,1763260085.9642184,0.0,,-0.0018036030232906342,0.334913045167923
,18240,56.0,25.959755897521973,,,,555,,,1763260086.223064,,56.0,,
,18398,53.0,26.08698296546936,,,,559,,,1763260086.350291,,53.0,,
,18753,41.0,26.431969165802002,,,,568,,,1763260086.6952772,,41.0,,
,19710,55.0,27.332407474517822,,,,595,,,1763260087.5957155,,55.0,,
,20309,53.0,27.974687576293945,,,,614,,,1763260088.2379956,,53.0,,
,20795,39.0,28.440287828445435,,,,630,,,1763260088.7035959,,39.0,,
,20990,38.0,28.63860273361206,,,,636,,,1763260088.9019108,,38.0,,
998.0,21120,,28.84025263786316,0.5819873213768005,-0.0017389068379998207,0.9923896193504333,640,0.0006989510729908943,0.00028740399284288287,1763260089.1035607,0.0,,0.0016485247761011124,0.4271634519100189
999.0,22016,,29.71301531791687,0.8633031249046326,0.0055225687101483345,0.9955253601074219,664,0.0006465008482336998,0.00028686635778285563,1763260089.9763234,0.0,,-0.0077957771718502045,0.3206903636455536
,22884,45.0,30.451627254486084,,,,684,,,1763260090.7149353,,45.0,,
,23078,54.0,30.661212921142578,,,,689,,,1763260090.924521,,54.0,,
1003.0,23552,,31.15889000892639,0.34066638350486755,0.00025061890482902527,0.9973537921905518,698,0.001604052260518074,0.0002859446976799518,1763260091.422198,0.00390625,,-0.002224314957857132,0.2780234217643738
,24063,112.0,31.54681086540222,,,,707,,,1763260091.810119,,112.0,,
,25329,82.0,32.73547339439392,,,,729,,,1763260092.9987814,,82.0,,
