global_step,losses/entropy,losses/old_approx_kl,losses/explained_variance,losses/clipfrac,_step,_runtime,losses/value_loss,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,charts/episodic_return,losses/approx_kl,losses/policy_loss
35072,0.5008718967437744,0.006965545937418938,0.0021114349365234375,0.0,504,64.83909130096436,237.90692138671875,,1763260117.6030424,898.0,0.00027903224690817297,,0.0018301308155059814,-0.0025160759687423706
36019,,,,,515,65.73411321640015,,196.0,1763260118.4980643,,,196.0,,
37248,0.517332136631012,-0.0008737156167626381,0.11472636461257935,0.0,530,66.87693810462952,48.28122329711914,,1763260119.6408892,906.0,0.0002777265617623925,,3.348756581544876e-05,0.0012158583849668503
37932,,,,,539,67.48863124847412,,175.0,1763260120.2525823,,,175.0,,
38528,0.48931819200515747,-0.0012711742892861366,0.6548246145248413,0.00390625,547,68.0372383594513,5.110512733459473,,1763260120.8011894,911.0,0.0002769585116766393,,0.0033438997343182564,-0.0028540343046188354
39096,,,,,555,68.53560781478882,,244.0,1763260121.2995589,,,244.0,,
39424,0.453948974609375,-0.002447972074151039,0.03732168674468994,0.0,559,68.85271883010864,5.3185319900512695,,1763260121.61667,915.0,0.0002764208766166121,,7.8519806265831e-05,-0.0019995272159576416
40064,0.45670562982559204,0.00821395218372345,0.3184813857078552,0.0,568,69.45111346244812,117.25092315673828,,1763260122.2150645,917.0,0.00027603688067756593,,0.0012522116303443909,-0.003244597464799881
42057,,,,,595,71.19358038902283,,315.0,1763260123.9575315,,,315.0,,
43264,0.5176146030426025,-0.004882306791841984,0.8366824388504028,0.0,612,72.32056736946106,18.633365631103516,,1763260125.0845184,929.0,0.0002741167554631829,,0.0006796708330512047,0.004192808642983437
43392,0.5359782576560974,0.002142244018614292,0.519101619720459,0.0,614,72.47002363204956,118.0633316040039,,1763260125.2339747,929.0,0.0002740399504546076,,0.00020683277398347855,-0.006376922130584717
44416,0.5196452736854553,0.030953336507081985,0.5268555879592896,0.013671875,630,73.37548780441284,95.97395324707031,,1763260126.1394389,933.0,0.00027342551038600504,,0.00677567720413208,-0.017233559861779213
44928,0.5640660524368286,-0.03435610979795456,0.8768242597579956,0.013671875,636,73.85386681556702,1.5657051801681519,,1763260126.6178179,934.0,0.00027311829035170376,,0.004114940762519836,0.014359327033162117
45184,0.508658766746521,-0.0003476906567811966,0.9902498126029968,0.0,640,74.08321285247803,3.254908800125122,,1763260126.847164,935.0,0.0002729646803345531,,1.3127923011779785e-05,-0.00155717134475708
45983,,,,,650,74.79729557037354,,175.0,1763260127.5612466,,,175.0,,
47232,0.5973754525184631,0.0015656528994441032,0.9359616041183472,0.0,664,76.03520917892456,18.997217178344727,,1763260128.7991602,939.0,0.000271735800197348,,0.000978049822151661,-0.003329731523990631
48910,,,,,684,78.45382475852966,,255.0,1763260131.2177758,,,255.0,,
49408,0.5654707551002502,0.00046290550380945206,0.9748508930206299,0.0,689,79.22233152389526,8.696152687072754,,1763260131.9862826,924.0,0.00027043011505156755,,0.00018380116671323776,-0.007943257689476013
50176,0.5819650888442993,0.003615141846239567,0.4792790412902832,0.0,698,80.29292273521423,1.1737568378448486,,1763260133.0568738,920.0,0.00026996928500011563,,0.00010612141340970993,-0.0002535209059715271
50560,0.5303624272346497,-0.0017234869301319122,-0.019501447677612305,0.0,702,80.7368597984314,126.69316101074219,,1763260133.5008109,920.0,0.00026973886997438967,,0.0001209452748298645,0.0025737881660461426
51072,0.5892564058303833,0.0010289475321769714,-0.11846089363098145,0.0,707,81.31026554107666,142.4833221435547,,1763260134.0742166,919.0,0.0002694316499400884,,2.92360782623291e-05,7.566064596176147e-05
52864,0.6166023015975952,0.002961905673146248,-0.1554887294769287,0.0,729,83.373046875,1.0445953607559204,,1763260136.136998,917.0,0.0002683563798200339,,2.680160105228424e-05,0.0015239119529724121
55168,0.6328609585762024,-0.0027019958943128586,-0.9186975955963135,0.0,757,85.7737808227539,0.8915538787841797,,1763260138.537732,919.0,0.00026697388966567814,,1.284480094909668e-05,-0.001378629356622696
55573,,,,,762,86.13489007949829,,315.0,1763260138.8988411,,,315.0,,
56073,,,,,767,86.61189484596252,,500.0,1763260139.375846,,,500.0,,
56832,0.5997004508972168,8.199736475944519e-05,0.014548957347869873,0.0,775,87.28207278251648,206.6334991455078,,1763260140.0460238,924.0,0.000265975424554199,,0.00027324073016643524,-0.006470499560236931
58112,0.5576834678649902,0.01048953179270029,-0.7121431827545166,0.0,788,88.43404531478882,0.467751145362854,,1763260141.1979964,927.0,0.0002652073744684458,,0.0003743628039956093,-0.0040899235755205154
59008,0.5560314655303955,0.038301147520542145,-0.16952836513519287,0.015625,797,89.25918912887573,0.969180166721344,,1763260142.0231402,929.0,0.00026466973940841854,,0.011885097250342369,-0.044060710817575455
59904,0.5636271238327026,-0.00019989721477031708,-0.23350775241851807,0.0,806,90.07557845115662,0.287299245595932,,1763260142.8395295,931.0,0.0002641321043483913,,4.2244791984558105e-06,0.0001797294244170189
60800,0.5893707275390625,-0.0009553153067827225,0.025990605354309082,0.0,815,90.88836526870728,174.89291381835938,,1763260143.6523163,933.0,0.00026359446928836405,,0.0004690196365118027,-0.01209353655576706
65664,0.46281516551971436,0.001392574980854988,0.09082674980163574,0.0,863,95.26297044754028,0.013205352239310741,,1763260148.0269215,945.0,0.0002606758789625019,,5.663000047206879e-05,0.0007670912891626358
66560,0.5008929967880249,-0.0009482596069574356,4.89354133605957e-05,0.0,872,96.07608127593994,41.041500091552734,,1763260148.8400323,946.0,0.00026013824390247464,,0.0017309822142124176,0.011706817895174026
66944,0.534123957157135,0.005194882862269878,-7.736682891845703e-05,0.0,876,96.41615772247314,375.4708251953125,,1763260149.1801088,947.0,0.0002599078288767487,,0.0006167115643620491,-0.0027435123920440674
71040,0.42735254764556885,0.0016216067597270012,-0.0006216764450073242,0.0,916,100.21903729438782,389.2669677734375,,1763260152.9829884,954.0,0.00025745006860233843,,0.0009280266240239143,0.00023730844259262085
71680,0.4653339982032776,0.01969810388982296,-1.073929786682129,0.0,922,100.79928350448608,0.004480898845940828,,1763260153.5632346,955.0,0.00025706604355946183,,0.0025685960426926613,-0.00814567506313324
72448,0.4822028577327728,0.004728371277451515,-0.00023162364959716797,0.0,930,101.57428789138794,232.58834838867188,,1763260154.338239,955.0,0.0002566052135080099,,0.0004191417247056961,-0.0035368110984563828
73344,0.5387067198753357,0.007291586138308048,-0.5037072896957397,0.015625,938,102.47857284545898,0.00010337743151467294,,1763260155.242524,956.0,0.00025606757844798267,,0.00375224556773901,-0.015695758163928986
73600,0.605519711971283,0.003828093409538269,-0.1659836769104004,0.0,941,102.74868965148926,0.005163036752492189,,1763260155.5126407,956.0,0.00025591396843083203,,0.0009929649531841278,0.004701536148786545
73728,0.48677492141723633,0.011226271279156208,-0.7498155832290649,0.0,942,102.8704936504364,0.0013208156451582909,,1763260155.6344447,956.0,0.0002558371634222567,,0.0017480188980698586,-0.005927837919443846
74368,0.5437512993812561,0.006446845829486847,-0.5558911561965942,0.009765625,948,103.49972152709961,0.00018050064682029188,,1763260156.2636726,956.0,0.0002554531383793801,,0.004372064024209976,-0.010706804692745209
76943,,,,,974,105.96404886245728,,500.0,1763260158.728,,,500.0,,
77568,0.5647098422050476,0.0014339741319417953,4.7087669372558594e-05,0.0,980,106.5759162902832,151.4678497314453,,1763260159.3398674,960.0,0.0002535330131649971,,0.0003326963633298874,0.013805326074361801
78080,0.5297147035598755,0.009108629077672958,-0.30769574642181396,0.0,985,107.09209942817688,0.006651757750660181,,1763260159.8560505,960.0,0.0002532257931306958,,0.00020860694348812103,-0.0025339238345623016
79104,0.5278978943824768,0.01872689463198185,-0.6120069026947021,0.0078125,995,108.10513234138489,0.004167142324149609,,1763260160.8690834,960.0,0.00025261135306209326,,0.003808574751019478,-0.008549617603421211
79360,0.464236319065094,0.0805530697107315,0.10871028900146484,0.037109375,997,108.34006261825562,0.0005044031422585249,,1763260161.1040137,961.0,0.0002524577430449426,,0.013168826699256897,0.002294762060046196
81152,0.4747987389564514,0.02061167173087597,-0.5168788433074951,0.001953125,1015,110.1537721157074,0.009225258603692055,,1763260162.9177232,961.0,0.0002513825020287186,,0.0036495327949523926,-0.02123895287513733
81664,0.5705310106277466,0.003638247027993202,-0.01825273036956787,0.0,1020,110.60051488876343,0.004232741892337799,,1763260163.364466,962.0,0.0002510752819944173,,0.00046831369400024414,-0.01057097315788269
82816,0.5981432795524597,-0.0064283693209290504,-0.3136354684829712,0.001953125,1031,111.66394925117493,0.0005168323987163603,,1763260164.4279003,964.0,0.00025038403691723943,,0.0015075160190463066,-0.01416083425283432
84736,0.5237329602241516,-0.030421463772654533,0.06334459781646729,0.01953125,1050,113.4092526435852,0.0003126136725768447,,1763260166.1732037,967.0,0.0002492319617886096,,0.0073180366307497025,-0.017511464655399323
84992,0.5954577326774597,0.0036104870960116386,-1.823902130126953e-05,0.0,1053,113.63500380516052,287.84222412109375,,1763260166.3989549,967.0,0.000249078351771459,,0.0005302177742123604,-0.0009040078148245811
85504,0.48975464701652527,-0.00679402519017458,-1.2159347534179688e-05,0.0,1058,114.07763719558716,339.363525390625,,1763260166.8415883,968.0,0.0002487711317371577,,0.00030217040330171585,0.0025538019835948944
88064,0.46062177419662476,-0.00024915672838687897,-5.745887756347656e-05,0.0,1083,116.41888523101807,221.8494873046875,,1763260169.1828363,971.0,0.0002472350315656513,,5.3104013204574585e-06,-0.0001909509301185608
88943,,,,,1091,117.1266553401947,,500.0,1763260169.8906064,,,500.0,,
90443,,,,,1106,118.52800250053406,,500.0,1763260171.2919536,,,500.0,,
91648,0.4794272184371948,0.01034018024802208,-0.37429511547088623,0.0,1118,119.66102814674377,0.007050602696835995,,1763260172.4249792,976.0,0.00024508449132554233,,0.000956924632191658,-0.005887554958462715
92416,0.49776792526245117,-0.02292861044406891,0.06144154071807861,0.00390625,1125,120.32770538330078,0.00021730965818278491,,1763260173.0916564,977.0,0.0002446236612740904,,0.0019333064556121826,0.011169835925102234
93184,0.4239506721496582,0.00034928880631923676,0.029077768325805664,0.0,1133,121.04089164733887,0.004585912451148033,,1763260173.8048427,978.0,0.0002441628312226385,,1.1995434761047363e-06,-0.0007614493370056152
94443,,,,,1145,122.11528754234314,,500.0,1763260174.8792386,,,500.0,,
96384,0.4770399332046509,0.003087659366428852,0.16454917192459106,0.0,1164,123.99311542510986,0.00011789529526140541,,1763260176.7570665,981.0,0.00024224270600825548,,0.0009046448394656181,-0.009812586009502411
96443,,,,,1165,124.01385474205017,,500.0,1763260176.7778058,,,500.0,,
97152,0.43891245126724243,-0.001798100769519806,0.07267355918884277,0.0,1172,124.66133451461792,0.007589950226247311,,1763260177.4252856,982.0,0.00024178187595680356,,0.00011963769793510437,0.0011695344001054764
98048,0.5277824401855469,-0.00035505183041095734,8.970499038696289e-05,0.0,1181,125.47640085220337,99.1118392944336,,1763260178.240352,983.0,0.00024124424089677632,,0.00015519745647907257,0.00019662082195281982
98560,0.5028244256973267,-0.003423127345740795,0.0003477334976196289,0.0,1186,125.96180438995361,0.0238183606415987,,1763260178.7257555,983.0,0.00024093702086247504,,0.0006040865555405617,0.00013538450002670288
99712,0.4340430498123169,0.02192419208586216,-0.05118393898010254,0.001953125,1197,127.05587124824524,0.00030195427825674415,,1763260179.8198223,984.0,0.00024024577578529716,,0.0032339151948690414,-0.0012179426848888397
101376,0.5284685492515564,0.0030100885778665543,0.09447622299194336,0.01953125,1213,128.56791853904724,0.00010725713946158066,,1763260181.3318696,986.0,0.000239247310673818,,0.0068075694143772125,-0.020117372274398804
101504,0.5523812770843506,-0.005893226712942123,-3.3855438232421875e-05,0.0,1215,128.69647979736328,406.8805236816406,,1763260181.4604309,986.0,0.00023917050566524267,,0.001057952642440796,0.003594454377889633
102656,0.5213714838027954,-0.004125707782804966,0.478753924369812,0.0,1226,129.76220393180847,0.011740914545953274,,1763260182.526155,987.0,0.0002384792605880648,,0.0016188444569706917,-0.030641458928585052
103040,0.4924786686897278,0.012949078343808651,0.00012373924255371094,0.0,1230,130.14364337921143,241.09576416015625,,1763260182.9075944,987.0,0.00023824884556233883,,0.00044652726501226425,0.0030964240431785583
103443,,,,,1234,130.4924008846283,,500.0,1763260183.256352,,,500.0,,
104576,0.5326247215270996,-0.00605121161788702,0.06437653303146362,0.0,1245,131.59705114364624,0.007471700198948383,,1763260184.3610022,988.0,0.00023732718545943499,,0.000694681890308857,0.0011794865131378174
105472,0.5423961281776428,-0.002736399881541729,0.00011533498764038086,0.0,1254,132.53056812286377,433.4654235839844,,1763260185.2945192,988.0,0.00023678955039940774,,0.000392046757042408,0.001226171851158142
107264,0.5483741164207458,-0.004137581214308739,-0.030966877937316895,0.0,1271,134.26554536819458,0.0005205761990509927,,1763260187.0294964,988.0,0.00023571428027935326,,0.0004436410963535309,-0.0036606285721063614
110080,0.4380483031272888,0.002258933149278164,0.055939555168151855,0.0,1299,137.06753087043762,0.006427976302802563,,1763260189.831482,989.0,0.00023402458464261144,,0.000622832216322422,-0.015017151832580566
114176,0.46260908246040344,0.009116179309785366,0.07125139236450195,0.0,1339,141.06990385055542,0.004118256736546755,,1763260193.833855,990.0,0.0002315668243682012,,0.000364166684448719,-0.006634756922721863
114304,0.546805202960968,-3.53911891579628e-05,-0.09725701808929443,0.001953125,1340,141.1794788837433,0.0007094246102496982,,1763260193.94343,990.0,0.00023149001935962588,,0.0009611519053578377,0.005238708108663559
115200,0.4502052068710327,0.010920480825006962,0.06008410453796387,0.021484375,1349,142.01928067207336,0.0005998527049086988,,1763260194.7832317,991.0,0.00023095238429959863,,0.007087421603500843,-0.018966693431138992
116608,0.5268622636795044,0.014724158681929111,-0.07477998733520508,0.0,1363,143.3477737903595,0.007491316646337509,,1763260196.1117249,991.0,0.0002301075292052701,,0.0018876129761338234,-0.0022139539942145348
116864,0.5031639933586121,0.01217020396143198,-0.25395798683166504,0.0,1365,143.5732650756836,0.00010486066457815468,,1763260196.3372161,992.0,0.00022995391918811947,,0.0014304788783192635,-0.005480114370584488
117376,0.4379165768623352,0.0016893958672881126,-0.057041287422180176,0.0,1370,144.076096534729,0.00013933087757322937,,1763260196.8400476,992.0,0.0002296466991538182,,0.0006624488160014153,-0.0013165958225727081
118400,0.5677207708358765,0.015519825741648674,-0.6033003330230713,0.01953125,1380,144.98445773124695,0.00013482324720826,,1763260197.7484088,993.0,0.00022903225908521563,,0.009683498181402683,-0.02953876182436943
118443,,,,,1381,144.99997353553772,,500.0,1763260197.7639246,,,500.0,,
119168,0.5672957897186279,0.0027312617748975754,-0.12829291820526123,0.0,1388,145.69361543655396,0.007976925931870937,,1763260198.4575665,993.0,0.0002285714290337637,,0.0003979206085205078,0.0009978581219911575
119808,0.5440913438796997,0.012151838280260563,0.003798961639404297,0.001953125,1395,146.2875955104828,175.12985229492188,,1763260199.0515466,994.0,0.0002281874039908871,,0.002242756076157093,-0.001885327510535717
120255,,,,,1399,146.6458535194397,,500.0,1763260199.4098046,,,500.0,,
120832,0.5288301706314087,-0.0038712620735168457,0.00029963254928588867,0.0,1405,147.1867482662201,428.5065002441406,,1763260199.9506993,995.0,0.00022757296392228454,,0.0010484084486961365,0.013068102300167084
123648,0.46622177958488464,0.007243892177939415,-0.5267940759658813,0.00390625,1432,149.82385063171387,0.00020667268836405128,,1763260202.5878017,996.0,0.0002258832537336275,,0.003184136003255844,-0.02788759022951126
123755,,,,,1433,149.86600184440613,,500.0,1763260202.629953,,,500.0,,
125952,0.5173766613006592,-0.0005461107939481735,0.2523815631866455,0.0,1455,152.04681015014648,0.010022659786045551,,1763260204.8107612,997.0,0.00022450076357927173,,7.546879351139069e-05,-0.002552703022956848
126080,0.42989686131477356,0.0010640332475304604,-0.6535050868988037,0.0,1456,152.15746927261353,0.00022511809947900474,,1763260204.9214203,997.0,0.0002244239585706964,,0.001958700828254223,-0.008984869346022606
