charts/learning_rate,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/explained_variance,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,_timestamp,global_step,losses/entropy,losses/value_loss,charts/SPS,_step
0.0002442396362312138,,,-0.007078591734170914,117.2188949584961,0.00011897087097167969,0.0,0.0005215909332036972,0.010409623384475708,1763260170.067617,93056,0.4873920679092407,474.77069091796875,1019.0,1118
0.0002437788061797619,,,-0.005041927099227905,117.92112469673157,-0.13962030410766602,0.0,0.0006423313170671463,-0.001586979255080223,1763260170.7698467,93824,0.5306332111358643,0.000316618854412809,1020.0,1125
0.00024331797612830997,,,0.006433587521314621,118.61833310127258,0.00032782554626464844,0.0,0.0001773536205291748,0.0008125156164169312,1763260171.467055,94592,0.5578256845474243,166.38194274902344,1021.0,1133
0.00024254992604255676,,,0.005432605743408203,119.77358293533325,0.42529839277267456,0.048828125,0.010192328132689,0.02617844007909298,1763260172.622305,95872,0.47328615188598633,0.0006325386930257082,1022.0,1145
0.00024139785091392696,,,0.002881024032831192,121.47894287109375,0.15823900699615479,0.0,0.00012672226876020432,0.0005081268027424812,1763260174.3276649,97792,0.4280441403388977,0.0007527903653681278,1023.0,1164
0.00024132104590535164,,,0.0006044982001185417,121.58900141716003,-0.6082562208175659,0.001953125,0.0017033768817782402,-0.0012367414310574532,1763260174.4377234,97920,0.4506458640098572,0.00014229983207769692,1024.0,1165
0.00024093702086247504,,,0.0009004678577184677,122.18533611297607,0.00011140108108520508,0.0,0.0003476738929748535,-0.0019731931388378143,1763260175.034058,98560,0.5903594493865967,356.2313537597656,1024.0,1172
,500.0,500.0,,123.02105116844177,,,,,1763260175.8697731,99527,,,,1181
,500.0,500.0,,123.46209383010864,,,,,1763260176.3108158,100027,,,,1186
0.00023940092069096863,,,-0.004544571042060852,124.48121809959412,0.0004870891571044922,0.0,0.00024340767413377762,0.0071465978398919106,1763260177.32994,101120,0.5724789500236511,233.77870178222656,1026.0,1197
0.00023840245557948947,,,-0.005989082157611847,125.99285340309143,-0.032459139823913574,0.0,0.001903872936964035,0.004881963133811951,1763260178.8415754,102784,0.5901423692703247,0.0005416205385699868,1027.0,1213
,500.0,500.0,,126.14653635025024,,,,,1763260178.9952583,103027,,,,1215
0.00023763440549373627,,,-0.0026411106809973717,127.14716410636902,7.742643356323242e-05,0.0,0.00023771636188030243,-0.004270365461707115,1763260179.995886,104064,0.541691780090332,159.88629150390625,1028.0,1226
