global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
45440,-9.925477206707001e-05,0.3477020859718323,1763260126.0739331,73.16987419128418,0.0,0.0002728110703174025,,0.0013539651408791542,964.0,0.000112202949821949,55.175228118896484,,636,0.46966487169265747
45824,0.0071090999990701675,-0.0001245737075805664,1763260126.4130657,73.50900673866272,0.0,0.0002725806552916765,,0.006727481260895729,966.0,0.0007882844656705856,125.12098693847656,,640,0.46127790212631226
46848,0.017403319478034973,0.6191658973693848,1763260127.3379762,74.43391728401184,0.0,0.00027196621522307396,,-0.011649764142930508,968.0,0.002066466026008129,42.62336349487305,,650,0.5710171461105347
48256,-0.004060201346874237,0.06672477722167969,1763260128.6619706,75.7579116821289,0.0,0.00027112136012874544,,0.0027843471616506577,971.0,0.00031738728284835815,2.3428702354431152,,664,0.5780704021453857
50304,0.008611500263214111,0.45433342456817627,1763260131.2702172,78.36615824699402,0.0,0.0002698924799915403,,0.0016443999484181404,962.0,0.0012097833678126335,1.5969700813293457,,684,0.4902867376804352
50794,,,1763260131.8579063,78.95384740829468,,,296.0,,,,,296.0,689,
51456,-0.003067590296268463,0.8807268142700195,1763260132.8480558,79.94399690628052,0.0,0.00026920123491436243,,0.011037739925086498,955.0,0.0016638794913887978,15.186907768249512,,698,0.502537727355957
51840,0.00014903023838996887,0.5295155048370361,1763260133.304717,80.40065813064575,0.0,0.00026897081988863647,,-0.0009860340505838394,954.0,1.8855556845664978e-05,0.9385206699371338,,702,0.5252487659454346
52224,-0.0033585354685783386,0.9378641843795776,1763260133.7263372,80.82227826118469,0.04296875,0.0002687404048629105,,0.08044108748435974,953.0,0.01290924847126007,42.126808166503906,,707,0.49879130721092224
53888,-0.028957709670066833,0.9890292882919312,1763260135.5606444,82.6565854549408,0.0,0.00026774193975143135,,0.010094706900417805,952.0,0.002163113094866276,4.957838535308838,,729,0.6115437746047974
56448,0.002612501382827759,-0.6886153221130371,1763260138.0065858,85.10252690315247,0.0,0.00026620583957992494,,-0.0033370638266205788,956.0,8.093845099210739e-05,0.5465704202651978,,757,0.5995312333106995
56930,,,1763260138.3800159,85.47595691680908,,,197.0,,,,,197.0,762,
57344,-0.0001528523862361908,0.45981425046920776,1763260138.8444664,85.94040751457214,0.0,0.0002656682045198977,,0.000448557548224926,957.0,2.61794775724411e-06,0.5143507719039917,,767,0.6103304624557495
57906,,,1763260139.317899,86.4138400554657,,,41.0,,,,,41.0,775,
58752,0.0012622317299246788,0.03409004211425781,1763260140.1659768,87.26191782951355,0.0,0.0002648233494255692,,0.0021664807572960854,960.0,0.00014358293265104294,207.7786865234375,,788,0.5340363383293152
59520,-0.008104407228529453,-0.4924572706222534,1763260140.8920503,87.98799133300781,0.0,0.00026436251937411726,,0.014689776115119457,961.0,0.0005307244136929512,0.37269124388694763,,797,0.5983603596687317
60357,,,1763260141.592959,88.68889999389648,,,187.0,,,,,187.0,806,
61184,-0.005424395203590393,0.8892592787742615,1763260142.3986268,89.49456787109375,0.0,0.0002633640542626381,,-0.0013948623090982437,964.0,0.0007290560752153397,3.9056975841522217,,815,0.5810401439666748
65725,,,1763260146.5203981,93.61633920669556,,,500.0,,,,,500.0,863,
