losses/explained_variance,charts/episodic_return,_timestamp,losses/clipfrac,losses/value_loss,_step,losses/approx_kl,charts/learning_rate,losses/old_approx_kl,global_step,losses/policy_loss,charts/episodic_length,charts/SPS,losses/entropy,_runtime
,500.0,1763260255.5994956,,,2117,,,,185876,,500.0,,,203.05454564094543
,500.0,1763260257.819719,,,2141,,,,188376,,500.0,,,205.27476906776428
,500.0,1763260258.2993593,,,2146,,,,188876,,500.0,,,205.7544093132019
-7.891654968261719e-05,,1763260258.3863711,0.0,308.54620361328125,2147,0.000871642492711544,0.00018671274301595986,0.011459105648100376,188928,-0.003934919834136963,,1050.0,0.4549737274646759,205.84142112731934
-0.14498186111450195,,1763260258.4977202,0.0,0.004578567110002041,2148,3.479979932308197e-05,0.00018663593800738454,-0.000820426270365715,189056,-0.00013583898544311523,,1050.0,0.5376505851745605,205.9527702331543
0.07483690977096558,,1763260259.1653998,0.0,0.00015510812227148563,2155,0.0011066356673836708,0.00018617510795593262,0.002354907803237438,189824,0.0023245131596922874,,1050.0,0.45868974924087524,206.62044978141785
-0.00016188621520996094,,1763260260.6966813,0.0,328.908203125,2172,0.00011148583143949509,0.00018517665739636868,0.0005684429779648781,191488,-0.002303745597600937,,1050.0,0.41942816972732544,208.1517312526703
,500.0,1763260261.889692,,,2185,,,,192876,,500.0,,,209.34474205970764
0.06650489568710327,,1763260262.588377,0.0,0.00623001903295517,2192,0.00099839735776186,0.00018394777725916356,0.012438411824405193,193536,-0.0255776047706604,,1051.0,0.471949964761734,210.04342699050903
-0.10379612445831299,,1763260263.161214,0.0,0.0002996406110469252,2198,9.340699762105942e-05,0.00018356375221628696,-0.0018454035744071007,194176,-0.0019341930747032166,,1051.0,0.41020965576171875,210.61626410484314
-0.01969730854034424,,1763260263.2728329,0.00390625,3.736893995665014e-05,2199,0.0013487618416547775,0.00018348694720771164,-0.011641323566436768,194304,-0.0016986876726150513,,1051.0,0.4318581819534302,210.72788286209106
7.56382942199707e-05,,1763260264.319351,0.0,340.6601257324219,2211,0.0002805255353450775,0.00018279570213053375,-0.0013263002038002014,195456,0.005018755793571472,,1051.0,0.47327396273612976,211.77440094947815
0.006923079490661621,,1763260264.688093,0.0,0.00017319207836408168,2214,0.00026860926300287247,0.0001825652871048078,0.0010070884600281715,195840,-0.001150667667388916,,1051.0,0.4864227771759033,212.1431429386139
,500.0,1763260265.1490507,,,2220,,,,196376,,500.0,,,212.60410070419312
-0.05781126022338867,,1763260265.5226235,0.0,7.56833323976025e-05,2223,5.055218935012817e-06,0.00018202765204478055,5.47654926776886e-05,196736,-0.0002764463424682617,,1051.0,0.4783356189727783,212.9776735305786
,500.0,1763260265.6459012,,,2225,,,,196876,,500.0,,,213.10095119476318
-4.8160552978515625e-05,,1763260265.7524235,0.0,59.493873596191406,2226,1.4727003872394562e-05,0.0001818740420276299,0.001206996850669384,196992,0.00023897364735603333,,1051.0,0.4889041483402252,213.20747351646423
-0.24008166790008545,,1763260265.8645382,0.0,0.0028122300282120705,2227,0.000401805154979229,0.0001817972370190546,-0.0022870944812893867,197120,-0.0033171605318784714,,1052.0,0.4554949700832367,213.3195881843567
0.12889760732650757,,1763260266.3092713,0.017578125,0.00025004951748996973,2231,0.006677056662738323,0.0001814900169847533,0.028223680332303047,197632,-0.045642346143722534,,1052.0,0.43254390358924866,213.76432132720947
-0.0013529062271118164,,1763260266.6858008,0.0,0.0040983702056109905,2235,0.00046458467841148376,0.00018125960195902735,-0.0001596342772245407,198016,-0.004662118852138519,,1052.0,0.5228473544120789,214.1408507823944
-0.3787299394607544,,1763260267.2440515,0.03125,0.0002590381191112101,2241,0.006489473395049572,0.00018087557691615075,0.03235938400030136,198656,-0.007232636213302612,,1052.0,0.4259054660797119,214.69910144805908
,500.0,1763260267.8695467,,,2248,,,,199376,,500.0,,,215.32459664344788
-0.06265795230865479,,1763260268.065146,0.0,0.004784672055393457,2250,0.00023079384118318558,0.0001803379418561235,0.003103249706327915,199552,0.004435405135154724,,1052.0,0.529191792011261,215.52019596099854
,500.0,1763260268.3124142,,,2253,,,,199876,,500.0,,,215.7674641609192
-0.2526063919067383,,1763260270.1519244,0.0,0.0001832760899560526,2272,0.0017806850373744965,0.00017895545170176774,0.012025440111756325,201856,-0.014928735792636871,,1053.0,0.5448110103607178,217.60697436332703
-0.10481250286102295,,1763260270.8606617,0.0,0.00514282938092947,2280,0.00027161184698343277,0.00017849462165031582,-7.254723459482193e-05,202624,-0.003987595438957214,,1053.0,0.5281535387039185,218.31571173667908
-0.03249526023864746,,1763260272.239282,0.0,0.0002789587597362697,2295,0.00019830837845802307,0.00017757296154741198,-0.0008580200374126434,204160,-0.0020638015121221542,,1053.0,0.529757022857666,219.69433188438416
-0.00012695789337158203,,1763260272.4655643,0.0,210.5371551513672,2298,0.001049312762916088,0.00017741935153026134,-0.0003020362928509712,204416,0.004725798964500427,,1053.0,0.5171144604682922,219.9206142425537
0.20128393173217773,,1763260273.6208038,0.0,0.0001778351579559967,2310,0.0001754155382514,0.00017665130144450814,0.0055417949333786964,205696,-0.004088304936885834,,1054.0,0.4719432592391968,221.07585382461548
,500.0,1763260273.7516787,,,2312,,,,205876,,500.0,,,221.20672869682312
-0.00011730194091796875,,1763260274.3309395,0.0,174.96641540527344,2318,0.0008979840204119682,0.00017619047139305621,9.73651185631752e-05,206464,0.005820702761411667,,1054.0,0.48438751697540283,221.78598952293396
,500.0,1763260274.6743484,,,2322,,,,206876,,500.0,,,222.12939834594727
-0.11231005191802979,,1763260274.9157314,0.0,0.004191829822957516,2324,0.0008352287113666534,0.0001758064463501796,0.013830135576426983,207104,0.003214765340089798,,1054.0,0.5876089930534363,222.37078142166138
-0.0028024911880493164,,1763260275.3784764,0.0,0.005778830032795668,2329,0.0005507487803697586,0.00017549922631587833,0.0069183968007564545,207616,-0.00819137692451477,,1054.0,0.5763126611709595,222.83352637290955
-0.0054171085357666016,,1763260276.303058,0.005859375,0.00023276846332009882,2339,0.0014828098937869072,0.00017488478624727577,0.006506412290036678,208640,-0.008294880390167236,,1054.0,0.5616903901100159,223.7581079006195
-0.019904375076293945,,1763260276.6367896,0.009765625,0.005911611020565033,2343,0.0021435990929603577,0.0001746543712215498,-0.008086150512099266,209024,-0.025457890704274178,,1054.0,0.4975244998931885,224.09183955192566
-0.0401233434677124,,1763260277.119648,0.0,0.004023456946015358,2348,0.00041609257459640503,0.00017434715118724853,8.043833076953888e-05,209536,-0.0055777765810489655,,1054.0,0.5310719609260559,224.574697971344
-0.13856947422027588,,1763260277.6779017,0.0,0.00024655411834828556,2354,0.0003467658534646034,0.00017396314069628716,0.00683984998613596,210176,0.0025901831686496735,,1055.0,0.528781533241272,225.1329517364502
-0.028197646141052246,,1763260278.498183,0.0,0.00493732001632452,2363,7.634703069925308e-05,0.0001734255056362599,-0.0034345341846346855,211072,-4.9442052841186523e-05,,1055.0,0.5763106942176819,225.95323300361633
,500.0,1763260280.955667,,,2389,,,,213876,,500.0,,,228.41071701049805
,500.0,1763260281.4399374,,,2394,,,,214376,,500.0,,,228.89498734474182
-0.18560516834259033,,1763260284.4276814,0.0,0.003930737730115652,2426,0.0009660916402935982,0.00016950845019891858,-0.01244401279836893,217600,-0.0014896690845489502,,1056.0,0.5284909009933472,231.8827314376831
3.2842159271240234e-05,,1763260284.762984,0.0,146.99380493164062,2430,0.00021246634423732758,0.00016927803517319262,0.006990665569901466,217984,-0.003636881709098816,,1056.0,0.5918636322021484,232.21803402900696
1.2695789337158203e-05,,1763260286.5478048,0.0,195.69546508789062,2449,0.0004755845293402672,0.00016812596004456282,-0.0077567556872963905,219904,0.0051164086908102036,,1056.0,0.5460912585258484,234.00285482406616
0.5525233745574951,,1763260288.0411084,0.0078125,0.005218386184424162,2465,0.004558645188808441,0.00016712749493308365,0.03779921680688858,221568,-0.0038538724184036255,,1057.0,0.4937804639339447,235.49615836143494
0.1194601058959961,,1763260290.488536,0.0,0.00016428330854978412,2491,0.00165548175573349,0.00016551458975300193,0.01186828501522541,224256,0.0036419928073883057,,1057.0,0.5656130313873291,237.94358587265015
