global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
37120,,7.625306129455566,-0.0009143948554992676,0.00027780336677096784,0.0,0.29399776458740234,539,892.0,0.5789821743965149,67.8881688117981,,1763260120.9593997,8.71000811457634e-05,0.004063325934112072
37888,,6.754027366638184,-0.0008152425289154053,0.0002773425367195159,0.0,0.026884496212005615,547,896.0,0.5798999071121216,68.57012295722961,,1763260121.6413538,1.4182180166244507e-05,-0.00018295086920261383
38656,,6.182350158691406,-0.0019392408430576324,0.000276881706668064,0.0,0.1259537935256958,555,899.0,0.5675610303878784,69.27832436561584,,1763260122.3495553,0.0001074373722076416,-0.0005706939846277237
38982,252.0,,,,,,559,,,69.53349828720093,252.0,1763260122.6047292,,
39808,,5.868381500244141,-0.001044735312461853,0.00027619049069471657,0.0,-0.0677649974822998,568,903.0,0.5317102074623108,70.33285522460938,,1763260123.404086,5.582254379987717e-05,0.00013319123536348343
42496,,5.573427200317383,0.0027530668303370476,0.00027457758551463485,0.0,-1.911207914352417,595,913.0,0.5620776414871216,72.79177975654602,,1763260125.8630106,0.00035112444311380386,0.0016986513510346413
43904,,4.749706745147705,-0.0007388219237327576,0.0002737327304203063,0.0,0.0022019147872924805,612,918.0,0.5845863223075867,74.07648754119873,,1763260127.1477184,1.7005018889904022e-05,4.547648131847382e-06
44032,,228.6138458251953,0.0015144869685173035,0.000273655925411731,0.0,0.13442379236221313,614,919.0,0.5688875317573547,74.19132804870605,,1763260127.262559,0.0002469457685947418,0.004454135894775391
45568,,186.11624145507812,5.455128848552704e-05,0.00027273426530882716,0.0,0.07273083925247192,630,924.0,0.5160016417503357,75.58290219306946,,1763260128.654133,2.9979273676872253e-05,-0.0007023494690656662
46080,,201.5568389892578,-0.0029598730616271496,0.0002724270452745259,0.0,0.24955862760543823,636,924.0,0.5823982954025269,76.12384867668152,,1763260129.1950796,0.0007423246279358864,0.008740243501961231
46336,,116.65290069580078,-0.007706960663199425,0.00027227343525737524,0.01171875,0.2797829508781433,640,922.0,0.5128135085105896,76.52293419837952,,1763260129.594165,0.004947107285261154,0.03223691135644913
47232,,332.2265930175781,-0.010551635175943375,0.000271735800197348,0.0,-0.12125515937805176,650,916.0,0.5651600360870361,77.84913039207458,,1763260130.9203613,0.0010214140638709068,0.0018681744113564491
48512,,4.336514949798584,0.0015582535415887833,0.0002709677501115948,0.0,-0.47089433670043945,664,908.0,0.5756919384002686,79.69779539108276,,1763260132.7690263,0.0007805107161402702,0.0010757511481642723
50186,172.0,,,,,,684,,,81.69675374031067,172.0,1763260134.7679846,,
