losses/value_loss,charts/learning_rate,_step,losses/old_approx_kl,losses/clipfrac,losses/approx_kl,charts/SPS,_timestamp,global_step,charts/episodic_return,charts/episodic_length,losses/explained_variance,_runtime,losses/entropy,losses/policy_loss
0.0002524381270632148,0.00021697388729080558,1597,0.01536089088767767,0.00390625,0.0040169814601540565,999.0,1763260217.0176923,138496,,,-0.38589584827423096,164.47270727157593,0.45515865087509155,-0.01815689168870449
0.00010949835268547758,0.00021635944722220302,1607,0.006006480194628239,0.001953125,0.001463920809328556,999.0,1763260218.058722,139520,,,-0.01565384864807129,165.5137369632721,0.552916407585144,-0.0025401152670383453
153.21665954589844,0.0002162826422136277,1609,-0.0014919247478246689,0.0,0.00041899271309375763,999.0,1763260218.2076826,139648,,,0.00010389089584350586,165.66269755363464,0.5006828904151917,-0.002547893673181534
0.0082834018394351,0.00021620583720505238,1610,-0.006899077445268631,0.0,0.0003986675292253494,999.0,1763260218.3298473,139776,,,0.15335404872894287,165.78486227989197,0.5460290312767029,-0.007326865568757057
0.00015244088717736304,0.00021605222718790174,1612,0.007407982833683491,0.0,0.0014423942193388939,999.0,1763260218.602805,140032,,,0.002871096134185791,166.05781984329224,0.5189436078071594,-0.0021655187010765076
8.628354407846928e-05,0.0002152073720935732,1626,0.0036053964868187904,0.0,0.0008634096011519432,999.0,1763260220.0012996,141440,,,0.01980113983154297,167.45631456375122,0.4826377332210541,-0.006949484348297119
355.1668395996094,0.00021451612701639533,1638,0.0022815410047769547,0.0,0.0003123469650745392,1000.0,1763260221.049465,142592,,,6.103515625e-05,168.50447988510132,0.5239858627319336,-0.006364565342664719
105.24711608886719,0.00021152073168195784,1687,0.0066693807020783424,0.0,0.00039482954889535904,1003.0,1763260225.574063,147584,,,-7.987022399902344e-05,173.02907800674438,0.4370306432247162,0.0024085119366645813
0.008711319416761398,0.00020875576592516154,1732,-0.001284012570977211,0.0,0.0002389121800661087,1006.0,1763260229.7386057,152192,,,0.12876981496810913,177.1936206817627,0.5000724792480469,0.0021860338747501373
,,1745,,,,,1763260230.9199257,153558,500.0,500.0,,178.3749406337738,,
0.00016020485782064497,0.0002074500807793811,1753,-0.023660819977521896,0.0,0.0028264010325074196,1007.0,1763260231.7662883,154368,,,0.0665656328201294,179.2213032245636,0.4350166618824005,-0.0003497786819934845
0.00022032092965673655,0.00020737327577080578,1754,0.008190987631678581,0.0,0.0003500618040561676,1007.0,1763260231.877225,154496,,,-0.045252084732055664,179.3322398662567,0.4536212384700775,-0.0031336434185504913
,,1765,,,,,1763260232.8409495,155558,500.0,500.0,,180.2959644794464,,
0.00017577051767148077,0.00020652842067647725,1768,-0.014446694403886795,0.025390625,0.010378316044807434,1007.0,1763260233.1599975,155904,,,-0.04286396503448486,180.61501240730286,0.43235522508621216,-0.04514392092823982
0.004455060698091984,0.00020599078561645,1777,-0.007625102065503597,0.001953125,0.0015540262684226036,1008.0,1763260233.999837,156800,,,-0.024277329444885254,181.45485186576843,0.5157074928283691,-0.005849381908774376
0.0002815350308082998,0.00020345622033346444,1818,-0.012032415717840195,0.00390625,0.0011712349951267242,1009.0,1763260237.9232771,161024,,,-0.21788060665130615,185.37829208374023,0.5270518660545349,-0.001641884446144104
0.00016310150385834277,0.00020314900029916316,1823,0.014224089682102203,0.0,0.003072509542107582,1010.0,1763260238.3739865,161536,,,-0.005559086799621582,185.82900142669678,0.5106350779533386,0.021824851632118225
