losses/policy_loss,charts/SPS,losses/approx_kl,losses/old_approx_kl,losses/clipfrac,charts/episodic_return,charts/learning_rate,_runtime,losses/entropy,losses/explained_variance,_timestamp,losses/value_loss,_step,charts/episodic_length,global_step
0.000721760094165802,1054.0,0.0013666804879903793,0.0019448250532150269,0.001953125,,0.00019731183419935405,188.5131196975708,0.4479144215583801,0.23087018728256226,1763260241.3871188,0.00012876055552624166,1856,,171264
,,,,,500.0,,189.5741310119629,,,1763260242.4481301,,1868,500.0,172495
,,,,,500.0,,190.01377201080322,,,1763260242.8877711,,1873,500.0,172995
-0.0025900080800056458,1054.0,0.003829807974398136,-0.006228129379451275,0.00390625,,0.0001960061490535736,190.47568774223328,0.45043712854385376,0.10570651292800903,1763260243.3496869,0.0001770884555298835,1877,,173440
0.005056105554103851,1055.0,0.002181112766265869,0.006799433380365372,0.0,,0.00019546851399354637,191.29528975486755,0.47240135073661804,-0.11067533493041992,1763260244.1692889,0.00038914463948458433,1886,,174336
-0.009090330451726913,1055.0,0.0009170165285468102,0.0039682528004050255,0.0,,0.00019493087893351912,192.09860467910767,0.4266289174556732,0.16831862926483154,1763260244.9726038,0.003837058786302805,1895,,175232
-0.004325829446315765,1055.0,0.000760217197239399,0.001652904786169529,0.0,,0.0001944700488820672,192.81222367286682,0.4266853630542755,6.681680679321289e-05,1763260245.6862228,232.58990478515625,1903,,176000
-0.0007480047643184662,1055.0,5.816575139760971e-05,0.0005113603547215462,0.0,,0.00019423963385634124,193.14114141464233,0.4838474690914154,-1.0309956073760986,1763260246.0151405,0.00014224249753169715,1906,,176384
-0.006514411419630051,1056.0,0.0004808567464351654,0.002039756625890732,0.0,,0.00019354838877916336,194.18290972709656,0.4670271873474121,0.0008210539817810059,1763260247.0569088,89.7391128540039,1918,,177536
0.01162014901638031,1056.0,0.006868654862046242,0.018055308610200882,0.017578125,,0.00019339477876201272,194.4132387638092,0.43714264035224915,-0.9732322692871094,1763260247.287238,0.0002848427393473685,1920,,177792
0.0023606307804584503,1056.0,0.0013447301462292671,-0.0053963931277394295,0.0,,0.00019185867859050632,196.75185251235962,0.5251123905181885,-0.2623865604400635,1763260249.6258516,0.0007422710186801851,1945,,180352
-0.0064513832330703735,1057.0,0.008176250383257866,0.0013976432383060455,0.025390625,,0.0001910138234961778,198.01205348968506,0.40670251846313477,0.0022758841514587402,1763260250.8860526,0.0004850794794037938,1959,,181760
-0.02073618397116661,1057.0,0.0033447546884417534,0.025757867842912674,0.0,,0.00019016896840184927,199.27362966537476,0.3876168131828308,-0.7013590335845947,1763260252.1476288,0.0063898442313075066,1973,,183168
-0.0020460058003664017,1057.0,0.00837439764291048,-0.0025156689807772636,0.013671875,,0.00018940091831609607,200.42087626457214,0.3073117434978485,-0.1713850498199463,1763260253.2948754,0.0001402139459969476,1985,,184448
,,,,,500.0,,200.90510892868042,,,1763260253.779108,,1991,500.0,184995
-0.0007821768522262573,1058.0,0.00023505929857492447,0.00036162231117486954,0.0,,0.0001884024532046169,201.94858360290527,0.37787723541259766,0.0006270408630371094,1763260254.8225827,77.61287689208984,2002,,186112
-0.015724513679742813,1058.0,0.002091890200972557,-0.013447247445583344,0.001953125,,0.00018809523317031562,202.4042148590088,0.4195936918258667,0.5363886952400208,1763260255.278214,0.005608855281025171,2007,,186624
