charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
0.0002653609844855964,479.0,57856,0.0,147.14906573295593,456.6561279296875,0.5684804916381836,,-0.003581792116165161,0.07912558317184448,0.00027999747544527054,0.0062155453488230705,757,,1763260205.6294549
0.00026505376445129514,479.0,58368,0.0,148.1410572528839,2.5684123039245605,0.5678091645240784,,-0.0002606809139251709,0.6314488053321838,0.0026104822754859924,-0.002988690510392189,762,,1763260206.6214464
,,58834,,148.91565227508545,,,270.0,,,,,767,270.0,1763260207.3960414
0.00026436251937411726,480.0,59520,0.0,150.41145515441895,175.0154571533203,0.49867695569992065,,-0.000382252037525177,-0.0038175582885742188,0.0008379286155104637,-0.013457166962325573,775,,1763260208.8918443
0.00026359446928836405,480.0,60800,0.0,152.94429969787598,0.04948997497558594,0.49585428833961487,,-0.01798379421234131,-0.8671050071716309,0.0030757924541831017,-0.022789835929870605,788,,1763260211.4246888
0.00026351766427978873,480.0,60928,0.0,153.18093490600586,0.022165648639202118,0.4807155728340149,,0.0028148628771305084,0.788309633731842,0.0002298746258020401,-0.0006115362048149109,789,,1763260211.661324
0.0002630568342283368,481.0,61696,0.0,154.69480299949646,290.4498291015625,0.39887499809265137,,0.00013197213411331177,0.014170348644256592,3.399886190891266e-05,-0.0033423472195863724,797,,1763260213.175192
,,62626,,156.4533817768097,,,500.0,,,,,806,500.0,1763260214.933771
,,63493,,158.14501929283142,,,367.0,,,,,815,367.0,1763260216.6254084
0.00025906297378242016,483.0,68352,0.0,167.66380047798157,349.9997863769531,0.5614839196205139,,-0.0011284500360488892,0.0002104043960571289,0.0002461457625031471,-0.0028560245409607887,863,,1763260226.1441896
,,69250,,169.4645130634308,,,500.0,,,,,872,500.0,1763260227.9449022
,,69750,,170.27705812454224,,,500.0,,,,,876,500.0,1763260228.7574472
,,73750,,178.3413872718811,,,500.0,,,,,916,500.0,1763260236.8217764
0.0002554531383793801,485.0,74368,0.0,179.61415219306946,115.75599670410156,0.5174688696861267,,-0.005939589813351631,-0.00020253658294677734,0.000361037440598011,0.004607898183166981,922,,1763260238.0945413
