charts/SPS,losses/old_approx_kl,_step,losses/entropy,losses/value_loss,charts/episodic_return,charts/learning_rate,_runtime,losses/approx_kl,_timestamp,losses/explained_variance,losses/clipfrac,losses/policy_loss,global_step,charts/episodic_length
841.0,0.011165431700646877,265,0.5658180117607117,15.716704368591309,,0.00029193548834882677,42.523194313049316,0.008870283141732216,1763260072.9557593,0.918868899345398,0.04296875,0.012062683701515198,13568,
833.0,-5.709845572710037e-05,273,0.5855878591537476,11.820683479309082,,0.0002916282683145255,43.28843808174133,3.14321368932724e-06,1763260073.721003,0.9533469080924988,0.0,0.00016750022768974304,14080,
,,274,,,70.0,,43.33013081550598,,1763260073.7626958,,,,14146,70.0
845.0,-0.0001449035480618477,292,0.5478755235671997,17.24689292907715,,0.00029070660821162164,44.85947847366333,2.0536594092845917e-05,1763260075.2920434,0.9720777869224548,0.0,0.0005736202001571655,15616,
863.0,0.008400804363191128,321,0.557840883731842,12.833730697631836,,0.0002894777280744165,46.856895446777344,0.00045409705489873886,1763260077.2894604,0.7522136569023132,0.0,-0.008905842900276184,17664,
868.0,0.0029444126412272453,327,0.5434092283248901,18.019451141357422,,0.00028917050804011524,47.31998062133789,5.6578777730464935e-05,1763260077.7525456,0.5281063914299011,0.0,0.0010136142373085022,18176,
,,330,,,339.0,,47.54692983627319,,1763260077.9794948,,,,18444,339.0
874.0,-0.0008597327396273613,332,0.5634556412696838,15.548887252807617,,0.00028886328800581396,47.761900901794434,8.190516382455826e-05,1763260078.1944659,0.8959607481956482,0.0,-6.465613842010498e-05,18688,
,,337,,,137.0,,48.05892586708069,,1763260078.4914908,,,,19038,137.0
,,340,,,269.0,,48.2881224155426,,1763260078.7206874,,,,19307,269.0
897.0,-0.000630662776529789,370,0.6020472645759583,27.121761322021484,,0.0002870967728085816,50.49702477455139,8.377712219953537e-05,1763260080.9295897,0.14334720373153687,0.0,-0.00012840144336223602,21632,
,,375,,,171.0,,50.781513929367065,,1763260081.214079,,,,22015,171.0
906.0,0.012421087361872196,396,0.6026039719581604,78.27268981933594,,0.00028586789267137647,52.50576877593994,0.0015106135979294777,1763260082.9383337,0.31612831354141235,0.0,-0.010346751660108566,23680,
914.0,-0.012337258085608482,425,0.6072782278060913,23.307140350341797,,0.0002844854025170207,54.79549026489258,0.0004800986498594284,1763260085.2280552,0.46224337816238403,0.0,0.009798482060432434,25984,
919.0,0.0007053101435303688,441,0.5922268033027649,10.117942810058594,,0.0002837173524312675,56.03546094894409,1.282431185245514e-06,1763260086.468026,0.06012439727783203,0.0,0.0006224215030670166,27264,
922.0,0.00025235116481781006,450,0.5748360753059387,30.955446243286133,,0.0002833333273883909,56.65413188934326,0.0010999664664268494,1763260087.0866969,0.7421789169311523,0.0,0.0010636374354362488,27904,
,,471,,,189.0,,58.26572060585022,,1763260088.6982856,,,,29386,189.0
,,481,,,118.0,,59.086196422576904,,1763260089.5187614,,,,30078,118.0
,,490,,,120.0,,59.79739475250244,,1763260090.2299597,,,,30691,120.0
