charts/episodic_return,losses/entropy,losses/policy_loss,_timestamp,losses/clipfrac,losses/value_loss,losses/old_approx_kl,charts/episodic_length,charts/SPS,global_step,losses/approx_kl,charts/learning_rate,_runtime,_step,losses/explained_variance
,0.5647839903831482,-0.0022554025053977966,1763260534.807557,0.0,0.00018488919886294752,-0.0042874012142419815,,708.0,338560,0.0002077016979455948,9.692780440673232e-05,503.96879720687866,3513,-0.008063197135925293
,0.5342996120452881,0.0006212592124938965,1763260535.9558024,0.0,93.5137939453125,0.002603401429951191,,709.0,339712,3.305729478597641e-05,9.623655932955444e-05,505.1170425415039,3525,-4.076957702636719e-05
,0.5348808765411377,0.002220001071691513,1763260537.2102985,0.0,0.00013098419003654271,0.004831812344491482,,709.0,340992,0.0002489602193236351,9.546850924380124e-05,506.3715386390686,3537,0.07833993434906006
,0.5934767723083496,-0.0012525953352451324,1763260538.939254,0.0,162.0148162841797,-0.0012891050428152084,,710.0,342656,6.676465272903442e-05,9.447004413232207e-05,508.10049414634705,3554,1.0132789611816406e-06
,0.5432175397872925,-0.012887485325336456,1763260539.0661309,0.0,0.0026200548745691776,0.0028649456799030304,,710.0,342784,0.00028827041387557983,9.439323912374675e-05,508.22737097740173,3555,0.046475768089294434
,0.5070823431015015,0.001116931438446045,1763260541.2039053,0.0,0.00017249082156922668,-4.437379539012909e-05,,712.0,344960,5.804002285003662e-06,9.308755397796631e-05,510.36514544487,3576,0.06556046009063721
500.0,,,1763260541.3302822,,,,500.0,,345110,,,510.4915223121643,3578,
,0.5880641341209412,0.0015546903014183044,1763260541.6728961,0.0,0.00015474109386559576,0.001633940264582634,,712.0,345472,4.435703158378601e-05,9.278034121962264e-05,510.8341362476349,3581,-0.04304814338684082
,0.5939351916313171,0.0007186196744441986,1763260542.4546528,0.0,0.0032161467242985964,0.001164664514362812,,712.0,346240,7.517542690038681e-05,9.231951116817072e-05,511.6158928871155,3589,-0.06314623355865479
,0.5755487084388733,-0.0031478870660066605,1763260544.8862276,0.0,0.00028535298770293593,-0.00025510601699352264,,714.0,348672,0.00047991611063480377,9.086021600523964e-05,514.0474677085876,3613,-0.0009611845016479492
,0.5651783347129822,-0.0009622499346733093,1763260545.773305,0.0,0.0003913862456101924,-0.003172675147652626,,714.0,349568,8.946098387241364e-05,9.03225809452124e-05,514.9345450401306,3622,-0.018331408500671387
18.0,,,1763260547.4577415,,,,18.0,,351300,,,516.6189815998077,3640,
,0.5943195223808289,0.00023324601352214813,1763260549.0657988,0.0,173.65469360351562,0.0024167345836758614,,716.0,352896,3.0846334993839264e-05,8.832565072225407e-05,518.227038860321,3656,-3.3736228942871094e-05
500.0,,,1763260550.3385787,,,,500.0,,354300,,,519.4998188018799,3669,
,0.5621573328971863,-0.0026914849877357483,1763260551.3277812,0.0,0.0003895781410392374,-0.0002904478460550308,,718.0,355200,0.0001952238380908966,8.694316784385592e-05,520.4890213012695,3679,-0.168501615524292
,0.6116803884506226,-0.0008392930030822754,1763260551.7146454,0.0,0.00041457495535723865,-0.0036752084270119667,,718.0,355584,0.00013778824359178543,8.671275281812996e-05,520.8758854866028,3683,-0.15289580821990967
,0.577079176902771,-0.012153826653957367,1763260551.8393877,0.0,0.0003082715265918523,0.014395812526345253,,718.0,355712,0.0010041464120149612,8.663594780955464e-05,521.0006277561188,3684,-0.3227722644805908
,0.5739056468009949,0.0006520822644233704,1763260554.470058,0.0,211.52783203125,0.00010275561362504959,,720.0,358400,3.7680380046367645e-05,8.502304262947291e-05,523.6312980651855,3711,-0.00012087821960449219
,0.594245433807373,0.002450890839099884,1763260554.717392,0.0,0.000280607258901,-0.0015040133148431778,,720.0,358656,9.880587458610535e-05,8.486943261232227e-05,523.878632068634,3713,-0.2280346155166626
500.0,,,1763260554.8639657,,,,500.0,,358815,,,524.0252058506012,3715,
,0.5423773527145386,-0.005645200610160828,1763260556.5039904,0.0,0.00292024458758533,0.002889922820031643,,721.0,360448,7.742177695035934e-05,8.379416249226779e-05,525.665230512619,3731,-0.10351240634918213
500.0,,,1763260556.7777956,,,,500.0,,360815,,,525.939035654068,3734,
,0.5241764783859253,-0.0020816773176193237,1763260558.8884542,0.0,220.7706298828125,-0.0003755325451493263,,722.0,362880,5.3406693041324615e-05,8.23348673293367e-05,528.0496942996979,3755,-3.7670135498046875e-05
,0.5820069313049316,0.0016793012619018555,1763260560.8538806,0.0,244.69345092773438,-0.0007706331089138985,,724.0,364928,5.839671939611435e-05,8.110598719213158e-05,530.0151207447052,3775,3.224611282348633e-05
500.0,,,1763260561.2238097,,,,500.0,,365315,,,530.3850498199463,3779,
,0.5960555672645569,-0.00016198307275772095,1763260563.8037891,0.0,501.4881591796875,-7.758662104606628e-05,,725.0,367872,2.3227185010910034e-06,7.933947927085683e-05,532.9650292396545,3804,-0.00013196468353271484
,0.567253053188324,0.0008238032460212708,1763260564.1585448,0.0,0.0002821832022164017,0.0019631683826446533,,725.0,368256,6.341934204101562e-05,7.910906424513087e-05,533.3197848796844,3807,-0.034612417221069336
500.0,,,1763260568.027854,,,,500.0,,372315,,,537.1890940666199,3847,
