charts/SPS,charts/episodic_length,_timestamp,global_step,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/old_approx_kl,losses/clipfrac,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/value_loss
779.0,,1763260444.535361,281472,0.0005364799872040749,-0.003972291946411133,,0.5218564867973328,0.006218043155968189,0.0,0.00013118279457557946,2975,-0.002897437661886215,388.53042697906494,0.0031657370273023844
781.0,,1763260445.8164885,282880,2.947729080915451e-05,-8.106231689453125e-06,,0.5325044393539429,0.0002977019175887108,0.0,0.00013033793948125094,2989,-0.00021155178546905518,389.8115544319153,764.1630859375
781.0,,1763260446.640567,283776,4.938337951898575e-05,-0.020708560943603516,,0.5835952758789062,0.003253762610256672,0.0,0.0001298003044212237,2997,0.0014332570135593414,390.63563299179077,0.0001239617558894679
782.0,,1763260447.9114127,285184,0.00022434070706367493,-0.07200050354003906,,0.5821160078048706,0.001970672979950905,0.0,0.00012895544932689518,3011,-0.0001841038465499878,391.90647864341736,5.697300730389543e-05
786.0,,1763260451.6810575,289280,0.00014879368245601654,-0.031161904335021973,,0.5575389862060547,0.001093108206987381,0.0,0.00012649768905248493,3051,0.006560757756233215,395.676123380661,0.00011596060357987881
786.0,,1763260451.7952833,289408,1.0463409125804901e-05,-5.0067901611328125e-06,,0.5885976552963257,-0.0009073661640286446,0.0,0.0001264208840439096,3053,-0.0003707483410835266,395.7903492450714,540.7950439453125
,500.0,1763260453.0020235,290801,,,500.0,,,,,3066,,396.9970893859863,
787.0,,1763260453.4109042,291200,0.0017185360193252563,0.13695919513702393,,0.47224193811416626,0.019843196496367455,0.001953125,0.00012534562847577035,3070,-0.00019077211618423462,397.40597009658813,0.00013268878683447838
788.0,,1763260454.5772922,292480,0.00025281962007284164,-0.05184733867645264,,0.6009923815727234,0.0011554332450032234,0.0,0.00012457757839001715,3083,-0.00571008026599884,398.5723581314087,0.003283000783994794
789.0,,1763260456.1082265,294016,0.00031152740120887756,-0.022228002548217773,,0.5557918548583984,0.0012497268617153168,0.0,0.0001236559182871133,3098,-0.002066485583782196,400.10329246520996,0.0032053408212959766
