_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,charts/SPS,_runtime,_timestamp,losses/entropy,charts/episodic_return,charts/learning_rate,losses/old_approx_kl,charts/episodic_length,losses/policy_loss,losses/value_loss,global_step
471,3.118067979812622e-06,-0.20719778537750244,0.0,1048.0,52.12956404685974,1763260103.20843,0.5436862707138062,,0.00028356374241411686,-0.00037109851837158203,,-7.257051765918732e-05,232.26182556152344,27520
481,,,,,52.87946057319641,1763260103.9583266,,237.0,,,237.0,,,28356
490,,,,,53.328659534454346,1763260104.4075255,,108.0,,,108.0,,,28824
504,0.0006876206025481224,0.9005365967750549,0.0,1049.0,54.173283100128174,1763260105.252149,0.6273359656333923,,0.0002822580572683364,0.0022946251556277275,,-0.002386748790740967,25.06441879272461,29696
515,,,,,54.91005325317383,1763260105.9889193,,88.0,,,88.0,,,30516
530,,,,,55.73470377922058,1763260106.8135698,,38.0,,,38.0,,,31443
539,2.1687708795070648e-05,-0.004848003387451172,0.0,1051.0,56.553507566452026,1763260107.6323736,0.6257416009902954,,0.00028072195709683,-0.0007600123062729836,,-0.0021250247955322266,60.22229766845703,32256
547,1.8387101590633392e-05,0.023882031440734863,0.0,1051.0,57.05150818824768,1763260108.1303742,0.5798370838165283,,0.00028041473706252873,0.0004122266545891762,,-0.001196928322315216,321.9869384765625,32768
555,,,,,57.6582407951355,1763260108.7371068,,147.0,,,147.0,,,33499
559,0.0006196433678269386,0.9294019341468811,0.0,1053.0,57.9666223526001,1763260109.0454884,0.6416786909103394,,0.00027980029699392617,0.008920163847506046,,-0.011985830962657928,23.455121994018555,33792
568,0.0001627858728170395,0.6909744739532471,0.0,1053.0,58.58338284492493,1763260109.6622488,0.6305656433105469,,0.00027941627195104957,0.001868734136223793,,-0.005840908735990524,74.10981750488281,34432
595,0.0004530511796474457,0.9229828715324402,0.0,1053.0,60.386807918548584,1763260111.465674,0.6028046607971191,,0.00027826419682241976,0.005463778972625732,,-0.007173115387558937,18.350542068481445,36352
612,,,,,61.48363518714905,1763260112.5625012,,156.0,,,156.0,,,37585
614,,,,,61.587109088897705,1763260112.665975,,95.0,,,95.0,,,37680
630,9.215902537107468e-05,0.19318103790283203,0.0,1056.0,62.965248346328735,1763260114.0441144,0.6525138020515442,,0.0002765744866337627,0.004413134418427944,,-0.0041139982640743256,183.10299682617188,39168
636,,,,,63.3417649269104,1763260114.420631,,46.0,,,46.0,,,39612
640,,,,,63.49744892120361,1763260114.576315,,85.0,,,85.0,,,39770
650,,,,,64.1519296169281,1763260115.2307956,,68.0,,,68.0,,,40455
664,,,,,64.9297890663147,1763260116.008655,,353.0,,,353.0,,,41289
684,,,,,66.58114981651306,1763260117.6600158,,303.0,,,303.0,,,43097
689,,,,,67.02791380882263,1763260118.1067798,,500.0,,,500.0,,,43597
698,0.00038599036633968353,0.015925824642181396,0.0,1059.0,67.82423996925354,1763260118.903106,0.578959047794342,,0.00027342551038600504,-0.00045567750930786133,,-0.0054374635219573975,392.61297607421875,44416
702,0.0010690903291106224,0.5485180020332336,0.0,1059.0,68.16010808944702,1763260119.238974,0.5809531807899475,,0.0002731950953602791,0.0025474363937973976,,0.002762407064437866,24.54335594177246,44800
707,0.0010383892804384232,0.2721027731895447,0.0,1060.0,68.5008852481842,1763260119.5797513,0.5796670913696289,,0.0002729646803345531,-0.006974495947360992,,0.020560257136821747,260.2505798339844,45184
729,,,,,70.47687911987305,1763260121.5557451,,500.0,,,500.0,,,47389
757,6.083492189645767e-05,-0.008049845695495605,0.0,1063.0,73.07919597625732,1763260124.158062,0.552819550037384,,0.00026996928500011563,0.002358800731599331,,0.0014573615044355392,15.993515968322754,50176
762,7.100403308868408e-06,0.5467565059661865,0.0,1063.0,73.42026257514954,1763260124.4991286,0.49821287393569946,,0.00026973886997438967,0.0007718149572610855,,6.245076656341553e-05,188.88291931152344,50560
767,0.00014715734869241714,0.062026798725128174,0.0,1064.0,73.87091875076294,1763260124.9497848,0.5568971037864685,,0.0002694316499400884,0.00010181870311498642,,0.00045177899301052094,347.1763916015625,51072
775,,,,,74.6040620803833,1763260125.682928,,500.0,,,500.0,,,51931
788,,,,,75.7870581150055,1763260126.8659241,,500.0,,,500.0,,,53167
797,0.0016149897128343582,0.4433637261390686,0.0,1063.0,76.7969286441803,1763260127.8757946,0.5588197708129883,,0.0002675883297342807,0.007006896659731865,,-0.014199897646903992,10.523881912231445,54144
806,3.6570243537425995e-05,-0.027658939361572266,0.0,1063.0,77.65810108184814,1763260128.736967,0.5152973532676697,,0.00026705069467425346,0.000440000556409359,,0.0012714602053165436,9.157583236694336,55040
815,4.8648566007614136e-05,-0.1615610122680664,0.0,1063.0,78.48408269882202,1763260129.5629487,0.5810221433639526,,0.0002665130596142262,-0.00028733350336551666,,-0.00018179044127464294,9.194272994995117,55936
863,0.0005805548280477524,-0.000788569450378418,0.0,1065.0,82.80393171310425,1763260133.8827977,0.4987826943397522,,0.0002636712742969394,0.0071206651628017426,,0.005194287747144699,543.731689453125,60672
872,0.00014577805995941162,0.0028203725814819336,0.0,1066.0,83.6227970123291,1763260134.701663,0.5388378500938416,,0.00026313363923691213,-0.0015473142266273499,,0.0032637938857078552,427.84716796875,61568
876,,,,,83.9627833366394,1763260135.0416493,,500.0,,,500.0,,,61959
922,0.0001413356512784958,0.0029030442237854004,0.0,1068.0,88.27598094940186,1763260139.354847,0.5409395098686218,,0.0002600614388938993,0.004230882972478867,,-0.004955209791660309,0.9785001277923584,66688
930,,,,,88.99066591262817,1763260140.069532,,500.0,,,500.0,,,67459
938,0.0014870166778564453,-0.06806051731109619,0.001953125,1069.0,89.81588077545166,1763260140.8947468,0.5262175798416138,,0.00025906297378242016,0.0004641599953174591,,-0.016097694635391235,0.33606940507888794,68352
941,0.0001064622774720192,-0.47121763229370117,0.0,1069.0,90.04258108139038,1763260141.121447,0.5623460412025452,,0.0002589093637652695,0.0021307216957211494,,-0.001600110437721014,0.3863113224506378,68608
942,6.594602018594742e-05,-0.04235255718231201,0.0,1069.0,90.15429472923279,1763260141.2331607,0.5118627548217773,,0.0002588325587566942,0.000751434825360775,,-0.0017999857664108276,0.22548247873783112,68736
948,0.002023344859480858,0.3557467460632324,0.01171875,1069.0,90.75134944915771,1763260141.8302155,0.500039279460907,,0.0002584485337138176,0.00846986286342144,,-0.0016962625086307526,0.15037314593791962,69376
974,0.001853584311902523,-0.09859335422515869,0.0078125,1070.0,93.08484745025635,1763260144.1637135,0.5435556173324585,,0.0002569124335423112,-0.011050297878682613,,0.002353314310312271,0.0010518705239519477,71936
980,0.004054787568747997,0.30143076181411743,0.025390625,1070.0,93.53776240348816,1763260144.6166284,0.46664828062057495,,0.0002566052135080099,0.005149173550307751,,-0.011722218245267868,0.008041821420192719,72448
985,0.006321628578007221,0.0040811896324157715,0.01171875,1070.0,94.02899026870728,1763260145.1078563,0.5330306887626648,,0.00025629799347370863,0.020291723310947418,,-0.03286194056272507,0.000258379295701161,72960
995,,,,,94.87120938301086,1763260145.9500754,,500.0,,,500.0,,,73909
997,2.9657967388629913e-05,-0.11469662189483643,0.0,1071.0,95.08101797103882,1763260146.159884,0.5340338349342346,,0.00025560674839653075,-0.0017998619005084038,,-0.0015471894294023514,0.011049130000174046,74112
1015,,,,,96.611093044281,1763260147.689959,,219.0,,,219.0,,,75878
1020,0.004382170736789703,-0.16770994663238525,0.001953125,1071.0,97.06972813606262,1763260148.1485941,0.5432759523391724,,0.0002543010632507503,0.007712624967098236,,-0.0004335213452577591,0.003529947018250823,76288
1031,,,,,97.99933171272278,1763260149.0781977,,500.0,,,500.0,,,77313
1050,0.00044929422438144684,8.237361907958984e-05,0.0,1072.0,99.62107300758362,1763260150.699939,0.5363156795501709,,0.00025261135306209326,-0.003974026069045067,,-0.00013682618737220764,501.59014892578125,79104
1053,,,,,99.8874123096466,1763260150.9662783,,500.0,,,500.0,,,79486
1058,,,,,100.35407066345215,1763260151.4329367,,457.0,,,457.0,,,79943
1083,0.0005465764552354813,0.0048272013664245605,0.0,1072.0,102.27571964263916,1763260153.3545856,0.5463764667510986,,0.00025092167197726667,-0.009854091331362724,,0.0015313029289245605,0.1363661140203476,81920
1091,,,,,102.86527872085571,1763260153.9441447,,500.0,,,500.0,,,82582
1106,0.002338542602956295,-1.478602409362793,0.01953125,1073.0,104.24714040756226,1763260155.3260064,0.3902621269226074,,0.0002496159868314862,0.009159747511148453,,-0.0012872442603111267,0.0020004475954920053,84096
1118,0.0018402738496661186,-7.82012939453125e-05,0.0,1073.0,105.31073594093323,1763260156.389602,0.4501851797103882,,0.00024892474175430834,0.012239419855177402,,0.000112973153591156,884.32763671875,85248
1125,0.0002493206411600113,-0.00861513614654541,0.0,1073.0,106.01766705513,1763260157.096533,0.48394328355789185,,0.0002484639117028564,0.003325231373310089,,-0.00976039469242096,0.0005877571529708803,86016
1133,0.0013735070824623108,0.00015664100646972656,0.0,1073.0,106.73216581344604,1763260157.8110318,0.48249712586402893,,0.0002480030816514045,0.0016543865203857422,,0.01190517470240593,682.7442016601562,86784
1145,0.0009825816377997398,0.03599196672439575,0.0,1073.0,107.89900374412537,1763260158.9778697,0.482610285282135,,0.0002472350315656513,0.0016417717561125755,,0.0010634958744049072,0.0004678664554376155,88064
1164,5.9198588132858276e-05,-0.015850186347961426,0.0,1073.0,109.67228174209595,1763260160.7511477,0.4666277766227722,,0.0002460829564370215,-0.002194870263338089,,-0.0004448890686035156,0.0012836604146286845,89984
