_step,charts/episodic_length,_runtime,losses/policy_loss,charts/learning_rate,charts/SPS,global_step,_timestamp,losses/value_loss,losses/entropy,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return
1145,,180.01564073562622,-0.006783309392631054,0.00024208909599110484,633.0,96640,1763260236.2744777,0.001122197019867599,0.48279789090156555,0.0,0.0007053697481751442,0.003471597097814083,0.20554327964782715,
1164,,182.65875458717346,-0.0007229913026094437,0.00024093702086247504,634.0,98560,1763260238.9175916,0.004384122788906097,0.44955119490623474,0.0,0.00012250244617462158,0.006456367671489716,-0.10020172595977783,
1165,,182.80391359329224,-0.005846686661243439,0.00024086021585389972,635.0,98688,1763260239.0627506,0.0005387092824093997,0.5420761108398438,0.00390625,0.0006290581077337265,0.0023087188601493835,-0.027619361877441406,
1172,,183.68381023406982,0.001348966732621193,0.00024047619081102312,635.0,99328,1763260239.9426472,681.458984375,0.47885918617248535,0.0,0.00019616540521383286,0.004320005886256695,-0.0003389120101928711,
1181,500.0,184.92172932624817,,,,100314,1763260241.1805663,,,,,,,500.0
1186,500.0,185.61328315734863,,,,100814,1763260241.8721201,,,,,,,500.0
1197,,187.37718892097473,-7.227063179016113e-07,0.0002389400906395167,636.0,101888,1763260243.636026,584.7805786132812,0.4990420341491699,0.0,0.0004025334492325783,-0.004293517209589481,0.00010442733764648438,
1213,,189.878812789917,-0.0032348521053791046,0.00023794162552803755,637.0,103552,1763260246.1376498,0.00593934440985322,0.4784465432167053,0.0,0.0005723824724555016,-0.003952032886445522,-0.5182708501815796,
1215,,190.19771313667297,-0.00737173855304718,0.0002377880155108869,637.0,103808,1763260246.4565501,0.00016762418090365827,0.5015955567359924,0.0,0.0008711898699402809,0.00344825629144907,-0.2230973243713379,
1226,,191.65950179100037,0.0031930170953273773,0.00023717357544228435,638.0,104832,1763260247.9183388,880.345703125,0.5021024346351624,0.0,0.0004821373149752617,-0.005933024920523167,0.00026226043701171875,
1230,500.0,192.24294352531433,,,,105314,1763260248.5017805,,,,,,,500.0
1234,,192.91023421287537,-0.01572907716035843,0.0002366359403822571,638.0,105728,1763260249.1690712,0.00021205264783930033,0.4904016852378845,0.001953125,0.0013773571699857712,0.00027760863304138184,-0.02472555637359619,
1245,500.0,194.40208196640015,,,,106814,1763260250.660919,,,,,,,500.0
1254,,195.7835373878479,0.005195865407586098,0.00023540706024505198,640.0,107776,1763260252.0423744,0.0005173027748242021,0.4165388345718384,0.0,0.00015590619295835495,-0.001265999861061573,-0.8426023721694946,
1271,,198.11839771270752,-0.0062171705067157745,0.00023440859513357282,641.0,109440,1763260254.3772347,0.002240704372525215,0.43764522671699524,0.0,0.00047656893730163574,0.016096197068691254,-9.810924530029297e-05,
1299,500.0,201.96082019805908,,,,112314,1763260258.2196572,,,,,,,500.0
1339,,206.24827599525452,-0.0027554817497730255,0.00023026113922242075,650.0,116352,1763260262.507113,1110.889892578125,0.418351948261261,0.0,0.0004954822361469269,0.0035323873162269592,0.0003471970558166504,
1340,,206.365385055542,0.001208951696753502,0.00023018433421384543,650.0,116480,1763260262.624222,0.005384685471653938,0.36912667751312256,0.0,0.00021704845130443573,-0.0019198823720216751,-0.3279615640640259,
1349,,207.44211077690125,-0.0005491450428962708,0.0002296466991538182,651.0,117376,1763260263.7009478,703.1819458007812,0.5163511037826538,0.0,0.00043981708586215973,0.0017226096242666245,-3.457069396972656e-05,
1363,500.0,209.03121256828308,,,,118814,1763260265.2900496,,,,,,,500.0
1365,,209.30213975906372,-0.005428139120340347,0.00022864823404233903,654.0,119040,1763260265.5609767,0.00629755575209856,0.496101975440979,0.0,0.0006366940215229988,0.0034372685477137566,-0.08771753311157227,
1370,,209.9030101299286,-0.0027795732021331787,0.00022834101400803775,655.0,119552,1763260266.161847,0.005443762522190809,0.5476402640342712,0.0,0.00042758136987686157,0.004448950290679932,-0.08676302433013916,
1380,,211.10239028930664,-0.0014935359358787537,0.00022772657393943518,656.0,120576,1763260267.3612273,0.0009612498106434941,0.5302296280860901,0.0,0.0005752677097916603,0.001903771422803402,-0.673805832862854,
1381,,211.24680066108704,-0.007969267666339874,0.00022764976893085986,656.0,120704,1763260267.5056376,0.00023361433704849333,0.5325397849082947,0.0,0.000910579226911068,0.01149821188300848,-0.5530315637588501,
1388,,212.01883244514465,-0.000238858163356781,0.00022726574388798326,657.0,121344,1763260268.2776694,600.3321533203125,0.5165157914161682,0.0,1.5066936612129211e-05,-0.002657836303114891,0.00013136863708496094,
1395,,212.90182995796204,-0.04022540897130966,0.00022680491383653134,658.0,122112,1763260269.160667,0.0007890331908129156,0.5473945140838623,0.02734375,0.003200724720954895,0.0023270510137081146,-0.08703958988189697,
