losses/entropy,charts/episodic_length,_step,charts/SPS,losses/value_loss,losses/explained_variance,global_step,losses/clipfrac,losses/policy_loss,charts/learning_rate,losses/approx_kl,losses/old_approx_kl,_runtime,_timestamp,charts/episodic_return
0.6045307517051697,,259,542.0,91.2607192993164,-0.01351022720336914,12928,0.0,-0.002726275473833084,0.00029231951339170337,7.46697187423706e-05,0.002233276143670082,51.231276988983154,1763260107.4871259,
0.605947732925415,,265,543.0,102.47184753417969,0.6620612740516663,13312,0.0,-0.0003922097384929657,0.0002920890983659774,7.783062756061554e-06,-0.0001605963334441185,51.90749955177307,1763260108.1633484,
,285.0,273,,,,14051,,,,,,52.97660732269287,1763260109.2324562,285.0
0.5738667845726013,,274,546.0,89.17510223388672,0.005666077136993408,14080,0.0,-0.001563984900712967,0.0002916282683145255,1.0712072253227234e-05,0.0004946347326040268,53.17012667655945,1763260109.4259756,
,151.0,292,,,,15613,,,,,,55.60316562652588,1763260111.8590145,151.0
0.5540879964828491,,321,553.0,90.97230529785156,0.0004010796546936035,17792,0.0,-0.012730538845062256,0.0002894009230658412,0.0004467479884624481,0.00620102696120739,59.52781081199646,1763260115.7836597,
0.5998932123184204,,327,554.0,122.25465393066406,-0.020862579345703125,18304,0.0,0.001002296805381775,0.0002890937030315399,5.1888637244701385e-05,-0.002370971255004406,60.42446184158325,1763260116.6803107,
0.5297935009002686,,330,553.0,179.7722930908203,-0.003188610076904297,18432,0.0,-0.014191731810569763,0.0002890168980229646,0.0009011998772621155,0.0069212764501571655,60.705240964889526,1763260116.9610898,
0.6153297424316406,,332,554.0,151.75454711914062,0.01608407497406006,18688,0.0,0.001557912677526474,0.00028886328800581396,7.81472772359848e-06,-0.0019298205152153969,61.11463379859924,1763260117.3704827,
0.5653682351112366,,337,555.0,122.3448257446289,0.00901651382446289,19200,0.0,0.0015931762754917145,0.0002885560679715127,7.748417556285858e-05,-0.0009109638631343842,61.95848250389099,1763260118.2143314,
0.6070472598075867,,340,555.0,119.34811401367188,0.05007666349411011,19456,0.0,-0.023488786071538925,0.00028840245795436203,0.0017196228727698326,0.017376145347952843,62.4071478843689,1763260118.6629968,
,78.0,370,,,,21919,,,,,,66.49421811103821,1763260122.750067,78.0
0.5753581523895264,,375,560.0,92.14508056640625,0.22836875915527344,22272,0.0,0.0035114213824272156,0.000286712747765705,0.00013938546180725098,-0.0008878409862518311,67.1173665523529,1763260123.3732154,
0.5900655388832092,,396,565.0,103.57889556884766,0.31115585565567017,23936,0.0,-0.013620104640722275,0.0002857142826542258,0.0008070357143878937,0.011606382206082344,69.71942639350891,1763260125.9752753,
0.49197545647621155,,425,569.0,147.3229522705078,0.030147135257720947,26368,0.0078125,-0.04486709460616112,0.00028425498749129474,0.002688891254365444,0.02564912848174572,73.73768377304077,1763260129.9935327,
,400.0,441,,,,27903,,,,,,76.25017738342285,1763260132.5060263,400.0
0.6019679307937622,,450,567.0,84.41181945800781,0.04919344186782837,28544,0.0,-0.0010263975709676743,0.0002829493023455143,3.2939016819000244e-05,0.000681556761264801,77.72185254096985,1763260133.9777014,
0.5431364178657532,,471,564.0,67.5387191772461,0.5754176378250122,30592,0.0,-0.017808420583605766,0.0002817204222083092,0.0007038004696369171,0.00842161662876606,81.62885880470276,1763260137.8847077,
