_timestamp,_step,_runtime,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,global_step,losses/clipfrac,charts/learning_rate,losses/entropy,losses/explained_variance
1763260149.471012,930,98.48054599761963,0.00044829651596955955,0.005003101192414761,,0.0005826102569699287,-0.008539434522390366,,1082.0,78464,0.0,0.00025299537810496986,0.4241507649421692,0.396902859210968
1763260150.1824372,938,99.19197106361389,0.0070481328293681145,0.00576116144657135,,0.0006176512688398361,-0.004729971289634705,,1082.0,79232,0.0,0.00025253454805351794,0.41396141052246094,0.09025537967681885
1763260150.5176482,941,99.52718210220337,0.005232496652752161,-0.001585567370057106,,0.00011018291115760803,-0.002287019044160843,,1082.0,79616,0.0,0.000252304133027792,0.45402777194976807,-0.4796428680419922
1763260150.6290529,942,99.63858675956726,0.0012371490010991693,0.010141665115952492,,0.0004663262516260147,-0.002841643989086151,,1082.0,79744,0.0,0.00025222732801921666,0.4088588058948517,-0.19481027126312256
1763260151.077452,948,100.08698582649231,440.86090087890625,0.00671490840613842,,0.0012529008090496063,-0.013010963797569275,,1082.0,80256,0.0078125,0.00025192013708874583,0.4153937101364136,0.25128674507141113
1763260153.338647,974,102.34818077087402,,,500.0,,,500.0,,82720,,,,
1763260153.8907936,980,102.90032744407654,559.5283813476562,0.021770711988210678,,0.006063919514417648,-0.03588803857564926,,1083.0,83328,0.021484375,0.00025007681688293815,0.37444406747817993,0.19367986917495728
1763260154.37945,985,103.38898396492004,0.002118632895871997,0.0044321902096271515,,0.0008116010576486588,-0.006256856024265289,,1083.0,83840,0.0,0.00024976959684863687,0.36369019746780396,0.6388267278671265
1763260155.169406,995,104.17893981933594,633.810302734375,-0.00981955137103796,,0.009367640130221844,-0.0185681339353323,,1083.0,84736,0.025390625,0.0002492319617886096,0.396553099155426,0.14698117971420288
1763260155.430994,997,104.44052791595459,7.062108039855957,-0.0009540487080812454,,0.0019046757370233536,-0.009519748389720917,,1083.0,84992,0.0,0.000249078351771459,0.3844738006591797,-4.1675543785095215
1763260156.6172605,1015,105.62679433822632,210.4274139404297,0.022963009774684906,,0.00982481800019741,0.03308717906475067,,1083.0,86272,0.0625,0.0002483103016857058,0.3409140408039093,0.5881376266479492
1763260156.9549842,1020,105.96451807022095,218.24038696289062,0.00308410357683897,,0.00040647853165864944,-0.0118856281042099,,1083.0,86656,0.0,0.0002480798866599798,0.4037248492240906,0.6980748772621155
1763260157.7193208,1031,106.72885465621948,,,143.0,,,143.0,,87528,,,,
1763260159.0848753,1050,108.09440922737122,,,311.0,,,311.0,,88963,,,,
1763260159.3103106,1053,108.31984448432922,101.2578125,0.000798417255282402,,3.980472683906555e-06,0.0006018728017807007,,1083.0,89216,0.0,0.0002465437864884734,0.3602833151817322,0.8022958040237427
1763260159.700366,1058,108.70989990234375,5.4078898429870605,0.004677405580878258,,0.0005371440201997757,0.01221930980682373,,1082.0,89600,0.0,0.00024631337146274745,0.4033282697200775,0.9410240054130554
1763260161.4358757,1082,110.4454095363617,2.6937332153320312,0.0017639268189668655,,7.095932960510254e-05,0.00266929529607296,,1083.0,91520,0.0,0.00024516129633411765,0.349700391292572,0.6542948484420776
1763260161.4780247,1083,110.48755860328674,,,245.0,,,245.0,,91636,,,,
1763260162.1586475,1091,111.16818141937256,14.192991256713867,-0.0039672767743468285,,0.0008307406678795815,0.008232466876506805,,1083.0,92288,0.0,0.00024470046628266573,0.3938448429107666,0.7224869728088379
1763260163.2198763,1106,112.22941017150879,,,212.0,,,212.0,,93457,,,,
1763260164.1602895,1118,113.16982340812683,33.103050231933594,0.002324509434401989,,0.0006072139367461205,-0.0026955846697092056,,1083.0,94464,0.0,0.00024339478113688529,0.4048529863357544,0.8234988451004028
