losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
,,1763260138.533165,268.0,,,82.50657892227173,,,268.0,,,481,32765,
0.0,0.0015048738569021225,1763260139.953082,,0.5566549301147461,0.00016524270176887512,83.92649602890015,-0.0034522907808423042,0.0002799539070110768,,595.0,0.5780997276306152,490,33536,34.918174743652344
0.0,0.0011735111474990845,1763260141.9402826,,0.5922242403030396,0.00011838972568511963,85.91369652748108,-0.0006324276328086853,0.0002791858569253236,,597.0,0.5944973230361938,504,34816,32.212711334228516
0.0,0.0037305476143956184,1763260143.388674,,0.5686792135238647,0.00048649031668901443,87.3620879650116,0.0007792077958583832,0.00027864822186529636,,597.0,0.9491184949874878,515,35712,12.802471160888672
0.0,0.02120884507894516,1763260145.5176275,,0.5766192674636841,0.0026867976412177086,89.49104142189026,-0.0345098152756691,0.00027780336677096784,,600.0,0.9079330563545227,530,37120,13.663686752319336
0.0,-0.00330545287579298,1763260146.7097113,,0.5664497017860413,0.0004917318001389503,90.68312525749207,-0.0037969090044498444,0.0002773425367195159,,600.0,0.769454300403595,539,37888,13.299055099487305
0.0,-0.0013086190447211266,1763260147.720873,,0.5704330205917358,2.5219283998012543e-05,91.69428706169128,-0.0015562325716018677,0.0002769585116766393,,601.0,0.08982908725738525,547,38528,21.40913200378418
,,1763260148.730128,218.0,,,92.70354199409485,,,218.0,,,555,39224,
0.0,-0.0006244312971830368,1763260149.329972,,0.6004461050033569,2.9355287551879883e-06,93.30338597297668,-0.0008171666413545609,0.00027634407160803676,,602.0,0.1092369556427002,559,39552,24.263809204101562
0.0,0.0019184751436114311,1763260150.7260168,,0.5264718532562256,0.0025237062945961952,94.69943070411682,-0.004114620387554169,0.00027580646565183997,,603.0,-0.2971782684326172,568,40448,80.20732879638672
0.0,-0.001257128082215786,1763260154.774486,,0.5551000237464905,0.0016960697248578072,98.74790000915527,0.006731072440743446,0.00027419356047175825,,606.0,-0.5288617610931396,595,43136,17.50388526916504
0.0,-0.0004866793751716614,1763260157.3052566,,0.5218417048454285,1.851096749305725e-05,101.2786705493927,-0.0005991235375404358,0.0002731950953602791,,608.0,-0.07924973964691162,612,44800,13.58554458618164
0.0,-0.007040735334157944,1763260157.6712756,,0.5556449890136719,0.00019275210797786713,101.64468955993652,0.010184329003095627,0.00027304148534312844,,608.0,0.6398437023162842,614,45056,10.271087646484375
0.0,0.0016286661848425865,1763260160.0022936,,0.5992504358291626,0.00018360372632741928,103.97570753097534,3.4417957067489624e-05,0.0002721198252402246,,610.0,0.11818361282348633,630,46592,10.200956344604492
