losses/clipfrac,losses/old_approx_kl,_runtime,losses/value_loss,charts/learning_rate,_timestamp,losses/approx_kl,charts/episodic_length,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,_step,charts/SPS,global_step
0.0,0.0057614753022789955,205.53130555152893,0.0054544745944440365,0.0002331029245397076,1763260261.7913516,0.00039392802864313126,,0.4890179932117462,,-0.009051892906427383,-0.5772074460983276,1363,626.0,111616
0.0,-0.000952206552028656,205.76121139526367,0.0002691072295419872,0.00023294931452255696,1763260262.0212574,0.0026277918368577957,,0.5511482357978821,,-0.004734799265861511,-0.14591658115386963,1365,627.0,111872
0.0,0.01853291690349579,206.23742628097534,0.0002807237906381488,0.00023264209448825568,1763260262.4974723,0.0020217373967170715,,0.5628188252449036,,-0.015321813523769379,-0.577763557434082,1370,628.0,112384
0.0,0.0025110282003879547,207.46165585517883,0.00043693644693121314,0.00023202765441965312,1763260263.7217019,2.9509887099266052e-05,,0.5918121933937073,,-0.0017601624131202698,0.07812148332595825,1380,629.0,113408
,,207.49459266662598,,,1763260263.7546387,,500.0,,500.0,,,1381,,113430
0.0,0.0016515357419848442,208.42901849746704,0.006607500370591879,0.0002315668243682012,1763260264.6890645,0.0014793658629059792,,0.5266066789627075,,-0.003606244921684265,-0.13808107376098633,1388,630.0,114176
,,209.27645778656006,,,1763260265.5365038,,500.0,,500.0,,,1395,,114930
0.001953125,0.012182671576738358,209.8630392551422,0.00021428545005619526,0.00023087557929102331,1763260266.1230853,0.0012603718787431717,,0.6221851706504822,,-0.0007391609251499176,-0.2552978992462158,1399,632.0,115328
0.0,-0.005860679782927036,210.59386229515076,0.007575402967631817,0.00023056835925672203,1763260266.8539083,0.000889691524207592,,0.57659512758255,,-0.007626596838235855,-0.06639242172241211,1405,632.0,115840
0.0,-0.0047504594549536705,214.08233547210693,0.0014521710108965635,0.00022903225908521563,1763260270.3423815,0.0004321364685893059,,0.5929505825042725,,-0.008165903389453888,-0.03262805938720703,1432,634.0,118400
0.0,-0.013901297934353352,214.2475085258484,0.0003187183756381273,0.0002289554540766403,1763260270.5075545,0.0013403547927737236,,0.5331385731697083,,-0.018988754600286484,0.2580842971801758,1433,634.0,118528
0.009765625,0.00504679698497057,215.65345191955566,748.1210327148438,0.0002281874039908871,1763260271.913498,0.004374274052679539,,0.46550893783569336,,0.032172106206417084,0.01961451768875122,1455,636.0,119808
0.0,0.021539893001317978,215.7714536190033,0.4403036832809448,0.00022811059898231179,1763260272.0314996,0.0021879738196730614,,0.5101585388183594,,0.02141507714986801,-33.879486083984375,1456,636.0,119936
0.0,-0.003356163389980793,215.88785314559937,0.03425346687436104,0.00022803379397373646,1763260272.1478992,0.0003294786438345909,,0.5699536800384521,,-0.0037741418927907944,-1.2535817623138428,1457,637.0,120064
0.0,0.009698182344436646,222.92715764045715,0.0006717827636748552,0.00022465437359642237,1763260279.1872036,0.00045569613575935364,,0.56558758020401,,0.003241822123527527,-0.12080347537994385,1514,642.0,125696
,,223.79960751533508,,,1763260280.0596535,,500.0,,500.0,,,1521,,126362
