losses/clipfrac,charts/learning_rate,losses/approx_kl,charts/episodic_return,losses/policy_loss,global_step,_runtime,_step,losses/entropy,losses/explained_variance,losses/value_loss,charts/episodic_length,charts/SPS,losses/old_approx_kl,_timestamp
,,,143.0,,7723,32.9540376663208,172,,,,143.0,,,1763260084.1224627
,,,261.0,,9230,34.33096766471863,195,,,,261.0,,,1763260085.4993927
0.0,0.0002942396386060864,1.3718381524085999e-06,,-0.00020767375826835632,9728,34.974215030670166,203,0.579811692237854,-0.006798386573791504,194.54486083984375,,1060.0,-8.216779679059982e-05,1763260086.14264
,,,25.0,,10346,35.70066809654236,213,,,,25.0,,,1763260086.8690932
0.0,0.00029370200354605913,1.6614794731140137e-05,,-0.0012165158987045288,10624,36.04435181617737,217,0.5657325983047485,-0.009908318519592285,186.6913299560547,,1036.0,-0.0006833355873823166,1763260087.212777
,,,176.0,,11359,36.74093556404114,228,,,,176.0,,,1763260087.9093606
,,,147.0,,11676,37.09251666069031,233,,,,147.0,,,1763260088.2609417
,,,83.0,,12711,38.131635427474976,251,,,,83.0,,,1763260089.3000605
,,,125.0,,13253,38.60293936729431,259,,,,125.0,,,1763260089.7713645
,,,88.0,,13595,38.98661661148071,265,,,,88.0,,,1763260090.1550417
,,,136.0,,14166,39.46886849403381,273,,,,136.0,,,1763260090.6372936
0.0,0.00029155146330595016,0.00026551447808742523,,-0.005676452070474625,14208,39.55638790130615,274,0.5573480129241943,0.44879060983657837,65.15117645263672,,1032.0,0.004543734714388847,1763260090.724813
0.0,0.00029070660821162164,8.06618481874466e-05,,-0.0012942999601364136,15616,40.8774573802948,292,0.6103302240371704,0.14986956119537354,136.82884216308594,,1035.0,-0.0011514071375131607,1763260092.0458825
0.0,0.0002894009230658412,4.415586590766907e-05,,0.0016312375664710999,17792,42.887895822525024,321,0.6176495552062988,0.047126591205596924,129.38584899902344,,1041.0,0.0010373760014772415,1763260094.056321
0.0,0.00028917050804011524,0.00119677372276783,,-0.01290581189095974,18176,43.27007484436035,327,0.6030746698379517,0.4575548768043518,96.15231323242188,,1040.0,-0.008499100804328918,1763260094.4385
,,,95.0,,18318,43.39450693130493,330,,,,95.0,,,1763260094.562932
0.0,0.0002890168980229646,2.1663494408130646e-05,,-0.0008875913918018341,18432,43.50515127182007,332,0.5843193531036377,0.07087695598602295,159.54342651367188,,1040.0,0.00048156362026929855,1763260094.6735764
0.0,0.00028878648299723864,5.491916090250015e-05,,0.00044132769107818604,18816,43.846683740615845,337,0.6123132109642029,0.0001309514045715332,116.95360565185547,,1042.0,-0.0009118421003222466,1763260095.0151088
,,,463.0,,19084,44.11234664916992,340,,,,463.0,,,1763260095.2807717
,,,420.0,,21354,46.13683319091797,370,,,,420.0,,,1763260097.3052583
0.0,0.00028701996780000627,0.00023424625396728516,,-0.011628493666648865,21760,46.60615253448486,375,0.5663291215896606,-0.14846265316009521,111.84030151367188,,1045.0,0.002490183338522911,1763260097.7745776
0.0,0.0002859446976799518,2.1556392312049866e-05,,-0.0002685748040676117,23552,48.244667291641235,396,0.5397875905036926,-0.0009986162185668945,94.66635131835938,,1049.0,-0.0010267142206430435,1763260099.4130924
,,,316.0,,25881,50.43748164176941,425,,,,316.0,,,1763260101.6059067
,,,413.0,,27300,51.7789249420166,441,,,,413.0,,,1763260102.94735
0.0,0.00028317971737124026,0.0003004046157002449,,-0.005377430468797684,28160,52.55929374694824,450,0.5345675349235535,0.5475918054580688,54.317752838134766,,1052.0,-0.0014467136934399605,1763260103.7277188
,,,241.0,,30017,54.25698113441467,471,,,,241.0,,,1763260105.4254062
0.0,0.00028156681219115853,1.2956559658050537e-05,,-0.0009783506393432617,30848,55.06552600860596,481,0.5789270401000977,0.01150047779083252,50.49706268310547,,1054.0,-0.0006410479545593262,1763260106.233951
0.0,0.00028118278714828193,0.00021412689238786697,,0.0013292087242007256,31488,55.638978242874146,490,0.5809488892555237,0.8743327260017395,46.133453369140625,,1055.0,-0.000635453499853611,1763260106.8074033
,,,450.0,,32882,56.89169979095459,504,,,,450.0,,,1763260108.0601249
0.0,0.00027972349198535085,0.0002736886963248253,,0.005285801365971565,33920,57.90204906463623,515,0.5637174844741821,0.818533718585968,42.423057556152344,,1056.0,0.006403624080121517,1763260109.0704741
0.0,0.00027895544189959764,0.0001539541408419609,,-0.00148700550198555,35200,59.082263469696045,530,0.531222939491272,0.055705487728118896,176.14427185058594,,1057.0,-0.0019082138314843178,1763260110.2506886
