global_step,losses/approx_kl,_step,charts/SPS,losses/value_loss,_timestamp,losses/entropy,losses/old_approx_kl,charts/episodic_return,losses/policy_loss,charts/episodic_length,charts/learning_rate,_runtime,losses/explained_variance,losses/clipfrac
69504,0.0052602700889110565,1823,1027.0,0.005073020700365305,1763260085.795573,0.25078192353248596,-0.03447522968053818,,0.027088891714811325,,0.0002583717287052423,74.77956104278564,0.8129408955574036,0.095703125
72448,0.0020480994135141373,1851,1030.0,0.002006941707804799,1763260088.4544659,0.23342162370681763,0.0017160680145025253,,-0.006175396963953972,,0.0002566052135080099,77.43845391273499,0.9257514476776123,0.001953125
74112,0.023216700181365013,1868,1027.0,0.0074806516058743,1763260090.3041484,0.19183096289634705,0.04675780609250069,,-0.018728699535131454,,0.00025560674839653075,79.28813648223877,-0.0003396272659301758,0.044921875
74624,0.0049836887046694756,1873,1026.0,0.007737405132502317,1763260090.861772,0.13807547092437744,0.009822813794016838,,-0.006754189729690552,,0.00025529952836222947,79.8457601070404,-0.00014591217041015625,0.0390625
75064,,1877,,,1763260091.3100023,,,500.0,,500.0,,80.29399037361145,,
76032,0.0007059182971715927,1886,1022.0,0.0005706442170776427,1763260092.4865339,0.16507653892040253,-0.009483285248279572,,0.0035843513906002045,,0.00025445467326790094,81.47052192687988,0.921833872795105,0.01171875
77696,0.00011556874960660934,1903,1016.0,0.0004950003349222243,1763260094.5687127,0.1639253944158554,0.0013101575896143913,,0.0002994835376739502,,0.0002534562081564218,83.55270075798035,0.9434223771095276,0.0
78064,,1906,,,1763260094.9151583,,,500.0,,500.0,,83.89914631843567,,
79232,0.003297535702586174,1918,1013.0,0.0014916846994310617,1763260096.3257692,0.193128764629364,-0.0016457010060548782,,-0.013743489980697632,,0.00025253454805351794,85.30975723266602,0.9848222136497498,0.0078125
79488,0.0032383445650339127,1920,1013.0,0.0003290170570835471,1763260096.6105275,0.24407696723937988,-0.01218530535697937,,0.0015612021088600159,,0.0002523809380363673,85.5945155620575,0.9164755344390869,0.005859375
82048,0.0006407704204320908,1945,1007.0,0.00018377737433183938,1763260099.5585701,0.18637380003929138,0.003016578033566475,,-0.0010058870539069176,,0.00025084486696869135,88.54255819320679,0.9427486658096313,0.04296875
83456,0.0009440463036298752,1959,1006.0,0.0007694915402680635,1763260101.0798483,0.18129566311836243,-0.002696176990866661,,-0.0013284832239151,,0.0002500000118743628,90.06383633613586,0.9453561902046204,0.001953125
84864,0.03194241598248482,1973,1006.0,0.00013180139649193734,1763260102.454966,0.25893035531044006,0.12685522437095642,,-0.04107784852385521,,0.0002491551567800343,91.43895411491394,0.9681593179702759,0.125
86064,,1985,,,1763260103.571348,,,500.0,,500.0,,92.55533599853516,,
86656,0.00975244864821434,1991,1007.0,126.24323272705078,1763260104.17941,0.24716179072856903,0.02147190272808075,,-0.0015861671417951584,,0.0002480798866599798,93.16339802742004,-0.00016796588897705078,0.041015625
87808,0.0012917853891849518,2002,1007.0,0.0004731275839731097,1763260105.3354611,0.15978260338306427,-0.0072289761155843735,,-0.0012446455657482147,,0.00024738864158280194,94.31944918632507,0.9447574019432068,0.001953125
88448,0.01195099949836731,2007,1007.0,0.00013209166354499757,1763260105.9064903,0.2922229766845703,0.05441742390394211,,-0.05064147338271141,,0.00024700461653992534,94.89047837257385,0.8692760467529297,0.048828125
89344,0.0005663465708494186,2016,1008.0,4.874691512668505e-05,1763260106.7721758,0.1463017612695694,-0.0019832663238048553,,0.010058969259262085,,0.0002464669814798981,95.75616383552551,0.9812999367713928,0.00390625
90112,0.005920086055994034,2024,1008.0,130.7117156982422,1763260107.5372312,0.21676023304462433,0.04306042939424515,,0.0065661463886499405,,0.0002460061514284462,96.52121925354004,-0.00010013580322265625,0.013671875
90496,0.006660298444330692,2027,1008.0,0.00027888768818229437,1763260107.8774645,0.27068278193473816,0.001581055112183094,,-0.003110872581601143,,0.0002457757364027202,96.86145257949829,0.853570818901062,0.056640625
91136,0.012059117667376995,2034,1009.0,0.0014249500818550587,1763260108.444334,0.20997484028339386,0.043514132499694824,,-0.007408615201711655,,0.0002453917113598436,97.42832207679749,-0.000148773193359375,0.072265625
92288,0.002942824736237526,2045,1009.0,0.00043756296508945525,1763260109.5395691,0.1921101212501526,-0.00042084790766239166,,-0.014150965958833694,,0.00024470046628266573,98.52355718612671,0.9606735706329346,0.044921875
92928,0.001402752473950386,2051,1010.0,1.2475605217332486e-05,1763260110.1436071,0.17707626521587372,-0.0026074182242155075,,0.0033197440207004547,,0.00024431644123978913,99.12759518623352,0.8833857774734497,0.015625
