losses/entropy,global_step,losses/clipfrac,charts/learning_rate,_runtime,losses/value_loss,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/policy_loss,charts/SPS
0.43153899908065796,43520,0.109375,0.0002739631454460323,46.395066261291504,0.08376532047986984,1339,1763260057.0711892,-0.016904227435588837,0.917595386505127,,0.03433665633201599,,-0.058741532266139984,1004.0
0.4660569727420807,43648,0.208984375,0.00027388634043745697,46.51526880264282,0.15757007896900177,1340,1763260057.1913917,0.06734312325716019,0.9241538047790527,,0.08178147673606873,,-0.08592414855957031,1004.0
0.43126359581947327,45952,0.001953125,0.0002725038502831012,48.848843812942505,0.054482050240039825,1363,1763260059.5249667,0.022531822323799133,0.8364895582199097,,0.0032341349869966507,,-0.026087656617164612,1003.0
0.3760937452316284,46208,0.0546875,0.00027235024026595056,49.104982137680054,0.04970385134220123,1365,1763260059.781105,0.046211764216423035,0.2509387135505676,,0.010331873781979084,,-0.037978120148181915,1003.0
0.3244975805282593,46720,0.083984375,0.0002720430202316493,49.59791588783264,0.046689052134752274,1370,1763260060.2740388,0.0579322874546051,0.7609773874282837,,0.017374861985445023,,-0.021337315440177917,1004.0
,47727,,,50.45832324028015,,1380,1763260061.1344461,,,500.0,,500.0,,
0.21925358474254608,47744,0.1328125,0.0002714285801630467,50.5324981212616,39.208595275878906,1381,1763260061.208621,0.04945442080497742,0.00030344724655151367,,0.018100613728165627,,0.006112335249781609,1006.0
0.2656346261501312,48512,0.123046875,0.0002709677501115948,51.19920253753662,0.03906437009572983,1388,1763260061.8753254,0.05035436898469925,0.5192471742630005,,0.013861085288226604,,-0.0384678989648819,1008.0
,49227,,,51.82573080062866,,1395,1763260062.5018537,,,500.0,,500.0,,
0.246427521109581,49664,0.005859375,0.0002702765050344169,52.243337869644165,0.0345587320625782,1399,1763260062.9194608,-0.004339549690485001,0.6857621669769287,,0.00017672032117843628,,0.003946781158447266,1010.0
,50227,,,52.74767756462097,,1405,1763260063.4238005,,,500.0,,500.0,,
0.16605480015277863,52992,0.076171875,0.0002682795748114586,55.24956154823303,0.025143984705209732,1432,1763260065.9256845,0.02483874186873436,0.7297787666320801,,0.008488181978464127,,-0.017553044483065605,1015.0
0.1912984848022461,53120,0.005859375,0.00026820276980288327,55.36081004142761,0.022810518741607666,1433,1763260066.036933,0.01165548712015152,0.7264654040336609,,0.0012555122375488281,,-0.02424577996134758,1015.0
0.22256383299827576,55296,0.05078125,0.0002668970846571028,57.38769459724426,0.03638578951358795,1455,1763260068.0638175,0.005640141665935516,0.00012063980102539062,,0.002187134698033333,,-0.01167529821395874,1018.0
0.2110535353422165,55424,0.0,0.0002668202796485275,57.500224113464355,0.027915438637137413,1456,1763260068.176347,0.006910532712936401,0.8342148661613464,,0.0006271004676818848,,-0.016498355194926262,1018.0
0.29200366139411926,55552,0.044921875,0.0002667434746399522,57.61110210418701,0.022361058741807938,1457,1763260068.287225,0.030036985874176025,0.49433737993240356,,0.00953577645123005,,-0.015172984451055527,1018.0
0.24480101466178894,61312,0.041015625,0.00026328724925406277,62.79536509513855,0.02768438123166561,1514,1763260073.471488,0.03850836306810379,8.392333984375e-05,,0.01133635826408863,,-0.012558722868561745,1026.0
0.23605051636695862,62080,0.0625,0.00026282641920261085,63.51097536087036,0.007920798845589161,1521,1763260074.1870983,0.0775175616145134,0.6234121918678284,,0.012314687483012676,,-0.06556108593940735,1027.0
0.20555901527404785,62720,0.1145833358168602,0.00026244239415973425,64.0967288017273,0.014282101765275002,1527,1763260074.7728517,-0.058065976947546005,0.8012498617172241,,0.03642527759075165,,0.1203538030385971,1027.0
0.2418430745601654,62848,0.0,0.00026236558915115893,64.21276926994324,0.021524010226130486,1529,1763260074.8888922,0.008625109679996967,1.2636184692382812e-05,,0.0016403654590249062,,-0.015654079616069794,1027.0
0.3190601170063019,63360,0.03125,0.00026205836911685765,64.68137741088867,0.015023204497992992,1534,1763260075.3575003,-0.0011855261400341988,0.7102562189102173,,0.006807426922023296,,-0.008607354015111923,1028.0
0.3527563214302063,63616,0.001953125,0.000261904759099707,64.90179491043091,0.008366898633539677,1536,1763260075.5779178,0.010858074761927128,0.14514923095703125,,0.0005388772115111351,,-0.0070911794900894165,1028.0
0.16150394082069397,64256,0.068359375,0.0002615207340568304,65.50166177749634,0.019337035715579987,1543,1763260076.1777847,0.09317675977945328,-5.352497100830078e-05,,0.02520892769098282,,-0.04291793704032898,1029.0
0.15717987716197968,64512,0.01171875,0.00026136712403967977,65.72832608222961,0.004474577959626913,1545,1763260076.404449,0.02110009454190731,0.22524768114089966,,0.004070047289133072,,-0.015626920387148857,1029.0
0.12882237136363983,64640,0.017578125,0.00026129031903110445,65.8411774635315,0.003493459429591894,1546,1763260076.5173004,0.0013398844748735428,0.854992151260376,,0.00045916996896266937,,-0.003974609076976776,1029.0
0.20014360547065735,65792,0.00390625,0.00026059907395392656,66.9059247970581,83.1509780883789,1558,1763260077.5820477,0.01121618039906025,-2.2411346435546875e-05,,0.0021229619160294533,,0.001616867259144783,1030.0
0.19151663780212402,65920,0.08984375,0.00026052226894535124,67.01634883880615,0.010070696473121643,1559,1763260077.6924717,0.002610703930258751,0.7361103892326355,,0.002038136124610901,,0.0007806280627846718,1030.0
0.22794613242149353,66304,0.005859375,0.0002602918539196253,67.38825798034668,84.30757141113281,1563,1763260078.064381,0.029809150844812393,5.0067901611328125e-06,,0.0020021311938762665,,0.005008582025766373,1030.0
0.20300933718681335,66688,0.046875,0.0002600614388938993,67.72115063667297,0.005900077987462282,1566,1763260078.3972735,0.006971364840865135,0.3823740482330322,,0.0018452927470207214,,-0.010435841977596283,1031.0
0.12384282797574997,68992,0.03515625,0.00025867894873954356,69.79005312919617,0.004346191883087158,1589,1763260080.466176,0.02424844354391098,0.8135908842086792,,0.0074708713218569756,,-0.012904681265354156,1034.0
