losses/old_approx_kl,losses/explained_variance,losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/episodic_length,losses/entropy,_step,global_step,losses/approx_kl,losses/clipfrac,charts/learning_rate,_runtime,_timestamp
,,,,13.0,,13.0,,1432,48358,,,,51.93740224838257,1763260062.9671283
,,,,15.0,,15.0,,1433,48373,,,,51.944955587387085,1763260062.9746816
,,,,13.0,,13.0,,1455,48632,,,,52.21198058128357,1763260063.2417066
-0.00232490710914135,-0.0017402172088623047,-0.004902191460132599,86.28890991210938,,1004.0,,0.43343907594680786,1456,48640,0.0019538626074790955,0.0,0.0002708909451030195,52.286396503448486,1763260063.3161225
,,,,12.0,,12.0,,1457,48644,,,,52.28944730758667,1763260063.3191733
,,,,13.0,,13.0,,1514,49266,,,,53.036906242370605,1763260064.0666323
,,,,12.0,,12.0,,1521,49339,,,,53.15324282646179,1763260064.1829689
-0.003363588824868202,-0.0015655755996704102,0.007138736546039581,122.70256042480469,,1000.0,,0.44140636920928955,1527,49408,0.000487620010972023,0.0,0.00027043011505156755,53.25698518753052,1763260064.2867112
,,,,11.0,,11.0,,1529,49421,,,,53.265122175216675,1763260064.2948482
,,,,10.0,,10.0,,1534,49476,,,,53.292898654937744,1763260064.3226247
,,,,12.0,,12.0,,1536,49500,,,,53.306522369384766,1763260064.3362484
,,,,11.0,,11.0,,1543,49582,,,,53.43001675605774,1763260064.4597428
,,,,10.0,,10.0,,1545,49602,,,,53.43988037109375,1763260064.4696064
,,,,11.0,,11.0,,1546,49613,,,,53.445987701416016,1763260064.4757137
,,,,10.0,,10.0,,1558,49740,,,,53.5801305770874,1763260064.6098566
,,,,11.0,,11.0,,1559,49751,,,,53.58578848838806,1763260064.6155145
0.0030757542699575424,-0.0009239912033081055,-0.004626542329788208,119.73603820800781,,1000.0,,0.4391602873802185,1563,49792,0.00013258680701255798,0.0,0.0002701997000258416,53.679402112960815,1763260064.7091281
,,,,12.0,,12.0,,1566,49818,,,,53.69389319419861,1763260064.7236192
,,,,11.0,,11.0,,1589,50060,,,,54.08562731742859,1763260065.1153533
,,,,12.0,,12.0,,1597,50156,,,,54.145461082458496,1763260065.175187
,,,,12.0,,12.0,,1607,50270,,,,54.29079294204712,1763260065.320519
