_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
1851,95.92460322380066,95872,1763260106.9406383,,0.006303589791059494,0.21220189332962036,-0.041457876563072205,,0.033203125,0.07720915973186493,0.16677378118038177,0.00024254992604255676,1035.0,5.622314347419888e-06
1868,97.53513717651367,97536,1763260108.5511723,,0.004073081538081169,0.6795328855514526,0.015139074996113777,,0.01953125,-0.011831287294626236,0.14149168133735657,0.0002415514609310776,1035.0,0.000322407518979162
1873,98.04376411437988,98048,1763260109.0597992,,0.00127361249178648,0.37799763679504395,-0.004224023781716824,,0.033203125,0.005172915756702423,0.17307829856872559,0.00024124424089677632,1035.0,0.0007768029463477433
1877,98.44100975990295,98432,1763260109.4570448,,0.009546826593577862,-1.7642974853515625e-05,0.023100022226572037,,0.06640625,-0.0034776031970977783,0.18098144233226776,0.00024101382587105036,1034.0,0.0024884084705263376
1886,99.40011239051819,99400,1763260110.4161475,500.0,,,,500.0,,,,,,
1903,101.23807072639465,101120,1763260112.2541058,,0.0014313673600554466,-1.227689504623413,0.0014368100091814995,,0.06640625,-0.004905253648757935,0.17990970611572266,0.00023940092069096863,1032.0,0.001121772569604218
1906,101.49939918518066,101400,1763260112.5154343,500.0,,,,500.0,,,,,,
1918,103.00477242469788,102784,1763260114.0208075,,0.010573732666671276,-1.6071181297302246,0.02522672712802887,,0.095703125,-0.01399092748761177,0.304929256439209,0.00023840245557948947,1031.0,6.864780152682215e-05
1920,103.135409116745,102912,1763260114.1514442,,9.55536961555481e-07,-3.0040740966796875e-05,-0.00022276118397712708,,0.04296875,-0.0001936890184879303,0.15052655339241028,0.00023832565057091415,1030.0,141.26751708984375
1945,105.70376682281494,105472,1763260116.719802,,0.0006745560094714165,8.225440979003906e-06,0.009504570625722408,,0.00390625,0.00040780752897262573,0.1540350466966629,0.00023678955039940774,1030.0,141.7575225830078
1959,107.09546971321106,106900,1763260118.1115048,500.0,,,,500.0,,,,,,
1973,108.4680712223053,108400,1763260119.4841063,500.0,,,,500.0,,,,,,
1985,109.62101483345032,109568,1763260120.63705,,0.0034885574132204056,-0.18293976783752441,0.03734136000275612,,0.0078125,-0.05108170211315155,0.16775628924369812,0.0002343317901249975,1030.0,0.0003779877151828259
1991,110.17831301689148,110208,1763260121.194348,,0.00016981735825538635,0.08023935556411743,0.0024986863136291504,,0.0,-0.004798412322998047,0.13525785505771637,0.00023394777963403612,1031.0,2.4160621251212433e-05
2002,111.22000002861023,111360,1763260122.236035,,0.000521242618560791,0.36508631706237793,-0.009977065026760101,,0.033203125,0.006869945675134659,0.17409014701843262,0.00023325653455685824,1031.0,8.310301200253889e-05
2007,111.71144509315491,111872,1763260122.7274802,,0.004470573738217354,0.3670341968536377,-0.012554196640849113,,0.0390625,0.024535374715924263,0.15988139808177948,0.00023294931452255696,1032.0,8.198595605790615e-05
2016,112.49464011192322,112768,1763260123.5106752,,0.03744446858763695,0.4832732081413269,0.04372349753975868,,0.0885416641831398,-0.021161671727895737,0.19739662110805511,0.00023241167946252972,1032.0,3.971816840930842e-05
2024,113.17437076568604,113536,1763260124.1904058,,0.038315244019031525,0.7197431325912476,0.10537576675415039,,0.068359375,-0.04539141803979874,0.1918843686580658,0.0002319508494110778,1033.0,0.00014212459791451693
2027,113.43187475204468,113900,1763260124.4479098,500.0,,,,500.0,,,,,,
2034,114.09919929504395,114560,1763260125.1152344,,0.004646521992981434,0.5178377628326416,0.016176309436559677,,0.041015625,0.004154391586780548,0.20178553462028503,0.00023133640934247524,1034.0,0.0006930779200047255
2045,115.12253475189209,115712,1763260126.1385698,,0.04729555919766426,0.13560962677001953,0.028709476813673973,,0.1119791641831398,-0.02611679397523403,0.24049653112888336,0.00023064516426529735,1034.0,4.749706567963585e-05
2051,115.68195939064026,116352,1763260126.6979945,,0.0016989074647426605,0.12877917289733887,0.009971428662538528,,0.03125,-0.025431189686059952,0.1918615996837616,0.00023026113922242075,1035.0,0.00010078817285830155
2052,115.6985867023468,116400,1763260126.7146218,500.0,,,,500.0,,,,,,
2070,117.38316488265991,118272,1763260128.3992,,6.103888154029846e-06,0.7833911776542664,0.0006908420473337173,,0.03515625,-0.0013749566860496998,0.18940326571464539,0.00022910906409379095,1036.0,0.0004750547232106328
2076,117.9637999534607,118912,1763260128.979835,,0.016958244144916534,0.013975381851196289,0.008856896311044693,,0.07421875,-0.013253461569547653,0.1388883888721466,0.00022872503905091435,1037.0,0.008179978467524052
2093,119.64509057998657,120704,1763260130.6611257,,0.035367775708436966,0.9836282134056091,0.0929563120007515,,0.125,-0.03725675493478775,0.19382953643798828,0.00022764976893085986,1037.0,0.00014380371430888772
2094,119.78807830810547,120832,1763260130.8041134,,7.340684533119202e-06,0.9924627542495728,-0.0010489262640476227,,0.0,0.0011180490255355835,0.20010314881801605,0.00022757296392228454,1037.0,0.00020962703274562955
2117,122.45761060714722,123136,1763260133.4736457,,0.0011624637991189957,0.9804292321205139,0.006786752492189407,,0.00390625,0.005390956997871399,0.2866721451282501,0.00022619047376792878,1033.0,2.6941261239699088e-05
2146,125.41489338874817,126080,1763260136.4309285,,0.0012230407446622849,0.9845659732818604,0.011910142377018929,,0.005859375,-0.0035568997263908386,0.17613485455513,0.0002244239585706964,1032.0,2.678569762792904e-05
2148,125.67379713058472,126336,1763260136.6898322,,0.024620909243822098,0.9784302115440369,0.0476212240755558,,0.07421875,-0.04366263002157211,0.2631925046443939,0.00022427034855354577,1032.0,0.0031418988946825266
2155,126.26533675193787,126976,1763260137.2813718,,0.058325231075286865,0.07043355703353882,0.10282716900110245,,0.0729166641831398,-0.06699492037296295,0.24356135725975037,0.00022388632351066917,1032.0,0.011894569732248783
2172,127.82411575317383,128768,1763260138.8401508,,0.05652421712875366,0.989366888999939,0.12184417247772217,,0.18359375,-0.08613580465316772,0.24230916798114777,0.0002228110533906147,1034.0,0.0008035223581828177
2185,128.90757274627686,130048,1763260139.9236078,,0.03429073095321655,0.9845473170280457,0.05586204677820206,,0.1354166716337204,-0.025378983467817307,0.23253408074378967,0.00022204301785677671,1035.0,0.00029679943691007793
2192,129.5377073287964,130816,1763260140.5537424,,0.006589226424694061,0.9951684474945068,0.0034912750124931335,,0.064453125,0.011705949902534485,0.26411211490631104,0.0002215821878053248,1036.0,0.00054626987548545
2199,130.09428668022156,131456,1763260141.1103218,,0.0327996090054512,0.07195097208023071,-0.020831162109971046,,0.0494791679084301,0.2650192975997925,0.174402117729187,0.0002211981627624482,1036.0,136.54568481445312
2211,131.15948605537415,132736,1763260142.1755211,,0.12679988145828247,0.9825526475906372,0.2091953456401825,,0.1328125,-0.08235254883766174,0.17622317373752594,0.000220430112676695,1038.0,0.000896406767424196
2214,131.35389137268066,132992,1763260142.3699265,,0.0033961860463023186,0.09093177318572998,-0.013707171194255352,,0.04296875,-0.024627402424812317,0.25262966752052307,0.00022027650265954435,1038.0,0.0164873655885458
2220,131.8771436214447,133632,1763260142.8931787,,0.002459915354847908,0.9938826560974121,0.008947426453232765,,0.01171875,0.0021497979760169983,0.30104389786720276,0.00021989247761666775,1039.0,3.630647552199662e-05
2223,132.11525583267212,133900,1763260143.131291,500.0,,,,500.0,,,,,,
2225,132.3328046798706,134144,1763260143.3488398,,0.058092668652534485,0.9911981821060181,0.1588335484266281,,0.09375,-0.062375765293836594,0.1658540666103363,0.00021958525758236647,1039.0,0.00012326345313340425
2226,132.4117341041565,134272,1763260143.4277692,,0.058708515018224716,0.9976679682731628,0.09112490713596344,,0.21484375,-0.04728345572948456,0.25804540514945984,0.00021950845257379115,1040.0,0.0005877913208678365
2227,132.52818989753723,134400,1763260143.544225,500.0,0.10444392263889313,0.03824615478515625,0.1545124650001526,500.0,0.12109375,-0.09092295169830322,0.22065719962120056,0.00021943164756521583,1040.0,0.009171020239591599
2235,133.24854183197021,135296,1763260144.264577,,0.09550392627716064,0.9883054494857788,0.22936591506004333,,0.20703125,-0.0901004895567894,0.25896960496902466,0.00021889401250518858,1041.0,0.0016881701303645968
2241,133.6770830154419,135900,1763260144.693118,500.0,,,,500.0,,,,,,
2248,134.30683159828186,136576,1763260145.3228667,,0.05730883777141571,0.9909830093383789,0.13185414671897888,,0.1432291716337204,-0.07615244388580322,0.2616008222103119,0.00021812596241943538,1042.0,2.2284777514869347e-05
