losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
,116.0,1118,,116.0,1763260045.8263001,,,,34.88576006889343,31417,,,,
,30.0,1133,,30.0,1763260046.303739,,,,35.36319899559021,31947,,,,
,37.0,1145,,37.0,1763260046.6663065,,,,35.72576642036438,32355,,,,
,43.0,1164,,43.0,1763260047.291203,,,,36.35066294670105,32954,,,,
0.002867838367819786,,1172,0.00028018432203680277,,1763260047.5099475,0.27711111307144165,-0.010939478874206543,-0.005958244204521179,36.56940746307373,33152,0.00030619651079177856,0.18224939703941345,981.0,0.0
,39.0,1181,,39.0,1763260047.780959,,,,36.84041881561279,33495,,,,
-0.0022008661180734634,,1186,0.0002798771020025015,,1763260048.030632,0.26194751262664795,-0.02680361270904541,-0.001220962032675743,37.090091943740845,33664,0.001492457464337349,47.52325439453125,981.0,0.0
,34.0,1197,,34.0,1763260048.2874317,,,,37.34689164161682,33960,,,,
,48.0,1213,,48.0,1763260048.7634408,,,,37.82290077209473,34473,,,,
,36.0,1215,,36.0,1763260048.7919815,,,,37.851441383361816,34544,,,,
,46.0,1226,,46.0,1763260049.163199,,,,38.22265887260437,34843,,,,
,35.0,1230,,35.0,1763260049.2835598,,,,38.34301972389221,34975,,,,
,31.0,1234,,31.0,1763260049.4009109,,,,38.460370779037476,35105,,,,
,51.0,1245,,51.0,1763260049.7706995,,,,38.830159425735474,35535,,,,
,73.0,1271,,73.0,1763260050.7333183,,,,39.7927782535553,36504,,,,
-0.038138844072818756,,1299,0.0002775729517452419,,1763260051.8127701,0.27505654096603394,-0.0025305747985839844,-0.002804592251777649,40.872230052948,37504,0.006348157301545143,45.318389892578125,985.0,0.013671875
,49.0,1339,,49.0,1763260053.4996092,,,,42.55906915664673,39293,,,,
-0.0070533109828829765,,1340,0.0002764976816251874,,1763260053.573522,0.2139366865158081,0.944253146648407,-0.0031503643840551376,42.63298201560974,39296,0.0011776452884078026,47.09146499633789,986.0,0.017578125
,84.0,1363,,84.0,1763260054.6122022,,,,43.67166209220886,40410,,,,
,58.0,1365,,58.0,1763260054.7101195,,,,43.76957941055298,40468,,,,
0.0008762422949075699,,1370,0.00027565285563468933,,1763260054.9448802,0.1260894536972046,0.8705946207046509,8.48621129989624e-05,44.004340171813965,40704,0.00016609206795692444,48.86366271972656,987.0,0.0
,61.0,1380,,61.0,1763260055.3598125,,,,44.41927242279053,41190,,,,
-0.011406578123569489,,1381,0.00027534563560038805,,1763260055.4442153,0.20179684460163116,0.937536895275116,-0.011152654886245728,44.50367522239685,41216,0.001415921375155449,0.23478946089744568,988.0,0.001953125
,49.0,1388,,49.0,1763260055.7748992,,,,44.83435916900635,41579,,,,
,74.0,1395,,74.0,1763260056.1271894,,,,45.186649322509766,41884,,,,
,70.0,1399,,70.0,1763260056.283786,,,,45.34324598312378,42082,,,,
,151.0,1432,,151.0,1763260058.1104512,,,,47.16991114616394,43841,,,,
0.13140198588371277,,1433,0.0002737327304203063,,1763260058.204587,0.18013763427734375,0.05312412977218628,-0.07911756634712219,47.26404690742493,43904,0.06954773515462875,0.02860274352133274,987.0,0.09375
,200.0,1455,,200.0,1763260059.7252572,,,,48.784717082977295,45445,,,,
0.007749129086732864,,1456,0.00027273426530882716,,1763260059.873509,0.25335127115249634,0.7956176400184631,-0.011582568287849426,48.932968854904175,45568,0.0009864363819360733,0.24170145392417908,987.0,0.0
0.055169727653265,,1457,0.00027265746030025184,,1763260059.9950078,0.2810951769351959,0.9759738445281982,-0.012024454772472382,49.05446767807007,45696,0.03295813500881195,0.1577405333518982,987.0,0.10546875
,18.0,1514,,18.0,1763260063.3493705,,,,52.408830404281616,49328,,,,
,17.0,1521,,17.0,1763260063.4906838,,,,52.55014371871948,49503,,,,
,14.0,1527,,14.0,1763260063.6049845,,,,52.66444444656372,49587,,,,
,14.0,1529,,14.0,1763260063.617791,,,,52.67725086212158,49613,,,,
,12.0,1534,,12.0,1763260063.7191057,,,,52.778565645217896,49672,,,,
,18.0,1536,,18.0,1763260063.7482054,,,,52.80766534805298,49742,,,,
,13.0,1543,,13.0,1763260063.8739314,,,,52.93339133262634,49861,,,,
,17.0,1545,,17.0,1763260063.8865259,,,,52.94598579406738,49889,,,,
,17.0,1546,,17.0,1763260063.8960671,,,,52.95552706718445,49906,,,,
,13.0,1558,,13.0,1763260064.190522,,,,53.24998188018799,50083,,,,
,18.0,1559,,18.0,1763260064.205662,,,,53.265121936798096,50101,,,,
0.014308333396911621,,1563,0.00026996928500011563,,1763260064.3671658,0.5389236211776733,-0.003027796745300293,-0.00010159611701965332,53.42662572860718,50176,0.0036239363253116608,0.18498748540878296,991.0,0.001953125
,17.0,1566,,17.0,1763260064.410485,,,,53.46994495391846,50265,,,,
