index,seed,gae_lambda
610,22,0.99
611,2,0.995
612,18,0.99
613,24,0.995
614,19,0.96
615,14,0.99
616,28,0.995
617,15,0.995
618,19,0.995
619,12,0.995
620,12,0.99
621,5,0.995
622,25,0.995
623,13,0.99
624,5,0.99
625,13,0.995
626,15,0.99
627,27,0.99
628,26,0.99
629,11,0.995
630,6,0.995
631,26,0.995
632,19,0.99
633,17,0.995
634,14,0.995
635,0,0.995
636,20,0.995
637,10,0.995
638,4,0.995
639,8,0.99
640,9,0.995
641,27,0.995
642,21,0.99
643,7,0.99
644,29,0.99
645,10,0.99
646,3,0.995
647,24,0.99
648,8,0.995
649,6,0.99
650,29,0.995
651,18,0.955
652,18,0.995
653,5,0.96
654,12,0.965
655,12,0.96
656,24,0.98
657,2,0.96
658,12,0.985
659,0,0.985
660,11,0.98
661,0,0.965
662,5,0.985
663,6,0.965
664,2,0.965
665,19,0.98
666,8,0.965
667,24,0.96
668,23,0.985
669,5,0.965
670,26,0.955
671,11,0.96
672,20,0.96
673,18,0.985
674,22,0.96
675,23,0.98
676,25,0.96
677,20,0.98
678,3,0.99
679,8,0.985
680,26,0.96
681,10,0.96
682,15,0.985
683,27,0.98
684,11,0.985
685,8,0.96
686,17,0.96
687,9,0.965
688,16,0.98
689,10,0.965
690,29,0.96
691,13,0.965
692,27,0.955
693,22,0.98
694,15,0.98
695,12,0.98
696,3,0.985
697,14,0.98
698,16,0.985
699,28,0.96
700,10,0.985
701,16,0.96
702,14,0.985
703,4,0.985
704,11,0.965
705,13,0.96
706,21,0.98
707,17,0.98
708,13,0.98
709,9,0.985
710,26,0.985
711,7,0.96
712,22,0.955
713,25,0.955
714,4,0.96
715,18,0.98
716,4,0.965
717,13,0.985
718,26,0.98
719,25,0.98
720,19,0.955
721,28,0.955
722,1,0.965
723,10,0.98
724,27,0.985
725,21,0.96
726,23,0.96
727,7,0.965
728,15,0.96
729,17,0.985
730,3,0.965
731,20,0.955
732,18,0.96
733,6,0.96
734,14,0.96
735,24,0.955
736,17,0.955
737,6,0.985
738,29,0.985
739,28,0.985
740,1,0.99
741,21,0.955
742,28,0.98
743,0,0.99
744,2,0.99
745,24,0.985
746,29,0.955
747,29,0.98
748,2,0.985
749,1,0.985
750,23,0.955
751,27,0.96
752,21,0.985
753,7,0.985
754,20,0.985
755,0,0.96
756,1,0.96
757,9,0.96
758,19,0.985
759,3,0.96
760,22,0.985
761,25,0.985
762,7,0.95
763,17,0.95
764,15,0.955
765,5,0.95
766,0,0.955
767,24,0.95
768,25,0.95
769,8,0.955
770,2,0.95
771,1,0.95
772,3,0.955
773,9,0.95
774,12,0.955
775,0,0.95
776,29,0.945
777,25,0.945
778,8,0.95
779,21,0.945
780,11,0.955
781,23,0.95
782,22,0.945
783,2,0.955
784,4,0.955
785,27,0.95
786,12,0.95
787,26,0.95
788,28,0.945
789,29,0.95
790,16,0.955
791,13,0.955
792,21,0.95
793,10,0.95
794,3,0.95
795,19,0.95
796,10,0.955
797,26,0.945
798,27,0.945
799,18,0.95
800,24,0.945
801,20,0.95
802,11,0.95
803,28,0.95
804,1,0.955
805,6,0.95
806,5,0.955
807,22,0.95
808,14,0.95
809,7,0.955
810,6,0.955
811,9,0.955
812,16,0.95
813,13,0.95
814,15,0.95
815,14,0.955
816,4,0.95
817,23,0.945
818,11,0.975
819,6,0.975
820,24,0.97
821,21,0.965
822,0,0.975
823,8,0.97
824,5,0.975
825,26,0.965
826,25,0.965
827,29,0.965
828,5,0.97
829,22,0.97
830,7,0.975
831,20,0.97
832,4,0.975
833,22,0.965
834,1,0.975
835,1,0.97
836,23,0.965
837,4,0.97
838,11,0.97
839,2,0.975
840,20,0.965
841,3,0.975
842,23,0.97
843,27,0.965
844,29,0.97
845,14,0.965
846,21,0.97
847,9,0.97
848,7,0.97
849,15,0.97
850,13,0.975
851,25,0.97
852,19,0.97
853,27,0.97
854,16,0.965
855,2,0.97
856,17,0.97
857,16,0.97
858,9,0.975
859,12,0.975
860,17,0.965
861,10,0.97
862,10,0.975
863,0,0.97
864,14,0.97
865,24,0.965
866,18,0.97
867,18,0.965
868,26,0.97
869,19,0.965
870,3,0.97
871,15,0.965
872,28,0.97
873,13,0.97
874,28,0.965
875,8,0.975
876,6,0.97
877,12,0.97
878,16,1.0
879,18,1.0
880,17,1.0
881,15,1.0
882,8,1.0
883,11,1.0
884,10,1.0
885,13,1.0
886,14,1.0
887,12,1.0
888,9,1.0
889,21,1.0
890,27,1.0
891,19,1.0
892,26,1.0
893,24,1.0
894,25,1.0
895,29,1.0
896,28,1.0
897,23,1.0
898,20,1.0
899,22,1.0
