losses/entropy,losses/value_loss,losses/clipfrac,losses/policy_loss,charts/episodic_return,losses/approx_kl,charts/SPS,charts/learning_rate,losses/explained_variance,_timestamp,charts/episodic_length,global_step,_runtime,losses/old_approx_kl,_step
0.547684371471405,7.641088962554932,0.04296875,0.00455542653799057,,0.006996876560151577,995.0,0.00029339478351175785,0.683452844619751,1763260042.8461778,,11136,14.555598735809326,0.019847549498081207,273
,,,,176.0,,,,,1763260042.8918474,176.0,11230,14.601268291473389,,274
0.542385458946228,4.2684454917907715,0.0,-0.004545621573925018,,0.0008390322327613831,986.0,0.00029254992841742933,0.5276914238929749,1763260044.3742943,,12544,16.083715200424194,-0.008125649765133858,292
,,,,171.0,,,,,1763260046.6377728,171.0,14955,18.347193717956543,,327
0.4966386556625366,4.894122123718262,0.009765625,-0.02178644947707653,,0.006813262589275837,994.0,0.0002910138282459229,0.7708523273468018,1763260046.8585556,,15104,18.567976474761963,0.04142133891582489,330
,,,,148.0,,,,,1763260046.993929,148.0,15246,18.703349828720093,,332
0.5024916529655457,2.501622200012207,0.0,-0.002449512481689453,,0.00014943629503250122,996.0,0.00029070660821162164,0.9479118585586548,1763260047.3302493,,15616,19.03967022895813,-0.0010490268468856812,337
,,,,136.0,,,,,1763260047.4759614,136.0,15837,19.18538236618042,,340
0.4796535074710846,23.673973083496094,0.0,0.0023564547300338745,,0.00013970211148262024,1005.0,0.0002894009230658412,0.6991041898727417,1763260049.3548625,,17792,21.06428337097168,9.350106120109558e-05,370
,,,,119.0,,,,,1763260050.9220464,119.0,19557,22.63146734237671,,396
0.5793614983558655,2.6528611183166504,0.0,-0.021201953291893005,153.0,0.001142808236181736,1015.0,0.00028732718783430755,0.9851329326629639,1763260052.5923278,153.0,21248,24.301748752593994,0.012794525362551212,425
0.5183688402175903,2.331519842147827,0.0,-0.024813035503029823,,0.0011635981500148773,1016.0,0.0002867895527742803,0.981352686882019,1763260053.4451041,,22144,25.1545250415802,0.01418771967291832,441
0.5576327443122864,1.7468382120132446,0.0,-0.0005078651010990143,,7.782969623804092e-05,1019.0,0.0002864055277314037,0.9929736852645874,1763260054.014652,,22784,25.72407293319702,-0.0001256810501217842,450
,,,,171.0,,,,,1763260055.5445783,171.0,24413,27.25399923324585,,471
0.5689855813980103,1.1982465982437134,0.0,-6.68652355670929e-05,,0.0007075285539031029,1022.0,0.00028502303757704794,0.9929389953613281,1763260056.1995294,,25088,27.908950328826904,0.007527143694460392,481
,,,,137.0,,,,,1763260056.7077482,137.0,25622,28.417169094085693,,490
,,,,144.0,,,,,1763260057.5315745,144.0,26592,29.240995407104492,,504
,,,,222.0,,,,,1763260058.251707,222.0,27338,29.961127996444702,,515
,,,,140.0,,,,,1763260059.2907538,140.0,28452,31.00017476081848,,530
,,,,165.0,,,,,1763260059.8915527,165.0,29101,31.60097360610962,,539
0.5719669461250305,0.6813712120056152,0.0,-0.0027363933622837067,,0.00020394101738929749,1031.0,0.0002822580572683364,0.9961802363395691,1763260060.4633548,,29696,32.172775745391846,0.0022538695484399796,547
,,,,141.0,,,,,1763260060.956084,141.0,30213,32.665504932403564,,555
,,,,109.0,,,,,1763260061.2186503,109.0,30573,32.92807126045227,,559
0.5275543332099915,0.9683524370193481,0.0,-0.005211774259805679,,0.000762326642870903,1033.0,0.00028133639716543257,0.9037673473358154,1763260061.8885236,,31232,33.597944498062134,-0.001994820311665535,568
0.5745925903320312,50.066558837890625,0.0,-0.0034240111708641052,,2.2306106984615326e-05,1038.0,0.0002799539070110768,-0.0011583566665649414,1763260063.964805,,33536,35.67422580718994,0.00015590619295835495,595
,,,,194.0,,,,,1763260065.1486847,194.0,34902,36.85810565948486,,612
,,,,76.0,,,,,1763260065.24591,76.0,34978,36.95533084869385,,614
0.5812748670578003,0.613246738910675,0.0,0.009453468024730682,,0.002176743932068348,1042.0,0.0002784946118481457,0.9757323861122131,1763260066.1794662,,35968,37.88888716697693,-0.01810307428240776,630
0.584301233291626,36.674591064453125,0.015625,0.037160102277994156,,0.0037775952368974686,1042.0,0.00027826419682241976,0.4295790195465088,1763260066.520945,,36352,38.23036599159241,-0.011592036113142967,636
,,,,142.0,,,,,1763260066.7515783,142.0,36621,38.46099925041199,,640
0.5001278519630432,0.6197865009307861,0.0,0.004765674471855164,,0.00020822975784540176,1045.0,0.00027749614673666656,0.06994104385375977,1763260067.6741688,,37632,39.38358974456787,-0.008355685509741306,650
,,,,344.0,,,,,1763260068.891514,344.0,39034,40.600934982299805,,664
0.5609791278839111,0.1826593279838562,0.03515625,0.001401260495185852,,0.009401706047356129,1049.0,0.000275576050626114,0.9954586029052734,1763260070.5865083,,40832,42.295929193496704,-0.020671553909778595,684
0.5741801261901855,0.557582437992096,0.0,-0.008326135575771332,,0.0013104239478707314,1049.0,0.00027534563560038805,0.9962207078933716,1763260070.9273956,,41216,42.63681650161743,0.005788666196167469,689
0.543696403503418,0.3236429691314697,0.00390625,-0.024831097573041916,,0.002187003381550312,1050.0,0.0002748080005403608,0.3019700050354004,1763260071.7398798,,42112,43.44930076599121,0.013588618487119675,698
,,,,192.0,,,,,1763260071.9747999,192.0,42383,43.68422079086304,,702
0.545703113079071,0.2669318914413452,0.0,-0.0007816161960363388,,7.720105350017548e-05,1048.0,0.0002743471704889089,0.9192689657211304,1763260072.5430965,,42880,44.25251746177673,0.001743825152516365,707
0.587993860244751,112.57612609863281,0.0,-0.005198903381824493,,0.000220397487282753,1050.0,0.00027304148534312844,0.0005682110786437988,1763260074.5383263,,45056,46.24774718284607,-0.0027811843901872635,729
0.5498840808868408,0.13028833270072937,0.0,-0.029726121574640274,,0.0013492684811353683,1043.0,0.0002713517751544714,0.26779240369796753,1763260077.5584757,,47872,49.26789665222168,0.02726234495639801,757
,,,,67.0,,,,,1763260078.0404441,67.0,48142,49.74986505508423,,762
,,,,115.0,,,,,1763260078.5823615,115.0,48571,50.29178237915039,,767
0.46664905548095703,0.2094273865222931,0.0,5.288049578666687e-06,,5.764700472354889e-05,1026.0,0.0002705069200601429,-0.07164955139160156,1763260079.6847289,,49280,51.39414978027344,-0.0012204609811306,775
,,,,285.0,,,,,1763260081.3467848,285.0,50405,53.05620574951172,,788
,,,,231.0,,,,,1763260082.5811517,231.0,51105,54.29057264328003,,797
,,,,122.0,,,,,1763260083.5713928,122.0,51824,55.280813694000244,,806
,,,,130.0,,,,,1763260084.3599102,130.0,52455,56.06933116912842,,815
0.5092059969902039,9.757704734802246,0.00390625,0.025018777698278427,,0.0026663662865757942,977.0,0.00026628264458850026,0.16516417264938354,1763260089.2566001,,56320,60.9660210609436,-0.011305243708193302,863
0.4608674645423889,0.03812862187623978,0.0,-0.0006550438702106476,,0.0002530049532651901,974.0,0.00026582181453704834,0.8758306503295898,1763260090.2204108,,57088,61.929831743240356,0.00012008659541606903,872
0.4590030908584595,29.421489715576172,0.0,-0.007570676505565643,,0.00033416785299777985,974.0,0.0002655913995113224,0.5066220760345459,1763260090.6459801,,57472,62.355401039123535,-0.0012019593268632889,876
0.5532404184341431,24.81755828857422,0.0,0.010050185024738312,,0.001144864596426487,965.0,0.00026382488431409,0.5947441458702087,1763260094.2092106,,60416,65.9186315536499,-0.001106499694287777,922
0.5606282949447632,0.20191703736782074,0.025390625,0.009632837027311325,,0.005470821633934975,966.0,0.0002634408592712134,0.9822734594345093,1763260094.8684654,,61056,66.57788634300232,0.029805725440382957,930
0.5876870155334473,0.231761634349823,0.0,-0.0011812299489974976,,0.0002547549083828926,967.0,0.0002629800292197615,0.871379017829895,1763260095.553022,,61824,67.26244282722473,0.004968334920704365,938
