losses/old_approx_kl,losses/value_loss,charts/episodic_return,losses/policy_loss,losses/entropy,losses/approx_kl,charts/SPS,losses/clipfrac,charts/episodic_length,_runtime,_timestamp,charts/learning_rate,losses/explained_variance,_step,global_step
-0.006098885089159012,0.4371587336063385,,0.011804267764091492,0.4839933216571808,0.0009409748017787933,1048.0,0.0,,44.127185344696045,1763260072.0230622,0.00027457758551463485,0.5134420394897461,650,42496
,,328.0,,,,,,328.0,45.182865142822266,1763260073.078742,,,664,43683
0.0005485005676746368,0.21474310755729675,,-0.0008422471582889557,0.45629191398620605,0.001060526818037033,1050.0,0.0,,46.986098766326904,1763260074.8819757,0.00027273426530882716,0.564864456653595,684,45568
,,168.0,,,,,,168.0,47.315579414367676,1763260075.2114563,,,689,45914
-0.004276110790669918,57.528499603271484,,-0.016912352293729782,0.5274595022201538,0.0018859030678868294,1050.0,0.001953125,,47.97182369232178,1763260075.8677006,0.0002721198252402246,0.8496235609054565,698,46592
,,165.0,,,,,,165.0,48.22391867637634,1763260076.1197956,,,702,46898
,,219.0,,,,,,219.0,48.58309364318848,1763260076.4789705,,,707,47242
,,88.0,,,,,,88.0,51.07219982147217,1763260078.9680767,,,729,48860
,,100.0,,,,,,100.0,54.18330645561218,1763260082.0791833,,,757,50679
-0.0009984290227293968,5.357791900634766,,-0.0036227237433195114,0.47250860929489136,0.0004470432177186012,995.0,0.0,,54.7973895072937,1763260082.6932664,0.0002695084549486637,0.9434617161750793,762,50944
,,117.0,,,,,,117.0,55.28304982185364,1763260083.1789267,,,767,51289
,,107.0,,,,,,107.0,55.97402477264404,1763260083.8699017,,,775,51779
-0.0036921128630638123,7.991790294647217,,-0.0018269196152687073,0.49740517139434814,0.00025419145822525024,983.0,0.0,,57.10034465789795,1763260084.9962215,0.00026850998983718455,0.9844951629638672,788,52608
0.024379689246416092,0.7119921445846558,,0.02887236326932907,0.5397823452949524,0.00413914117962122,979.0,0.013671875,,57.97291827201843,1763260085.8687952,0.00026812596479430795,0.997269332408905,797,53248
-0.007258662022650242,20.696924209594727,,0.012058176100254059,0.45166558027267456,0.00040439795702695847,976.0,0.0,,58.89401054382324,1763260086.7898874,0.000267665134742856,0.8550845384597778,806,54016
0.0027445266023278236,11.608100891113281,,-0.003633519634604454,0.5500257015228271,0.00023241806775331497,972.0,0.0,,59.786534786224365,1763260087.6824117,0.0002672811096999794,0.969883143901825,815,54656
-0.008386345580220222,35.40055847167969,,0.0097384974360466,0.46921423077583313,0.0012916084378957748,960.0,0.0,,64.3981409072876,1763260092.2940178,0.00026505376445129514,0.7005063891410828,863,58368
0.009263897314667702,77.22599029541016,,0.01155627891421318,0.518057107925415,0.0007563009858131409,959.0,0.0,,65.25795650482178,1763260093.1538334,0.0002645929343998432,0.024390459060668945,872,59136
,,111.0,,,,,,111.0,65.56989216804504,1763260093.465769,,,876,59416
0.01942325010895729,0.21418119966983795,,-0.01466948539018631,0.5775607824325562,0.0046599311754107475,957.0,0.021484375,,70.01887607574463,1763260097.914753,0.000261904759099707,0.6016092300415039,922,63616
0.00036850105971097946,0.024171896278858185,,0.012081246823072433,0.5629786252975464,0.0006351815536618233,956.0,0.0,,70.89685702323914,1763260098.792734,0.0002614439290482551,0.8985174894332886,930,64384
,,500.0,,,,,,500.0,71.82169008255005,1763260099.717567,,,938,65256
-0.0022372733801603317,86.15230560302734,,0.00026578642427921295,0.504764974117279,4.1227787733078e-05,954.0,0.0,,72.1042947769165,1763260100.0001717,0.0002608294889796525,0.006487429141998291,941,65408
,,112.0,,,,,,112.0,72.13430953025818,1763260100.0301864,,,942,65458
0.0015993108972907066,31.82756996154785,,-0.0005297288298606873,0.524248480796814,0.0003611454740166664,952.0,0.0,,72.95369386672974,1763260100.8495708,0.0002604454639367759,-0.0023069381713867188,948,66048
-0.009165898896753788,244.0665283203125,,-0.0003472045063972473,0.5709174871444702,0.0009696995839476585,940.0,0.0,,76.30003380775452,1763260104.1959107,0.00025906297378242016,6.538629531860352e-05,974,68352
-0.019948959350585938,0.015461687929928303,,-0.0023939553648233414,0.6103941202163696,0.0012731635943055153,933.0,0.0,,77.4686176776886,1763260105.3644946,0.00025867894873954356,0.4050157070159912,980,68992
,,103.0,,,,,,103.0,78.2562963962555,1763260106.1521733,,,985,69421
,,500.0,,,,,,500.0,80.24127507209778,1763260108.137152,,,995,70421
0.005038735456764698,0.007675867527723312,,-0.003189411014318466,0.5066852569580078,0.00031842198222875595,916.0,0.0,,80.67617845535278,1763260108.5720553,0.0002576804836280644,-0.33872032165527344,997,70656
0.01195569522678852,1.0132888555526733,,-0.007305320352315903,0.5369934439659119,0.002135569229722023,899.0,0.0,,84.12308645248413,1763260112.0189633,0.0002566052135080099,-0.00208437442779541,1015,72448
0.023994022980332375,3.92049503326416,,-0.030465994030237198,0.4961951673030853,0.009633139707148075,895.0,0.052734375,,85.10369873046875,1763260112.9995756,0.00025629799347370863,-0.0024154186248779297,1020,72960
-0.0013522785156965256,0.004575949162244797,,0.0012381412088871002,0.5287147760391235,0.0005540791898965836,886.0,0.0,,87.22386193275452,1763260115.1197388,0.00025560674839653075,0.47316330671310425,1031,74112
0.009039467200636864,289.4379577636719,,-0.0026283524930477142,0.5241038203239441,0.0003618188202381134,868.0,0.0,,91.10969352722168,1763260119.0055704,0.00025445467326790094,-0.0017087459564208984,1050,76032
-0.0019185934215784073,5.994913954054937e-05,,0.0013438910245895386,0.5266678929328918,0.00011267699301242828,865.0,0.0,,91.86130452156067,1763260119.7571814,0.000254224258242175,0.19007301330566406,1053,76416
,,500.0,,,,,,500.0,92.62719392776489,1763260120.5230708,,,1058,76921
,,500.0,,,,,,500.0,97.09413528442383,1763260124.9900122,,,1083,79421
0.012614671140909195,0.00017239266890101135,,0.020296961069107056,0.5020380020141602,0.007235229015350342,844.0,0.044921875,,98.60304307937622,1763260126.49892,0.00025192013708874583,-0.3196070194244385,1091,80256
-0.005286458879709244,0.00025115793687291443,,-0.0022788234055042267,0.46880608797073364,0.00048871710896492,837.0,0.0,,101.29293203353882,1763260129.188809,0.000250998476985842,-0.017614126205444336,1106,81792
-0.0014437958598136902,9.48350715637207,,-0.006082179024815559,0.44971901178359985,0.001734469085931778,831.0,0.0,,103.3195309638977,1763260131.2154078,0.0002503072319086641,1.6629695892333984e-05,1118,82944
0.002147931605577469,0.00017419738287571818,,-0.02504248358309269,0.5122110843658447,0.005469615571200848,828.0,0.015625,,104.58174443244934,1763260132.4776213,0.0002498464018572122,0.01703721284866333,1125,83712
-0.021803876385092735,240.91900634765625,,-0.014649104326963425,0.5234171152114868,0.003164081834256649,826.0,0.0078125,,105.8504388332367,1763260133.7463157,0.00024938557180576026,-2.7298927307128906e-05,1133,84480
0.007257106713950634,9.096872963709757e-05,,-0.008041873574256897,0.5026178956031799,0.000977841205894947,822.0,0.0,,107.90730500221252,1763260135.803182,0.00024861752172000706,0.41023093461990356,1145,85760
-0.011147964745759964,0.0005757465842179954,,-0.006077848374843597,0.4482375681400299,0.008638892322778702,817.0,0.01171875,,110.90244555473328,1763260138.7983224,0.00024746544659137726,0.39926475286483765,1164,87680
-0.007787799462676048,0.00010520198702579364,,-0.030004721134901047,0.4172225296497345,0.009334474802017212,817.0,0.033203125,,111.06422400474548,1763260138.960101,0.00024738864158280194,0.20872241258621216,1165,87808
-0.00016012415289878845,23.03540802001953,,0.0007234066724777222,0.4957675039768219,0.00043541938066482544,815.0,0.0,,112.0702474117279,1763260139.9661243,0.00024700461653992534,-0.0007730722427368164,1172,88448
,,500.0,,,,,,500.0,113.47672128677368,1763260141.3725982,,,1181,89421
,,500.0,,,,,,500.0,114.23264741897583,1763260142.1285243,,,1186,89921
-0.0040873195976018906,298.84552001953125,,0.004595696926116943,0.459755003452301,0.0018335562199354172,810.0,0.005859375,,115.89173316955566,1763260143.78761,0.00024546851636841893,-0.0013098716735839844,1197,91008
0.0004558693617582321,0.0042264400981366634,,-0.04805188626050949,0.5111554265022278,0.008946597576141357,807.0,0.013671875,,118.4113552570343,1763260146.3072321,0.00024447005125693977,0.09935224056243896,1213,92672
