global_step,charts/episodic_length,losses/policy_loss,_step,charts/episodic_return,losses/approx_kl,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,_runtime,losses/clipfrac,_timestamp,losses/old_approx_kl,losses/explained_variance
13952,,-0.004733304493129253,274,,0.0006423657760024071,0.0002917050733231008,1000.0,0.49064305424690247,35.56045150756836,17.615360260009766,0.0,1763260045.3624282,-0.005095719359815121,0.27922213077545166
15104,,-0.005755786783993244,292,,0.00020480621606111526,0.0002910138282459229,1005.0,0.5837330222129822,11.652839660644531,18.693445682525635,0.0,1763260046.4405136,0.0037408312782645226,0.6570894122123718
17536,,0.003970496356487274,327,,0.0015217140316963196,0.00028955453308299184,1015.0,0.5620042085647583,9.728802680969238,20.94212031364441,0.0,1763260048.6891882,-3.2743439078330994e-05,0.7180557250976562
17731,138.0,,330,138.0,,,,,,21.1184663772583,,1763260048.8655343,,
17878,147.0,,332,147.0,,,,,,21.246413707733154,,1763260048.9934816,,
18221,185.0,,337,185.0,,,,,,21.571444749832153,,1763260049.3185127,,
18432,,-0.041550412774086,340,,0.003980305977165699,0.0002890168980229646,1017.0,0.5677516460418701,3.5843489170074463,21.787718057632446,0.0,1763260049.534786,0.010885792784392834,0.8337010145187378
20674,138.0,,370,138.0,,,,,,23.83141589164734,,1763260051.5784838,,
22348,129.0,,396,129.0,,,,,,25.408690690994263,,1763260053.1557586,,
24341,174.0,,425,174.0,,,,,,27.255388736724854,,1763260055.0024567,,
25420,107.0,,441,107.0,,,,,,28.23085618019104,,1763260055.977924,,
25984,,-0.0031912773847579956,450,,0.0028625717386603355,0.0002844854025170207,1033.0,0.5236284732818604,1.6173481941223145,28.81937837600708,0.0,1763260056.5664463,0.020521029829978943,0.9888068437576294
27157,111.0,,471,111.0,,,,,,29.914095640182495,,1763260057.6611636,,
27879,141.0,,481,141.0,,,,,,30.531140327453613,,1763260058.2782083,,
28416,,-0.012382686138153076,490,,0.004141419194638729,0.0002830261073540896,1036.0,0.532474160194397,1.087154507637024,31.073582649230957,0.0078125,1763260058.8206506,0.008264408446848392,0.9944199323654175
29440,,-0.050755277276039124,504,,0.010118354111909866,0.00028241166728548706,1036.0,0.5436421036720276,0.9422897100448608,32.05906558036804,0.02734375,1763260059.8061335,-0.025799056515097618,0.9983778595924377
30464,,-0.018059667199850082,515,,0.003440726548433304,0.0002817972272168845,1039.0,0.5059030652046204,11.231585502624512,32.98192358016968,0.01171875,1763260060.7289915,0.02325093373656273,0.9502719044685364
31872,,0.008556891232728958,530,,0.001179036684334278,0.00028095237212255597,1042.0,0.5193145275115967,44.328372955322266,34.23955035209656,0.0,1763260061.9866183,-0.0007906099781394005,-0.02469944953918457
32766,364.0,,539,364.0,,,,,,34.980700731277466,,1763260062.7277687,,
33530,500.0,,547,500.0,,,,,,35.64794063568115,,1763260063.3950086,,
34248,347.0,,555,347.0,,,,,,36.33561730384827,,1763260064.0826852,,
34688,,-0.0008285269141197205,559,,0.0017387615516781807,0.0002792626619338989,1048.0,0.5328248143196106,0.7441343665122986,36.754212617874146,0.001953125,1763260064.5012805,-0.012267515994608402,0.004383444786071777
