_timestamp,_step,global_step,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,losses/old_approx_kl,_runtime,losses/explained_variance,losses/policy_loss,losses/approx_kl,charts/episodic_return
1763260186.8068905,1388,115328,,0.0,0.00023087557929102331,743.0,0.2893575429916382,23.134857177734375,-0.005382145754992962,158.51994442939758,-0.0002573728561401367,-0.0015263650566339493,0.00027759093791246414,
1763260188.0569758,1395,116096,,0.087890625,0.0002304147492395714,742.0,0.2872007489204407,0.0002602339372970164,-0.020429573953151703,159.7700297832489,-0.6493973731994629,-0.017744455486536026,0.018942810595035553,
1763260188.6784096,1399,116480,,0.0,0.00023018433421384543,741.0,0.26157981157302856,0.007930158637464046,0.008574282750487328,160.3914635181427,-0.05237984657287598,-0.000470869243144989,0.000657225027680397,
1763260189.6920693,1405,117120,,0.033203125,0.00022980030917096883,741.0,0.23924516141414642,0.0004098455247003585,-0.0013067526742815971,161.40512323379517,0.4252498745918274,-0.0031608566641807556,0.004992068745195866,
1763260194.000663,1432,119808,,0.0,0.0002281874039908871,738.0,0.30197155475616455,100.38265228271484,0.0031616920605301857,165.71371698379517,0.0019443631172180176,-0.00400882214307785,0.0011666314676404,
1763260194.2052782,1433,119936,,0.001953125,0.00022811059898231179,737.0,0.26586923003196716,0.008385270833969116,0.0048578232526779175,165.91833209991455,0.3491162061691284,-0.001549779437482357,0.0017083603888750076,
1763260197.9344037,1455,122240,,0.0078125,0.00022672810882795602,735.0,0.2694566249847412,0.0001737018465064466,0.009626975283026695,169.6474575996399,0.7019912600517273,-0.014014899730682373,0.0013582352548837662,
1763260197.97751,1456,122294,500.0,,,,,,,169.69056391716003,,,,500.0
1763260198.1535997,1457,122368,,0.013671875,0.0002266513038193807,735.0,0.2603570222854614,279.70257568359375,0.009321951307356358,169.8666536808014,0.0008136630058288574,-0.0006223097443580627,0.0001856451854109764,
1763260207.871562,1514,128256,,0.046875,0.00022311827342491597,727.0,0.30965688824653625,0.00029938307125121355,0.018980883061885834,179.58461594581604,0.5785918235778809,0.013047265820205212,0.007940729148685932,
1763260208.9255383,1521,128896,,0.03125,0.00022273424838203937,727.0,0.23809562623500824,246.31674194335938,-0.016928717494010925,180.63859224319458,-0.0001233816146850586,-0.0076323263347148895,0.0013302164152264595,
1763260209.6040747,1525,129294,500.0,,,,,,,181.31712865829468,,,,500.0
1763260210.0243845,1527,129536,,0.0,0.00022235022333916277,726.0,0.278935968875885,0.010196411050856113,0.02515185996890068,181.73743844032288,0.347225546836853,-0.01713726297020912,0.0027174465358257294,
1763260210.4390602,1529,129792,,0.060546875,0.00022219661332201213,726.0,0.21210157871246338,0.00033130153315141797,-0.003459412604570389,182.15211415290833,-0.16533386707305908,0.000318966805934906,0.011361212469637394,
1763260211.1561582,1534,130294,500.0,,,,,,,182.86921215057373,,,,500.0
1763260211.568522,1536,130432,,0.0,0.00022181260283105075,725.0,0.27424949407577515,0.009951060637831688,0.0005256999284029007,183.28157591819763,0.17937564849853516,-0.0036564022302627563,0.0014665331691503525,
1763260212.8474586,1543,131200,,0.029296875,0.00022135177277959883,724.0,0.23554128408432007,0.00017631376977078617,0.037954702973365784,184.5605125427246,0.5257989168167114,-0.025279268622398376,0.009551677852869034,
1763260213.0960004,1545,131328,,0.0078125,0.0002212749677710235,723.0,0.2592753767967224,261.3005065917969,-0.006228506565093994,184.80905437469482,-3.695487976074219e-05,-0.010761268436908722,0.003964925184845924,
1763260213.3016973,1546,131456,,0.009765625,0.0002211981627624482,723.0,0.2559630274772644,0.014369872398674488,0.01600262150168419,185.0147511959076,0.42597538232803345,-0.008375991135835648,0.004403022117912769,
1763260215.458983,1558,132736,,0.0,0.000220430112676695,722.0,0.3003171682357788,0.0002350114518776536,0.0024889567866921425,187.1720368862152,0.02029860019683838,-0.0017113946378231049,0.00025640707463026047,
1763260215.5034983,1559,132794,500.0,,,,,,,187.21655225753784,,,,500.0
1763260216.3435981,1563,133248,,0.01171875,0.0002201228926423937,721.0,0.24892361462116241,0.00016946632240433246,0.015828730538487434,188.0566520690918,0.05171680450439453,-0.012292560189962387,0.0029532983899116516,
1763260216.8097932,1566,133504,,0.005859375,0.00021996928262524307,721.0,0.21228542923927307,0.015547833405435085,0.002898493781685829,188.52284717559814,-0.41900479793548584,-0.009644677862524986,0.001095479354262352,
1763260220.63001,1588,135794,500.0,,,,,,,192.34306383132935,,,,500.0
1763260220.8222103,1589,135808,,0.037109375,0.0002185867924708873,718.0,0.29534611105918884,113.98347473144531,0.02257051132619381,192.53526425361633,-0.0005707740783691406,-0.013429716229438782,0.007198665291070938,
1763260222.311571,1597,136704,,0.01953125,0.00021804915741086006,717.0,0.23869089782238007,0.00020663184113800526,0.012437279336154461,194.02462482452393,0.15616655349731445,-0.01107548363506794,0.0037901801988482475,
1763260224.0009284,1607,137728,,0.0234375,0.0002174347173422575,716.0,0.17746493220329285,6.877446139696985e-05,0.008794568479061127,195.7139823436737,0.4416419267654419,-0.00494023971259594,0.00631251186132431,
1763260224.243694,1609,137856,,0.005859375,0.00021735791233368218,715.0,0.2647474408149719,153.5569305419922,0.0027564363554120064,195.95674800872803,0.00039255619049072266,-0.0011725500226020813,0.0014597130939364433,
1763260224.4446595,1610,137984,,0.0078125,0.00021728110732510686,715.0,0.207988902926445,0.007487591356039047,0.02074946090579033,196.15771341323853,-0.47940969467163086,-0.007546737790107727,0.0024375319480895996,
1763260224.8640254,1612,138240,,0.029296875,0.00021712749730795622,715.0,0.34357887506484985,0.00031100178603082895,0.02753494866192341,196.57707929611206,-0.12941312789916992,-0.024497319012880325,0.010915694758296013,
1763260227.200827,1626,139648,,0.029296875,0.0002162826422136277,714.0,0.17288100719451904,0.0005162481684237719,0.012035815976560116,198.91388082504272,-0.4520735740661621,-0.02115776389837265,0.008864148519933224,
1763260229.1441274,1638,140800,,0.0,0.00021559139713644981,713.0,0.2516145706176758,12.983207702636719,-0.010169078595936298,200.8571813106537,-0.0006452798843383789,0.0003449954092502594,0.001361350528895855,
1763260237.4156432,1687,145794,500.0,,,,,,,209.12869715690613,,,,500.0
1763260244.8510828,1732,150400,,0.0078125,0.00020983103604521602,705.0,0.16374985873699188,9.331816673278809,-0.014269920065999031,216.56413674354553,0.00031429529190063477,-0.0018294230103492737,0.0023555923253297806,
1763260246.990905,1745,151794,500.0,,,,,,,218.7039589881897,,,,500.0
